FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
ADENOSINE,,ADENOCOR 6 MG INJECTION 2 ML,ADENOCOR 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:01,ADENOSINE INJECTION 6 MG / ADENOCOR,SANOFI INDIA LTD.,100.06,Dec-2025,200.12/2 ML INJECTION,1,ADENOZ,2,105.00,52.50,CELON LABS
ADENOSINE,,ADENOCOR 6 MG INJECTION 2 ML,ADENOCOR 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:01,ADENOSINE INJECTION 6 MG / ADENOCOR,SANOFI INDIA LTD.,100.06,Dec-2025,200.12/2 ML INJECTION,2,CARNOSINE,2,194.96,97.48,SAMARTH LIFE SCIENCES PVT LTD
ADENOSINE,,ADENOCOR 6 MG INJECTION 2 ML,ADENOCOR 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:01,ADENOSINE INJECTION 6 MG / ADENOCOR,SANOFI INDIA LTD.,100.06,Dec-2025,200.12/2 ML INJECTION,3,ADNEON,2,198.30,99.15,NEON LABORATORIES LTD
ADENOSINE,,ADENOZ 6 MG INJECTION 2 ML,ADENOZ 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:04,ADENOSINE INJECTION 6 MG / ADENOZ,CELON LABS,52.50,Dec-2025,105.00/2 ML INJECTION,1,CARNOSINE,2,194.96,97.48,SAMARTH LIFE SCIENCES PVT LTD
ADENOSINE,,ADENOZ 6 MG INJECTION 2 ML,ADENOZ 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:04,ADENOSINE INJECTION 6 MG / ADENOZ,CELON LABS,52.50,Dec-2025,105.00/2 ML INJECTION,2,ADNEON,2,198.30,99.15,NEON LABORATORIES LTD
ADENOSINE,,ADENOZ 6 MG INJECTION 2 ML,ADENOZ 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:04,ADENOSINE INJECTION 6 MG / ADENOZ,CELON LABS,52.50,Dec-2025,105.00/2 ML INJECTION,3,ADENOCOR,2,200.12,100.06,SANOFI INDIA LTD.
ADENOSINE,,ADNEON 3 MG INJECTION 2 ML,ADNEON 3 MG INJECTION 2 ML,Scheduled,94.48,INJECTION,2026-01-16T22:30:06,ADENOSINE INJECTION 3 MG / ADNEON,NEON LABORATORIES LTD,99.15,Dec-2025,198.30/2 ML INJECTION,1,TACHYBAN,2,207.84,103.92,TROIKAA PHARMACEUTICALS LTD
ADENOSINE,,ADNEON 6 MG INJECTION 2 ML,ADNEON 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:08,ADENOSINE INJECTION 6 MG / ADNEON,NEON LABORATORIES LTD,99.15,Dec-2025,198.30/2 ML INJECTION,1,ADENOZ,2,105.00,52.50,CELON LABS
ADENOSINE,,ADNEON 6 MG INJECTION 2 ML,ADNEON 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:08,ADENOSINE INJECTION 6 MG / ADNEON,NEON LABORATORIES LTD,99.15,Dec-2025,198.30/2 ML INJECTION,2,CARNOSINE,2,194.96,97.48,SAMARTH LIFE SCIENCES PVT LTD
ADENOSINE,,ADNEON 6 MG INJECTION 2 ML,ADNEON 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:08,ADENOSINE INJECTION 6 MG / ADNEON,NEON LABORATORIES LTD,99.15,Dec-2025,198.30/2 ML INJECTION,3,ADENOCOR,2,200.12,100.06,SANOFI INDIA LTD.
ADENOSINE,,CARNOSINE 6 MG INJECTION 2 ML,CARNOSINE 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:10,ADENOSINE INJECTION 6 MG / CARNOSINE,SAMARTH LIFE SCIENCES PVT LTD,97.48,Dec-2025,194.96/2 ML INJECTION,1,ADENOZ,2,105.00,52.50,CELON LABS
ADENOSINE,,CARNOSINE 6 MG INJECTION 2 ML,CARNOSINE 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:10,ADENOSINE INJECTION 6 MG / CARNOSINE,SAMARTH LIFE SCIENCES PVT LTD,97.48,Dec-2025,194.96/2 ML INJECTION,2,ADNEON,2,198.30,99.15,NEON LABORATORIES LTD
ADENOSINE,,CARNOSINE 6 MG INJECTION 2 ML,CARNOSINE 6 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-16T22:30:10,ADENOSINE INJECTION 6 MG / CARNOSINE,SAMARTH LIFE SCIENCES PVT LTD,97.48,Dec-2025,194.96/2 ML INJECTION,3,ADENOCOR,2,200.12,100.06,SANOFI INDIA LTD.
ADENOSINE,,TACHYBAN 3 MG INJECTION 2 ML,TACHYBAN 3 MG INJECTION 2 ML,Scheduled,94.48,INJECTION,2026-01-16T22:30:13,ADENOSINE INJECTION 3 MG / TACHYBAN,TROIKAA PHARMACEUTICALS LTD,103.92,Dec-2025,207.84/2 ML INJECTION,1,ADNEON,2,198.30,99.15,NEON LABORATORIES LTD
ADENOSINE,,UTHBLESS CREAM 40 GM,UTHBLESS CREAM 40 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-16T22:30:15,ADENOSINE CREAM / UTHBLESS,ZYDUS HEALTHCARE LTD.,23.75,Dec-2025,950.00/40 GM CREAM,,,,,,
