FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,1,TROYZOLE,10,2.81,0.28,TROIKAA PHARMACEUTICALS LTD
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,2,WORMORID,10,8.44,0.84,FINECURE PHARMACEUTICALS
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,3,ZYBEND,10,12.30,1.23,ZYDUS HEALTHCARE LTD.
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,4,ZTL,1,3.05,3.05,ELDER LABS LTD
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,5,KEALVERM,2,7.80,3.90,NOVARTIS INDIA LTD
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,6,ALBI,1,3.94,3.94,CONCEPT BIOSCIENCES PVT LTD
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,7,HELMEX,1,6.60,6.60,MARS THERAPUTICS & CHEMICALS LTD.
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,8,ALBERA,10,72.00,7.20,ALDE MEDI IMPEX
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,9,ALBOL,3,22.11,7.37,EAST WEST PHARMA
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,10,ABIDE,1,7.39,7.39,LABORATE PHARMACEUTICAL LTD
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,11,BENDEX,1,7.39,7.39,CIPLA LTD.
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,12,X WORM,1,7.50,7.50,CIPLA LTD.
ALBENDAZOLE,,ABD 1 400 MG TABLET 1,ABD 1 400 MG TABLET 1,Scheduled,7.16,TABLET,2026-01-16T20:33:01,ALBENDAZOLE TABLET 400 MG / ABD 1,INTAS PHARMACEUTICALS LTD,7.52,Dec-2025,7.52/1 TABLET,13,CIDAZOLE,1,7.52,7.52,JUGGAT PHARMA
