FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,1,ZOFTAMIC (ELDER PROJECTS),2,10.62,5.31,ELDER PROJECTS LIMITED
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,2,AMIKAS,2,12.50,6.25,CHANDRA BHAGAT PHARMA PVT. LTD.
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,3,AMTOP,2,15.00,7.50,INDSWIFT LABORATORIES LTD.
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,4,ENCIN (SHRINIVAS),2,50.00,25.00,SHRINIVAS GUJARAT LABORATORIES PVT LTD
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,5,OMAC (OCTANE),2,54.00,27.00,OCTANE BIOTECH
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,6,LITOMIK,2,59.90,29.95,ST. MORRISON
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,7,EMIKACIN (EXOTIC LAB),2,60.00,30.00,EXOTIC LABORATORIES PVT LTD
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,8,AMIKACIN (JAGSONPAL),2,61.53,30.77,JAGSONPAL PHARMACEUTICALS LTD
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,9,AMITAL,2,66.50,33.25,STALLION LABORATORIES (P) LTD
AMIKACIN,,ACIL 500 MG INJECTION 2 ML,ACIL 500 MG INJECTION 2 ML,Scheduled,Not Applicable,INJECTION,2026-01-16T22:33:28,AMIKACIN INJECTION 500 MG / ACIL,DR. JOHNS LABORATORIES PVT LTD,27.63,Dec-2025,55.25/2 ML INJECTION,10,LA-MIKA,2,70.38,35.19,ZUVENTUS HEALTHCARE LTD
