FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,1,APKOLIN,10,12.00,1.20,AJANTA PHARMA LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,2,GALMOX,10,21.87,2.19,GALPHA LABORATORIES LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,3,GERMOX,10,21.87,2.19,ZYDUS HEALTHCARE LTD.
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,4,MOXAL,10,23.75,2.38,GALPHA LABORATORIES LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,5,MOXEL (ELD),10,24.83,2.48,ELDER LABS LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,6,O MOXY,10,27.30,2.73,ORISON PHARMACEUTICALS
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,7,TOXI,10,28.12,2.81,FRANKLIN LABORATORIES (INDIA) PVT. LTD.
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,8,WALAMOX,10,30.00,3.00,WALLACE PHARMACEUTICALS LTD.
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,9,VENTIMOX,10,30.63,3.06,UNIVENTIS MEDICARE LIMITED
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,10,AMOXYCILLIN,10,31.90,3.19,JAGSONPAL PHARMACEUTICALS LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,11,MOXATRIS,10,32.00,3.20,VIATRIS
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,12,MORMOX,10,33.00,3.30,MOREPEN LABORATORIES LIMITED
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,13,AMOXYCILLIN (TORQUE),10,56.00,5.60,TORQUE PHARMACEUTICALS PVT LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,14,KEEMOX,10,57.73,5.77,S.K.N ORGANICS
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,15,ARISTOMOX,10,59.15,5.92,ARISTO PHARMACEUTICALS PVT.LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,16,RONEMOX,15,89.77,5.98,ABBOTT HEALTHCARE PVT. LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,17,MOXIZEN,10,59.85,5.99,TABLETS INDIA LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,18,HIPENP,10,62.40,6.24,ZYDUS HEALTHCARE LTD.
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,19,V BACT,10,63.00,6.30,STALLION LABORATORIES (P) LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,20,MOXIPAL,10,63.51,6.35,JAGSONPAL PHARMACEUTICALS LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,21,MOXIKIND,10,64.39,6.44,MANKIND PHARMACEUTICALS LTD.
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,22,AXL,10,64.70,6.47,INDOCO REMEDIES LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,23,OSPAMOX,10,66.00,6.60,NOVARTIS INDIA LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,24,CEPMOX,10,67.20,6.72,CONCEPT PHARMACEUTICALS LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,25,R MOX,10,67.94,6.79,RELIANCE FORMULATION PVT LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,26,MOXILINK,10,68.67,6.87,LINCOLN PHARMACEUTICALS LTD
AMOXYCILLIN,,ALKEMOX 500 MG CAPSULE 15,ALKEMOX 500 MG CAPSULE 15,Scheduled,7.49,CAPSULE,2026-01-16T23:07:40,AMOXYCILLIN CAPSULE 500 MG / ALKEMOX,ALKEM LABORATORIES LTD.,4.77,Dec-2025,71.50/15 CAPSULE,27,MOX SG,10,69.00,6.90,RANBAXY LABORATORIES LTD
