FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,1,FEPADOL,60,15.63,0.26,UNIVENTIS MEDICARE LIMITED
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,2,JOJO,60,21.50,0.36,MICRO LABS LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,3,PARADER,60,22.50,0.38,ELDER LABS LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,4,PARAROSE,60,32.00,0.53,RONYD HEALTH CARE PVT LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,5,ACMOL (ACME),60,33.15,0.55,ACME PHARMACEUTICALS
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,6,NOHYPE,60,35.00,0.58,BIO VITAMINS
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,7,P STAT,60,35.62,0.59,BIO WARRIORS PHARMACEUTICALS PVT LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,8,DOLOMEC P,60,38.00,0.63,MCW HEALTHCARE
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,9,FELOK,60,37.50,0.63,AURZ PHARMACEUTICALS PVT LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,10,NICETAMOL,60,38.00,0.63,DR. REDDYS LABORATORIES LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,11,NUMOL,60,37.50,0.63,KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD(KAPL)
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,12,C 37,60,38.70,0.65,NAVIL LABORATORIES
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,13,FEVER X,60,39.60,0.66,MOREPEN LABORATORIES LIMITED
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,14,AZPYR,60,39.93,0.67,DR. REDDYS LABORATORIES LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,15,FLUMOL,60,40.32,0.67,ELDER PROJECTS LIMITED
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,16,P U C,60,40.32,0.67,ALKEM LABORATORIES LTD.
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,17,KIDMOL,60,40.63,0.68,DR. REDDYS LABORATORIES LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,18,BERRYMOL,60,42.18,0.70,EPIONE PHARMACEUTICALS PVT LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,19,CADIPAR,60,42.21,0.70,CADILA PHARMACEUTICALS LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,20,DOLO,100,70.30,0.70,MICRO LABS LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,21,KALDOL,60,42.19,0.70,LEBEN LABORATORIES PVT.LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,22,PARAGREAT,60,42.21,0.70,MANKIND PHARMACEUTICALS LTD.
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,23,PARASAFE,60,42.21,0.70,STRASSENBURG PHARMACEUTICALS.LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,24,TYNOL,60,42.00,0.70,GUJARAT TERCE LABORATORIES LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,25,ADMOL (KEP),60,42.84,0.71,KEPLER HEALTH CARE
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,26,BIOPYRIN,60,42.83,0.71,ZYDUS HEALTHCARE LTD.
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,27,CALPOL,60,42.84,0.71,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,28,CENTAMOL,60,42.83,0.71,CENTAUR PHARMACEUTICALS PVT.LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,29,CHEER,60,42.80,0.71,WANBURY LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,30,CHILMOL,60,42.80,0.71,ICARUS HEALTHCARE PRIMUS
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,31,DOLO,60,42.80,0.71,MICRO LABS LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,32,DOLODART DS,60,42.84,0.71,JUGGAT PHARMA
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,33,DOLOPAR,60,42.80,0.71,MICRO LABS LTD
PARACETAMOL,,99F 250 MG SUSPENSION 60 ML,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,2026-01-16T17:48:47,PARACETAMOL SUSPENSION 250 MG / 99F,FDC LTD.,0.71,Dec-2025,42.84/60 ML SUSPENSION,34,FEBREX,60,42.84,0.71,INDOCO REMEDIES LTD
