PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,99F 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,42.84/60 ML SUSPENSION
,2,99F 650 MG TABLET 15,Scheduled,2.04,TABLET,32.13/15 TABLET
,3,ACMOL (ACME) 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,33.15/60 ML SUSPENSION
,4,ACMOL (ACME) 650 MG TABLET 10,Scheduled,2.04,TABLET,18.05/10 TABLET
,5,ACTICIN 150 MG INJECTION 2 ML,Scheduled,4.04,INJECTION,5.82/2 ML INJECTION
,6,ACTION OR 1000 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,26.46/10 TABLET
,7,ACTON (FRANKLIN) 120 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,32.00/60 ML SYRUP
,8,ACTON (FRANKLIN) 250 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,26.60/60 ML SYRUP
,9,ACTON (FRANKLIN) 500 MG TABLET 10,Scheduled,0.92,TABLET,3.50/10 TABLET
,10,ACTON (FRANKLIN) 650 MG TABLET 10,Scheduled,2.04,TABLET,30.74/10 TABLET
,11,ACTON OR 1000 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,62.62/10 TABLET
,12,ADMOL JR 125 MG TABLET DT 10,Non-Scheduled,Not Applicable,TABLET DT,21.84/10 TABLET DT
,13,ADMOL (KEP) 1000 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,56.72/10 TABLET SR
,14,ADMOL (KEP) 100 MG DROPS 15 ML,Non-Scheduled,Not Applicable,DROPS,13.50/15 ML DROPS
,15,ADMOL (KEP) 100 MG DROPS 30 ML,Non-Scheduled,Not Applicable,DROPS,62.02/30 ML DROPS
,16,ADMOL (KEP) 120 MG SUSPENSION 60 ML,Scheduled,0.62,SUSPENSION,37.50/60 ML SUSPENSION
,17,ADMOL (KEP) 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,42.84/60 ML SUSPENSION
,18,ADMOL (KEP) 250 MG TABLET DT 10,Non-Scheduled,Not Applicable,TABLET DT,28.36/10 TABLET DT
,19,ADMOL (KEP) 650 MG TABLET DT 10,Non-Scheduled,Not Applicable,TABLET DT,21.33/10 TABLET DT
,20,ALGINA 125 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,22.15/60 ML SYRUP
,21,ALGINA 250 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,35.17/60 ML SYRUP
,22,ALGINA 500 MG TABLET 10,Scheduled,0.92,TABLET,9.40/10 TABLET
,23,ALGINA 650 MG TABLET 10,Scheduled,2.04,TABLET,11.81/10 TABLET
,24,ALKEM PARA 500 MG TABLET 15,Scheduled,0.92,TABLET,9.41/15 TABLET
,25,ALKEM PARA 650 MG TABLET 15,Scheduled,2.04,TABLET,42.84/15 TABLET
,26,ALTIMOL SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,42.19/60 ML SYRUP
,27,AMINOL 100 MG DROPS 15 ML,Non-Scheduled,Not Applicable,DROPS,26.54/15 ML DROPS
,28,AMOL 125 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,21.37/60 ML SYRUP
,29,ANAMOL 250 MG SUPPOSITORY 5,Non-Scheduled,Not Applicable,SUPPOSITORY,39.46/5 SUPPOSITORY
,30,ANEMOL 1000 MG INFUSION 100 ML,Non-Scheduled,Not Applicable,INFUSION,541.47/100 ML INFUSION
,31,ANETOL 1000 MG INFUSION 100 ML,Non-Scheduled,Not Applicable,INFUSION,501.32/100 ML INFUSION
,32,APYRIC 250 MG SUSPENSION 60 ML,Scheduled,0.68,SUSPENSION,46.00/60 ML SUSPENSION
,33,APYRIC M SUSPENSION 60 ML,Non-Scheduled,Not Applicable,SUSPENSION,40.18/60 ML SUSPENSION
,34,ARDEN 125 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,15.12/10 TABLET
