HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521006569@224767@101110482@1846@101006@202243,MAIN,AGIPRIDE 100 MG TABLET 10,AGM BIOTEC,AMISULPRIDE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,140.63,14.06,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,PSYRIDE,PSYCORMEDIES,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,77.00,7.70,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMISULIDE,KNOLL HEALTHCARE PVT.LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,80.03,8.00,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMIPANS,MATTEO HEALTHCARE PVT.LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,88.39,8.84,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,RESTPRIDE,MATIAS HEALTHCARE PVT.LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,88.39,8.84,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,LOKPAM,K.C LABORATORIES,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,91.00,9.10,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMIVAL,ERIS LIFESCIENCES LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,91.33,9.13,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMILYST,SEPTALYST LIFESCIENCES PVT LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,105.36,10.54,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,SULPITAC,SUN PHARMA LABORATORIES LTD.,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,106.00,10.60,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,SOLAZE,ABBOTT HEALTHCARE PVT. LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,115.00,11.50,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMIS,D.D PHARMACEUTICALS,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,115.20,11.52,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMITREND,MED MANOR ORGANICS PVT LTD.,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,116.00,11.60,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMGRACE,LA PHARMACEUTICALS,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,116.15,11.62,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,KIVIPRIDE,KIVI LABS LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,117.56,11.76,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,SULPRA,RELIANCE FORMULATION PVT LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,122.72,12.27,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,JOYSTIFF,CNX HEALTHCARE PVT LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,123.74,12.37,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,SOLPRIWEL,DYCINE PHARMACEUTICALS,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,123.65,12.37,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,CIZOREST,CIPLA LTD.,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,124.44,12.44,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,GRESSAMI,LA RENON HEALTHCARE PVT.LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,127.50,12.75,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMISTRIDE,MEDOPHARM,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,128.44,12.84,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMIMIND,MSN LABORATORIES LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,129.84,12.98,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,AMCALM,PULSE PHARMACEUTICALS PVT LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,130.00,13.00,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,WELLPRIDE,TRIPADA HEALTHCARE PVT LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,130.00,13.00,Dec-2025
1521006569@224767@101110482@1846@101006@202243,OTHER,SULPINIX,SANIX FORMULATIONS PVT LTD,AMISULPRIDE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,132.14,13.21,Dec-2025
