HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521101153@292736@101193793@3791@101006@200819,MAIN,ABTOLOL 50 MG TABLET 14,ABBOTT HEALTHCARE PVT. LTD,ATENOLOL TABLET 50 MG,14 TABLET,TABLET,Non-Scheduled,-1,27.38,1.96,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,PERTEN (ELDER),ELDER PROJECTS LIMITED,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,6.22,0.44,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,ZIBLOK,FDC LTD.,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,10.49,0.75,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,ATEBEAT,SMART LABORATORIES PVT LTD,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,12.50,0.89,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,HIBESOR,BLUE CROSS LABORATORIES LTD,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,16.00,1.14,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,UTL,UNISON PHARMACEUTICALS,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,16.13,1.15,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,ATEKIND,MANKIND PHARMACEUTICALS LTD.,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,20.43,1.46,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,ANOL,LINCOLN PHARMACEUTICALS LTD,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,20.61,1.47,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,PERTENOL,KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD(KAPL),ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,22.17,1.58,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,ATENOVA,LUPIN LTD,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,25.85,1.85,Dec-2025
1521101153@292736@101193793@3791@101006@200819,OTHER,ATENOPRESS,ZYDUS HEALTHCARE LTD.,ATENOLOL TABLET 50 MG,14,TABLET,Non-Scheduled,-1,27.31,1.95,Dec-2025
