HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521005825@149038@101109823@3854@101006@200114,MAIN,ALOTIN 5 MG TABLET 10,MONICHEM HEALTHCARE PVT LTD,BIOTIN TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,84.38,8.44,Dec-2025
1521005825@149038@101109823@3854@101006@200114,OTHER,BIOKARE,KIVI LABS LTD,BIOTIN TABLET 5 MG,10,TABLET,Non-Scheduled,-1,46.41,4.64,Dec-2025
1521005825@149038@101109823@3854@101006@200114,OTHER,H VIT,SYSTOPIC LABORATORIES LTD-MEM,BIOTIN TABLET 5 MG,10,TABLET,Non-Scheduled,-1,55.31,5.53,Dec-2025
1521005825@149038@101109823@3854@101006@200114,OTHER,VB7,INTAS PHARMACEUTICALS LTD,BIOTIN TABLET 5 MG,10,TABLET,Non-Scheduled,-1,65.63,6.56,Dec-2025
1521005825@149038@101109823@3854@101006@200114,OTHER,TINFAL,LEEFORD HEALTHCARE,BIOTIN TABLET 5 MG,10,TABLET,Non-Scheduled,-1,70.31,7.03,Dec-2025
1521005825@149038@101109823@3854@101006@200114,OTHER,COSMETIN,EAST WEST PHARMA,BIOTIN TABLET 5 MG,10,TABLET,Non-Scheduled,-1,70.50,7.05,Dec-2025
1521005825@149038@101109823@3854@101006@200114,OTHER,TRESSOTIN,PRISM LIFESCIENCE,BIOTIN TABLET 5 MG,10,TABLET,Non-Scheduled,-1,76.87,7.69,Dec-2025
1521007489@206187@101104142@2107@101006@200114,MAIN,BFILL 10 MG TABLET 10,PRIMUS REMEDIES PVT LTD,BIOTIN TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,102.19,10.22,Dec-2025
1521007489@206187@101104142@2107@101006@200114,OTHER,I GLOWVIT,MRHM PHARMA PVT LTD,BIOTIN TABLET 10 MG,30,TABLET,Non-Scheduled,-1,185.63,6.19,Dec-2025
1521007489@206187@101104142@2107@101006@200114,OTHER,BIOSORT,CONSERN PHARMA (P) LTD,BIOTIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,69.00,6.90,Dec-2025
