HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521008343@185492@101105113@1816@101068@202035,MAIN,BOTOX 100 IU INJECTION 1,ALLERGAN INDIA LTD,BOTULINUM TOXIN INJECTION 100 IU,1 INJECTION,INJECTION,Non-Scheduled,-1,24197.00,24197.00,Dec-2025
1521008343@185492@101105113@1816@101068@202035,OTHER,NABOTA,DR. REDDYS LABORATORIES LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,22827.00,22827.00,Dec-2025
1521008343@185492@101105113@1816@101068@202035,OTHER,ZARBOT,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,23990.00,23990.00,Dec-2025
1521008343@185492@101105113@1816@101068@202035,OTHER,STUNNOX,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,25132.37,25132.37,Dec-2025
1521136711@250752@101105113@2974@101068@202035,MAIN,BOTOX 200 MG INJECTION 1,ALLERGAN INDIA LTD,BOTULINUM TOXIN INJECTION 200 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,34287.50,34287.50,Dec-2025
1521008345@104829@101105113@3788@101068@202035,MAIN,BOTOX 50 IU INJECTION 1,ALLERGAN INDIA LTD,BOTULINUM TOXIN INJECTION 50 IU,1 INJECTION,INJECTION,Non-Scheduled,-1,13380.00,13380.00,Dec-2025
1521008345@104829@101105113@3788@101068@202035,OTHER,ZARBOT,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 50 IU,1,INJECTION,Non-Scheduled,-1,14276.18,14276.18,Dec-2025
1521008345@104829@101105113@3788@101068@202035,OTHER,STUNNOX,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 50 IU,1,INJECTION,Non-Scheduled,-1,15703.81,15703.81,Dec-2025
1521051301@288803@101154244@1816@101068@202035,MAIN,NABOTA 100 IU INJECTION 1,DR. REDDYS LABORATORIES LTD,BOTULINUM TOXIN INJECTION 100 IU,1 INJECTION,INJECTION,Non-Scheduled,-1,22827.00,22827.00,Dec-2025
1521051301@288803@101154244@1816@101068@202035,OTHER,ZARBOT,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,23990.00,23990.00,Dec-2025
1521051301@288803@101154244@1816@101068@202035,OTHER,BOTOX,ALLERGAN INDIA LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,24197.00,24197.00,Dec-2025
1521051301@288803@101154244@1816@101068@202035,OTHER,STUNNOX,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,25132.37,25132.37,Dec-2025
1521158809@352776@101245036@1816@101068@202035,MAIN,STUNNOX 100 IU INJECTION 1,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 100 IU,1 INJECTION,INJECTION,Non-Scheduled,-1,25132.37,25132.37,Dec-2025
1521158809@352776@101245036@1816@101068@202035,OTHER,NABOTA,DR. REDDYS LABORATORIES LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,22827.00,22827.00,Dec-2025
1521158809@352776@101245036@1816@101068@202035,OTHER,ZARBOT,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,23990.00,23990.00,Dec-2025
1521158809@352776@101245036@1816@101068@202035,OTHER,BOTOX,ALLERGAN INDIA LTD,BOTULINUM TOXIN INJECTION 100 IU,1,INJECTION,Non-Scheduled,-1,24197.00,24197.00,Dec-2025
1521158808@352777@101245036@3788@101068@202035,MAIN,STUNNOX 50 IU INJECTION 1,GUFIC BIOSCIENCE LTD,BOTULINUM TOXIN INJECTION 50 IU,1 INJECTION,INJECTION,Non-Scheduled,-1,15703.81,15703.81,Dec-2025
