HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521024862@681@101117597@1340@101006@202391,MAIN,ADDNOK 0.2 MG TABLET 20,RUSAN HEALTHCARE PVT. LTD,BUPRENORPHINE TABLET 0.2 MG,20 TABLET,TABLET,Non-Scheduled,-1,80.00,4.00,Dec-2025
1521024862@681@101117597@1340@101006@202391,OTHER,SANGESIC,RUSAN HEALTHCARE PVT. LTD,BUPRENORPHINE TABLET 0.2 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521157784@702078@101244174@2107@101097@202391,MAIN,BUPOXONE 10 MG PATCH 1,INTAS PHARMACEUTICALS LTD,BUPRENORPHINE PATCH 10 MG,1 PATCH,PATCH,Non-Scheduled,-1,1078.13,1078.13,Dec-2025
1521157784@702078@101244174@2107@101097@202391,OTHER,BUVALOR,MODI MUNDI PHARMA PVT LTD,BUPRENORPHINE PATCH 10 MG,2,PATCH,Non-Scheduled,-1,2977.50,1488.75,Dec-2025
1521158139@702366@101244174@3854@101097@202391,MAIN,BUPOXONE 5 MG PATCH 1,INTAS PHARMACEUTICALS LTD,BUPRENORPHINE PATCH 5 MG,1 PATCH,PATCH,Non-Scheduled,-1,562.50,562.50,Dec-2025
1521158139@702366@101244174@3854@101097@202391,OTHER,BUVALOR,MODI MUNDI PHARMA PVT LTD,BUPRENORPHINE PATCH 5 MG,2,PATCH,Non-Scheduled,-1,1629.36,814.68,Dec-2025
1521072009@315341@101172649@2107@101094@202391,MAIN,BUPREPLAST 10 MG TRANSDERMAL PATCH 1,ZUVENTUS HEALTHCARE LTD,BUPRENORPHINE TRANSDERMAL PATCH 10 MG,1 TRANSDERMAL PATCH,TRANSDERMAL PATCH,Non-Scheduled,-1,1678.10,1678.10,Dec-2025
1521072009@315341@101172649@2107@101094@202391,OTHER,BUPRIGESIC,NEON LABORATORIES LTD,BUPRENORPHINE TRANSDERMAL PATCH 10 MG,1,TRANSDERMAL PATCH,Non-Scheduled,-1,2998.00,2998.00,Dec-2025
1521072017@315340@101172649@3854@101094@202391,MAIN,BUPREPLAST 5 MG TRANSDERMAL PATCH 1,ZUVENTUS HEALTHCARE LTD,BUPRENORPHINE TRANSDERMAL PATCH 5 MG,1 TRANSDERMAL PATCH,TRANSDERMAL PATCH,Non-Scheduled,-1,829.65,829.65,Dec-2025
1521072017@315340@101172649@3854@101094@202391,OTHER,BUPRIGESIC,NEON LABORATORIES LTD,BUPRENORPHINE TRANSDERMAL PATCH 5 MG,1,TRANSDERMAL PATCH,Non-Scheduled,-1,1562.80,1562.80,Dec-2025
1521008680@290758@101105525@1383@101068@202391,MAIN,BUPRIGESIC 0.3 MG INJECTION 10 ML,NEON LABORATORIES LTD,BUPRENORPHINE INJECTION 0.3 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,1363.13,136.31,Dec-2025
1521008679@6204@101105525@1383@101068@202391,MAIN,BUPRIGESIC 0.3 MG INJECTION 1 ML,NEON LABORATORIES LTD,BUPRENORPHINE INJECTION 0.3 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,31.10,31.10,Dec-2025
1521008681@6203@101105525@1524@101068@202391,MAIN,BUPRIGESIC 0.6 MG INJECTION 2 ML,NEON LABORATORIES LTD,BUPRENORPHINE INJECTION 0.6 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,53.00,26.50,Dec-2025
1521135111@9999998616@101105525@2107@101094@202391,MAIN,BUPRIGESIC 10 MG TRANSDERMAL PATCH 1,NEON LABORATORIES LTD,BUPRENORPHINE TRANSDERMAL PATCH 10 MG,1 TRANSDERMAL PATCH,TRANSDERMAL PATCH,Non-Scheduled,-1,2998.00,2998.00,Dec-2025
1521135111@9999998616@101105525@2107@101094@202391,OTHER,BUPREPLAST,ZUVENTUS HEALTHCARE LTD,BUPRENORPHINE TRANSDERMAL PATCH 10 MG,1,TRANSDERMAL PATCH,Non-Scheduled,-1,1678.10,1678.10,Dec-2025
1521135110@9999998615@101105525@3854@101094@202391,MAIN,BUPRIGESIC 5 MG TRANSDERMAL PATCH 1,NEON LABORATORIES LTD,BUPRENORPHINE TRANSDERMAL PATCH 5 MG,1 TRANSDERMAL PATCH,TRANSDERMAL PATCH,Non-Scheduled,-1,1562.80,1562.80,Dec-2025
1521135110@9999998615@101105525@3854@101094@202391,OTHER,BUPREPLAST,ZUVENTUS HEALTHCARE LTD,BUPRENORPHINE TRANSDERMAL PATCH 5 MG,1,TRANSDERMAL PATCH,Non-Scheduled,-1,829.65,829.65,Dec-2025
1521008754@185758@101105605@2107@101097@202391,MAIN,BUVALOR 10 10 MG PATCH 2,MODI MUNDI PHARMA PVT LTD,BUPRENORPHINE PATCH 10 MG,2 PATCH,PATCH,Non-Scheduled,-1,2977.50,1488.75,Dec-2025
1521008754@185758@101105605@2107@101097@202391,OTHER,BUPOXONE,INTAS PHARMACEUTICALS LTD,BUPRENORPHINE PATCH 10 MG,1,PATCH,Non-Scheduled,-1,1078.13,1078.13,Dec-2025
1521008756@185759@101105605@3049@101097@202391,MAIN,BUVALOR 20 20 MG PATCH 2,MODI MUNDI PHARMA PVT LTD,BUPRENORPHINE PATCH 20 MG,2 PATCH,PATCH,Non-Scheduled,-1,5428.13,2714.07,Dec-2025
1521008759@185622@101105605@3854@101097@202391,MAIN,BUVALOR 5 5 MG PATCH 2,MODI MUNDI PHARMA PVT LTD,BUPRENORPHINE PATCH 5 MG,2 PATCH,PATCH,Non-Scheduled,-1,1629.36,814.68,Dec-2025
1521008759@185622@101105605@3854@101097@202391,OTHER,BUPOXONE,INTAS PHARMACEUTICALS LTD,BUPRENORPHINE PATCH 5 MG,1,PATCH,Non-Scheduled,-1,562.50,562.50,Dec-2025
1521139053@306958@101233983@-1@101126@202391,MAIN,LENDER SYRUP 200 ML,PAGODA PHARMACEUTICALS,BUPRENORPHINE SYRUP ,200 ML SYRUP,SYRUP,Non-Scheduled,-1,140.53,0.70,Dec-2025
1521086957@197187@101171753@2105@101097@202391,MAIN,RUPATCH 10 MCG PATCH 2,RUSAN HEALTHCARE PVT. LTD,BUPRENORPHINE PATCH 10 MCG,2 PATCH,PATCH,Non-Scheduled,-1,869.00,434.50,Dec-2025
1521093681@197188@101171753@3045@101097@202391,MAIN,RUPATCH 20 MCG PATCH 2,RUSAN HEALTHCARE PVT. LTD,BUPRENORPHINE PATCH 20 MCG,2 PATCH,PATCH,Non-Scheduled,-1,1754.00,877.00,Dec-2025
1521137654@197189@101171753@3853@101097@202391,MAIN,RUPATCH 5 MCG PATCH 2,RUSAN HEALTHCARE PVT. LTD,BUPRENORPHINE PATCH 5 MCG,2 PATCH,PATCH,Non-Scheduled,-1,467.00,233.50,Dec-2025
1521156604@700965@101243361@1340@101006@202391,MAIN,SANGESIC 0.2 MG TABLET 10,RUSAN HEALTHCARE PVT. LTD,BUPRENORPHINE TABLET 0.2 MG,10 TABLET,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521156604@700965@101243361@1340@101006@202391,OTHER,ADDNOK,RUSAN HEALTHCARE PVT. LTD,BUPRENORPHINE TABLET 0.2 MG,20,TABLET,Non-Scheduled,-1,80.00,4.00,Dec-2025
