HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521001720@258176@101102485@3944@101019@201070,MAIN,ALOMINE 8 % LOTION 100 ML,NOEL PHARMACEUTICALS,CALAMINE LOTION 8 %,100 ML LOTION,LOTION,Non-Scheduled,-1,140.50,1.41,Dec-2025
1521001720@258176@101102485@3944@101019@201070,OTHER,VERACAL,DERMO CARE LABORATORIES,CALAMINE LOTION 8 %,125,LOTION,Non-Scheduled,-1,103.00,0.82,Dec-2025
1521001720@258176@101102485@3944@101019@201070,OTHER,CALACARE,INTAS PHARMACEUTICALS LTD,CALAMINE LOTION 8 %,100,LOTION,Non-Scheduled,-1,91.41,0.91,Dec-2025
1521001720@258176@101102485@3944@101019@201070,OTHER,CALADRYL,JOHNSON & JOHNSON,CALAMINE LOTION 8 %,100,LOTION,Non-Scheduled,-1,108.75,1.09,Dec-2025
1521001720@258176@101102485@3944@101019@201070,OTHER,CALADRYL,JOHNSON & JOHNSON,CALAMINE LOTION 8 %,60,LOTION,Non-Scheduled,-1,75.00,1.25,Dec-2025
1521001720@258176@101102485@3944@101019@201070,OTHER,LINICAL,PALSONS DERMA PVT. LTD,CALAMINE LOTION 8 %,100,LOTION,Non-Scheduled,-1,229.00,2.29,Dec-2025
1521106908@178442@101228328@-1@101019@201070,MAIN,ALOMINOL LOTION 100 ML,PASTEUR LABORATORIES PVT. LTD.,CALAMINE LOTION ,100 ML LOTION,LOTION,Scheduled,0.97,110.63,1.11,Dec-2025
1521106908@178442@101228328@-1@101019@201070,OTHER,CALAMINOL,PASTEUR LABORATORIES PVT. LTD.,CALAMINE LOTION ,50,LOTION,Scheduled,0.97,23.87,0.48,Dec-2025
1521106908@178442@101228328@-1@101019@201070,OTHER,CALLY KOOL,ZEE LABORATORIES,CALAMINE LOTION ,60,LOTION,Scheduled,0.97,35.75,0.60,Dec-2025
1521106908@178442@101228328@-1@101019@201070,OTHER,CALSMOOTH S,LUPIN LTD,CALAMINE LOTION ,65,LOTION,Scheduled,0.97,56.25,0.87,Dec-2025
1521106908@178442@101228328@-1@101019@201070,OTHER,AQUAMINOL,PASTEUR LABORATORIES PVT. LTD.,CALAMINE LOTION ,100,LOTION,Scheduled,0.97,97.00,0.97,Dec-2025
