HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521077712@193246@101178117@2802@101068@200328,MAIN,TINNEX 160 MG INJECTION 8 ML,LINCOLN PHARMACEUTICALS LTD,CAROVERINE INJECTION 160 MG,8 ML INJECTION,INJECTION,Non-Scheduled,-1,1876.22,234.53,Dec-2025
1521077711@192137@101178117@3049@101038@200328,MAIN,TINNEX 20 MG CAPSULE 10,LINCOLN PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,170.00,17.00,Dec-2025
1521077711@192137@101178117@3049@101038@200328,OTHER,TINNITOD,ENTOD PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,28,CAPSULE,Non-Scheduled,-1,612.19,21.86,Dec-2025
1521077711@192137@101178117@3049@101038@200328,OTHER,TINNICAR,SUNWAYS (INDIA) PVT LTD,CAROVERINE CAPSULE 20 MG,10,CAPSULE,Non-Scheduled,-1,263.44,26.34,Dec-2025
1521077710@233775@101178117@3049@101038@200328,MAIN,TINNEX 20 MG CAPSULE 28,LINCOLN PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,28 CAPSULE,CAPSULE,Non-Scheduled,-1,564.09,20.15,Dec-2025
1521077710@233775@101178117@3049@101038@200328,OTHER,TINNITOD,ENTOD PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,28,CAPSULE,Non-Scheduled,-1,612.19,21.86,Dec-2025
1521077710@233775@101178117@3049@101038@200328,OTHER,TINNICAR,SUNWAYS (INDIA) PVT LTD,CAROVERINE CAPSULE 20 MG,10,CAPSULE,Non-Scheduled,-1,263.44,26.34,Dec-2025
1521077713@187920@101178118@3049@101038@200328,MAIN,TINNICAR 20 MG CAPSULE 10,SUNWAYS (INDIA) PVT LTD,CAROVERINE CAPSULE 20 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,263.44,26.34,Dec-2025
1521077713@187920@101178118@3049@101038@200328,OTHER,TINNEX,LINCOLN PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,10,CAPSULE,Non-Scheduled,-1,170.00,17.00,Dec-2025
1521077713@187920@101178118@3049@101038@200328,OTHER,TINNEX,LINCOLN PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,28,CAPSULE,Non-Scheduled,-1,564.09,20.15,Dec-2025
1521077713@187920@101178118@3049@101038@200328,OTHER,TINNITOD,ENTOD PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,28,CAPSULE,Non-Scheduled,-1,612.19,21.86,Dec-2025
1521135143@9999998578@101138330@3049@101038@200328,MAIN,TINNITOD 20 MG CAPSULE 28,ENTOD PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,28 CAPSULE,CAPSULE,Non-Scheduled,-1,612.19,21.86,Dec-2025
1521135143@9999998578@101138330@3049@101038@200328,OTHER,TINNEX,LINCOLN PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,10,CAPSULE,Non-Scheduled,-1,170.00,17.00,Dec-2025
1521135143@9999998578@101138330@3049@101038@200328,OTHER,TINNEX,LINCOLN PHARMACEUTICALS LTD,CAROVERINE CAPSULE 20 MG,28,CAPSULE,Non-Scheduled,-1,564.09,20.15,Dec-2025
1521135143@9999998578@101138330@3049@101038@200328,OTHER,TINNICAR,SUNWAYS (INDIA) PVT LTD,CAROVERINE CAPSULE 20 MG,10,CAPSULE,Non-Scheduled,-1,263.44,26.34,Dec-2025
1521035123@296483@101138330@3049@101085@200328,MAIN,TINNITOD 20 MG SOFTGEL CAPSULE 10,ENTOD PHARMACEUTICALS LTD,CAROVERINE SOFTGEL CAPSULE 20 MG,10 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,365.63,36.56,Dec-2025
