HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521022418@67374@101115713@2404@101081@201463,MAIN,ADCEF 125 MG TABLET DT 10,TORRENT PHARMACEUTICALS LTD.,CEFDINIR TABLET DT 125 MG,10 TABLET DT,TABLET DT,Non-Scheduled,-1,202.25,20.23,Dec-2025
1521001122@67373@101115713@2404@101091@201463,MAIN,ADCEF INSTAUSE 125 MG SUSPENSION 30 ML,TORRENT PHARMACEUTICALS LTD.,CEFDINIR SUSPENSION 125 MG,30 ML SUSPENSION,SUSPENSION,Non-Scheduled,-1,228.70,7.62,Dec-2025
1521001122@67373@101115713@2404@101091@201463,OTHER,RTIST,LUPIN LTD,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,71.42,2.38,Dec-2025
1521001122@67373@101115713@2404@101091@201463,OTHER,KEFNIR,GLENMARK PHARMACEUTICALS LTD.,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,73.07,2.44,Dec-2025
1521001122@67373@101115713@2404@101091@201463,OTHER,CEFRINE,MACLEODS PHARMACEUTICALS PVT.LTD,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,125.81,4.19,Dec-2025
1521019715@99527@101106264@3426@101038@201463,MAIN,CEFDIEL 300 MG CAPSULE 10,RANBAXY LABORATORIES LTD,CEFDINIR CAPSULE 300 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,368.25,36.83,Dec-2025
1521019715@99527@101106264@3426@101038@201463,OTHER,CEFRINE,MACLEODS PHARMACEUTICALS PVT.LTD,CEFDINIR CAPSULE 300 MG,10,CAPSULE,Non-Scheduled,-1,344.06,34.41,Dec-2025
1521019715@99527@101106264@3426@101038@201463,OTHER,SEFDIN,TORRENT PHARMACEUTICALS LTD.,CEFDINIR CAPSULE 300 MG,10,CAPSULE,Non-Scheduled,-1,616.10,61.61,Dec-2025
1521022156@310377@101114069@3426@101038@201463,MAIN,CEFRINE 300 MG CAPSULE 10,MACLEODS PHARMACEUTICALS PVT.LTD,CEFDINIR CAPSULE 300 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,344.06,34.41,Dec-2025
1521022156@310377@101114069@3426@101038@201463,OTHER,CEFDIEL,RANBAXY LABORATORIES LTD,CEFDINIR CAPSULE 300 MG,10,CAPSULE,Non-Scheduled,-1,368.25,36.83,Dec-2025
1521022156@310377@101114069@3426@101038@201463,OTHER,SEFDIN,TORRENT PHARMACEUTICALS LTD.,CEFDINIR CAPSULE 300 MG,10,CAPSULE,Non-Scheduled,-1,616.10,61.61,Dec-2025
1521010206@8084@101114069@2404@101091@201463,MAIN,CEFRINE ORAL 125 MG SUSPENSION 30 ML,MACLEODS PHARMACEUTICALS PVT.LTD,CEFDINIR SUSPENSION 125 MG,30 ML SUSPENSION,SUSPENSION,Non-Scheduled,-1,125.81,4.19,Dec-2025
1521010206@8084@101114069@2404@101091@201463,OTHER,RTIST,LUPIN LTD,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,71.42,2.38,Dec-2025
1521010206@8084@101114069@2404@101091@201463,OTHER,KEFNIR,GLENMARK PHARMACEUTICALS LTD.,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,73.07,2.44,Dec-2025
1521010206@8084@101114069@2404@101091@201463,OTHER,ADCEF,TORRENT PHARMACEUTICALS LTD.,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,228.70,7.62,Dec-2025
1521036142@111854@101139341@3426@101006@201463,MAIN,IDINIR 300 MG TABLET 4,INVISION MEDI SCIENCES,CEFDINIR TABLET 300 MG,4 TABLET,TABLET,Non-Scheduled,-1,156.00,39.00,Dec-2025
1521102612@78018@101195078@2404@101091@201463,MAIN,KEFNIR 125 MG SUSPENSION 30 ML,GLENMARK PHARMACEUTICALS LTD.,CEFDINIR SUSPENSION 125 MG,30 ML SUSPENSION,SUSPENSION,Non-Scheduled,-1,73.07,2.44,Dec-2025
1521102612@78018@101195078@2404@101091@201463,OTHER,RTIST,LUPIN LTD,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,71.42,2.38,Dec-2025
1521102612@78018@101195078@2404@101091@201463,OTHER,CEFRINE,MACLEODS PHARMACEUTICALS PVT.LTD,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,125.81,4.19,Dec-2025
1521102612@78018@101195078@2404@101091@201463,OTHER,ADCEF,TORRENT PHARMACEUTICALS LTD.,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,228.70,7.62,Dec-2025
1521137710@314313@101236636@-1@101126@201463,MAIN,PEDITUS SYRUP 60 ML,OLCARE LTD,CEFDINIR SYRUP ,60 ML SYRUP,SYRUP,Non-Scheduled,-1,84.25,1.40,Dec-2025
1521089562@66558@101188291@2404@101091@201463,MAIN,RTIST 125 MG SUSPENSION 30 ML,LUPIN LTD,CEFDINIR SUSPENSION 125 MG,30 ML SUSPENSION,SUSPENSION,Non-Scheduled,-1,71.42,2.38,Dec-2025
1521089562@66558@101188291@2404@101091@201463,OTHER,KEFNIR,GLENMARK PHARMACEUTICALS LTD.,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,73.07,2.44,Dec-2025
1521089562@66558@101188291@2404@101091@201463,OTHER,CEFRINE,MACLEODS PHARMACEUTICALS PVT.LTD,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,125.81,4.19,Dec-2025
1521089562@66558@101188291@2404@101091@201463,OTHER,ADCEF,TORRENT PHARMACEUTICALS LTD.,CEFDINIR SUSPENSION 125 MG,30,SUSPENSION,Non-Scheduled,-1,228.70,7.62,Dec-2025
1521054699@241205@101152511@3426@101038@201463,MAIN,SEFDIN 300 MG CAPSULE 10,TORRENT PHARMACEUTICALS LTD.,CEFDINIR CAPSULE 300 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,616.10,61.61,Dec-2025
1521054699@241205@101152511@3426@101038@201463,OTHER,CEFRINE,MACLEODS PHARMACEUTICALS PVT.LTD,CEFDINIR CAPSULE 300 MG,10,CAPSULE,Non-Scheduled,-1,344.06,34.41,Dec-2025
1521054699@241205@101152511@3426@101038@201463,OTHER,CEFDIEL,RANBAXY LABORATORIES LTD,CEFDINIR CAPSULE 300 MG,10,CAPSULE,Non-Scheduled,-1,368.25,36.83,Dec-2025
