HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521011697@95531@101102774@3967@101101@200238,MAIN,B FOLCIN 8.7 % GEL 10 GM,WEST COAST PHARMA WORKS,CHOLINE SALICYLATE GEL 8.7 %,10 GM GEL,GEL,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521021487@110324@101127187@3967@101064@200238,MAIN,EMERGEL 8.7 % MOUTH WASH 15 ML,RAVENBHEL PHARMACEUTICALS PVT LTD.,CHOLINE SALICYLATE MOUTH WASH 8.7 %,15 ML MOUTH WASH,MOUTH WASH,Non-Scheduled,-1,63.28,4.22,Dec-2025
1521027755@181135@101131652@3975@101101@200238,MAIN,FITGEL MOUTH ULCER 9 % GEL 15 GM,JB CHEMICALS,CHOLINE SALICYLATE GEL 9 %,15 GM GEL,GEL,Non-Scheduled,-1,78.12,5.21,Dec-2025
1521027755@181135@101131652@3975@101101@200238,OTHER,ORAFLORA,MCW HEALTHCARE,CHOLINE SALICYLATE GEL 9 %,10,GEL,Non-Scheduled,-1,102.09,10.21,Dec-2025
1521027755@181135@101131652@3975@101101@200238,OTHER,ZYTEE RB,RAPTAKOS BRETT & CO. LTD.,CHOLINE SALICYLATE GEL 9 %,10,GEL,Non-Scheduled,-1,120.50,12.05,Dec-2025
1521057889@110652@101160827@3975@101101@200238,MAIN,ORAFLORA 9 % GEL 10 ML,MCW HEALTHCARE,CHOLINE SALICYLATE GEL 9 %,10 ML GEL,GEL,Non-Scheduled,-1,102.09,10.21,Dec-2025
1521057889@110652@101160827@3975@101101@200238,OTHER,FITGEL,JB CHEMICALS,CHOLINE SALICYLATE GEL 9 %,15,GEL,Non-Scheduled,-1,78.12,5.21,Dec-2025
1521057889@110652@101160827@3975@101101@200238,OTHER,ZYTEE RB,RAPTAKOS BRETT & CO. LTD.,CHOLINE SALICYLATE GEL 9 %,10,GEL,Non-Scheduled,-1,120.50,12.05,Dec-2025
1521057895@283868@101160829@3944@101101@200238,MAIN,ORAFREE MOUTH ULCER 8 % GEL 10 GM,MED MANOR ORGANICS PVT LTD.,CHOLINE SALICYLATE GEL 8 %,10 GM GEL,GEL,Non-Scheduled,-1,69.00,6.90,Dec-2025
1521140646@117480@101240136@-1@101143@200238,MAIN,VILORAL MOUTH PAINT 20 ML,VILCO LABORATORIES PVT. LTD,CHOLINE SALICYLATE PAINT ,20 ML PAINT,PAINT,Non-Scheduled,-1,21.60,1.08,Dec-2025
1521086774@67185@101187663@1551@101064@200238,MAIN,ZYTEE 0.9 % MOUTH WASH 100 ML,RAPTAKOS BRETT & CO. LTD.,CHOLINE SALICYLATE MOUTH WASH 0.9 %,100 ML MOUTH WASH,MOUTH WASH,Non-Scheduled,-1,33.00,0.33,Dec-2025
1521086767@67186@101187663@3975@101142@200238,MAIN,ZYTEE 9 % PASTE 100 GM,RAPTAKOS BRETT & CO. LTD.,CHOLINE SALICYLATE PASTE 9 %,100 GM PASTE,PASTE,Non-Scheduled,-1,46.30,0.46,Dec-2025
1521086775@67184@101187664@3975@101101@200238,MAIN,ZYTEE RB 9 % GEL 10 ML,RAPTAKOS BRETT & CO. LTD.,CHOLINE SALICYLATE GEL 9 %,10 ML GEL,GEL,Non-Scheduled,-1,120.50,12.05,Dec-2025
1521086775@67184@101187664@3975@101101@200238,OTHER,FITGEL,JB CHEMICALS,CHOLINE SALICYLATE GEL 9 %,15,GEL,Non-Scheduled,-1,78.12,5.21,Dec-2025
1521086775@67184@101187664@3975@101101@200238,OTHER,ORAFLORA,MCW HEALTHCARE,CHOLINE SALICYLATE GEL 9 %,10,GEL,Non-Scheduled,-1,102.09,10.21,Dec-2025
