HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521097777@78287@101192497@2107@101006@202319,MAIN,CELEPRA 10 MG TABLET 10,MICRO LABS LTD,CITALOPRAM TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,96.10,9.61,Dec-2025
1521097777@78287@101192497@2107@101006@202319,OTHER,CITOLA,LA PHARMACEUTICALS,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,58.03,5.80,Dec-2025
1521097777@78287@101192497@2107@101006@202319,OTHER,VOCITA,SHINE PHARMACEUTICALS LTD,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,88.75,8.88,Dec-2025
1521097777@78287@101192497@2107@101006@202319,OTHER,LEXATAL,SEPTALYST LIFESCIENCES PVT LTD,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,91.00,9.10,Dec-2025
1521097777@78287@101192497@2107@101006@202319,OTHER,CIPAM S,TAS MED (INDIA) PRIVATE LTD.,CITALOPRAM TABLET 10 MG,15,TABLET,Non-Scheduled,-1,136.75,9.12,Dec-2025
1521097777@78287@101192497@2107@101006@202319,OTHER,CITADEP,CIPLA LTD.,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,94.50,9.45,Dec-2025
1521097777@78287@101192497@2107@101006@202319,OTHER,CITA,CRESCENT FORMULATIONS PVT. LTD.,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,134.90,13.49,Dec-2025
1521012858@322272@101115983@2107@101006@202319,MAIN,CIPAM S 10 MG TABLET 15,TAS MED (INDIA) PRIVATE LTD.,CITALOPRAM TABLET 10 MG,15 TABLET,TABLET,Non-Scheduled,-1,136.75,9.12,Dec-2025
1521012858@322272@101115983@2107@101006@202319,OTHER,CITOLA,LA PHARMACEUTICALS,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,58.03,5.80,Dec-2025
1521012858@322272@101115983@2107@101006@202319,OTHER,VOCITA,SHINE PHARMACEUTICALS LTD,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,88.75,8.88,Dec-2025
1521012858@322272@101115983@2107@101006@202319,OTHER,LEXATAL,SEPTALYST LIFESCIENCES PVT LTD,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,91.00,9.10,Dec-2025
1521012858@322272@101115983@2107@101006@202319,OTHER,CITADEP,CIPLA LTD.,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,94.50,9.45,Dec-2025
1521012858@322272@101115983@2107@101006@202319,OTHER,CELEPRA,MICRO LABS LTD,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,96.10,9.61,Dec-2025
1521012858@322272@101115983@2107@101006@202319,OTHER,CITA,CRESCENT FORMULATIONS PVT. LTD.,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,134.90,13.49,Dec-2025
1521012891@140224@101115983@3854@101006@202319,MAIN,CIPAM S 5 MG TABLET 10,TAS MED (INDIA) PRIVATE LTD.,CITALOPRAM TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,69.30,6.93,Dec-2025
1521012891@140224@101115983@3854@101006@202319,OTHER,LEXATAL,SEPTALYST LIFESCIENCES PVT LTD,CITALOPRAM TABLET 5 MG,10,TABLET,Non-Scheduled,-1,49.60,4.96,Dec-2025
1521012891@140224@101115983@3854@101006@202319,OTHER,VOCITA,SHINE PHARMACEUTICALS LTD,CITALOPRAM TABLET 5 MG,10,TABLET,Non-Scheduled,-1,49.70,4.97,Dec-2025
1521012891@140224@101115983@3854@101006@202319,OTHER,CITADEP,CIPLA LTD.,CITALOPRAM TABLET 5 MG,10,TABLET,Non-Scheduled,-1,52.29,5.23,Dec-2025
1521100109@56689@101116295@2107@101006@202319,MAIN,CITA 10 MG TABLET 10,CRESCENT FORMULATIONS PVT. LTD.,CITALOPRAM TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,134.90,13.49,Dec-2025
1521100109@56689@101116295@2107@101006@202319,OTHER,CITOLA,LA PHARMACEUTICALS,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,58.03,5.80,Dec-2025
1521100109@56689@101116295@2107@101006@202319,OTHER,VOCITA,SHINE PHARMACEUTICALS LTD,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,88.75,8.88,Dec-2025
1521100109@56689@101116295@2107@101006@202319,OTHER,LEXATAL,SEPTALYST LIFESCIENCES PVT LTD,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,91.00,9.10,Dec-2025
1521100109@56689@101116295@2107@101006@202319,OTHER,CIPAM S,TAS MED (INDIA) PRIVATE LTD.,CITALOPRAM TABLET 10 MG,15,TABLET,Non-Scheduled,-1,136.75,9.12,Dec-2025
1521100109@56689@101116295@2107@101006@202319,OTHER,CITADEP,CIPLA LTD.,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,94.50,9.45,Dec-2025
1521100109@56689@101116295@2107@101006@202319,OTHER,CELEPRA,MICRO LABS LTD,CITALOPRAM TABLET 10 MG,10,TABLET,Non-Scheduled,-1,96.10,9.61,Dec-2025
