HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521003502@228541@101148290@1829@101006@200742,MAIN,ARKAMIN 100 MCG TABLET 30,TORRENT PHARMACEUTICALS LTD.,CLONIDINE TABLET 100 MCG,30 TABLET,TABLET,Non-Scheduled,-1,90.35,3.01,Dec-2025
1521134786@9999998562@101148290@2642@101006@200742,MAIN,ARKAMIN 150 MG TABLET 30,TORRENT PHARMACEUTICALS LTD.,CLONIDINE TABLET 150 MG,30 TABLET,TABLET,Non-Scheduled,-1,182.30,6.08,Dec-2025
1521134786@9999998562@101148290@2642@101006@200742,OTHER,ARKAPRES,BIOKINDLE LIFESCIENCES PVT. LTD,CLONIDINE TABLET 150 MG,10,TABLET,Non-Scheduled,-1,20.44,2.04,Dec-2025
1521134786@9999998562@101148290@2642@101006@200742,OTHER,ARKASHINE,REPENS HEALTHCARE INDIA PVT.LTD,CLONIDINE TABLET 150 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521134786@9999998562@101148290@2642@101006@200742,OTHER,CLONITHEM,ANTHEM BIOPHARMA PVT LTD,CLONIDINE TABLET 150 MG,30,TABLET,Non-Scheduled,-1,140.63,4.69,Dec-2025
1521103928@254113@101195510@1846@101006@200742,MAIN,ARKAPRES 100 MG TABLET 10,BIOKINDLE LIFESCIENCES PVT. LTD,CLONIDINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,14.15,1.42,Dec-2025
1521103928@254113@101195510@1846@101006@200742,OTHER,ARKASHINE,REPENS HEALTHCARE INDIA PVT.LTD,CLONIDINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,30.00,3.00,Dec-2025
1521103928@254113@101195510@1846@101006@200742,OTHER,CLONITHEM,ANTHEM BIOPHARMA PVT LTD,CLONIDINE TABLET 100 MG,30,TABLET,Non-Scheduled,-1,93.75,3.13,Dec-2025
1521103928@254113@101195510@1846@101006@200742,OTHER,CLODICT,CONSERN PHARMA (P) LTD,CLONIDINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,36.56,3.66,Dec-2025
1521103928@254113@101195510@1846@101006@200742,OTHER,CLONIDIME,STERIS HEALTHCARE,CLONIDINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,53.44,5.34,Dec-2025
1521103655@267458@101195510@2642@101006@200742,MAIN,ARKAPRES 150 MG TABLET 10,BIOKINDLE LIFESCIENCES PVT. LTD,CLONIDINE TABLET 150 MG,10 TABLET,TABLET,Non-Scheduled,-1,20.44,2.04,Dec-2025
1521103655@267458@101195510@2642@101006@200742,OTHER,ARKASHINE,REPENS HEALTHCARE INDIA PVT.LTD,CLONIDINE TABLET 150 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521103655@267458@101195510@2642@101006@200742,OTHER,CLONITHEM,ANTHEM BIOPHARMA PVT LTD,CLONIDINE TABLET 150 MG,30,TABLET,Non-Scheduled,-1,140.63,4.69,Dec-2025
1521103655@267458@101195510@2642@101006@200742,OTHER,ARKAMIN,TORRENT PHARMACEUTICALS LTD.,CLONIDINE TABLET 150 MG,30,TABLET,Non-Scheduled,-1,182.30,6.08,Dec-2025
1521152323@339307@101228631@1846@101006@200742,MAIN,ARKASHINE 100 MG TABLET 10,REPENS HEALTHCARE INDIA PVT.LTD,CLONIDINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,30.00,3.00,Dec-2025
1521152323@339307@101228631@1846@101006@200742,OTHER,ARKAPRES,BIOKINDLE LIFESCIENCES PVT. LTD,CLONIDINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,14.15,1.42,Dec-2025
1521152323@339307@101228631@1846@101006@200742,OTHER,CLONITHEM,ANTHEM BIOPHARMA PVT LTD,CLONIDINE TABLET 100 MG,30,TABLET,Non-Scheduled,-1,93.75,3.13,Dec-2025
1521152323@339307@101228631@1846@101006@200742,OTHER,CLODICT,CONSERN PHARMA (P) LTD,CLONIDINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,36.56,3.66,Dec-2025
1521152323@339307@101228631@1846@101006@200742,OTHER,CLONIDIME,STERIS HEALTHCARE,CLONIDINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,53.44,5.34,Dec-2025
1521152324@339308@101228631@2642@101006@200742,MAIN,ARKASHINE 150 MG TABLET 10,REPENS HEALTHCARE INDIA PVT.LTD,CLONIDINE TABLET 150 MG,10 TABLET,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521152324@339308@101228631@2642@101006@200742,OTHER,ARKAPRES,BIOKINDLE LIFESCIENCES PVT. LTD,CLONIDINE TABLET 150 MG,10,TABLET,Non-Scheduled,-1,20.44,2.04,Dec-2025
1521152324@339308@101228631@2642@101006@200742,OTHER,CLONITHEM,ANTHEM BIOPHARMA PVT LTD,CLONIDINE TABLET 150 MG,30,TABLET,Non-Scheduled,-1,140.63,4.69,Dec-2025
1521152324@339308@101228631@2642@101006@200742,OTHER,ARKAMIN,TORRENT PHARMACEUTICALS LTD.,CLONIDINE TABLET 150 MG,30,TABLET,Non-Scheduled,-1,182.30,6.08,Dec-2025
1521141696@111392@101230227@1846@101006@200742,MAIN,CLODICT 100 MG TABLET 10,CONSERN PHARMA (P) LTD,CLONIDINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,36.56,3.66,Dec-2025
1521141696@111392@101230227@1846@101006@200742,OTHER,ARKAPRES,BIOKINDLE LIFESCIENCES PVT. LTD,CLONIDINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,14.15,1.42,Dec-2025
1521141696@111392@101230227@1846@101006@200742,OTHER,ARKASHINE,REPENS HEALTHCARE INDIA PVT.LTD,CLONIDINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,30.00,3.00,Dec-2025
