HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521002708@200105@101107103@3312@101006@201300,MAIN,ANDREVA SR 25 MG TABLET 7,VIVO LIFE SCIENCE,DEHYDROEPIANDROSTERONE TABLET 25 MG,7 TABLET,TABLET,Non-Scheduled,-1,359.70,51.39,Dec-2025
1521156727@700613@101243173@3937@101006@201300,MAIN,ANDREVA SR 75 MG TABLET 10,VIVO LIFE SCIENCE,DEHYDROEPIANDROSTERONE TABLET 75 MG,10 TABLET,TABLET,Non-Scheduled,-1,244.55,24.46,Dec-2025
1521156727@700613@101243173@3937@101006@201300,OTHER,OVICARD,AJANTA PHARMA LTD,DEHYDROEPIANDROSTERONE TABLET 75 MG,10,TABLET,Non-Scheduled,-1,350.00,35.00,Dec-2025
1521156727@700613@101243173@3937@101006@201300,OTHER,OVUSPARK,BHARAT SERUMS & VACCINES LTD,DEHYDROEPIANDROSTERONE TABLET 75 MG,7,TABLET,Non-Scheduled,-1,379.00,54.14,Dec-2025
1521156727@700613@101243173@3937@101006@201300,OTHER,OVA DSR,SYNOKEM PHARMACEUTICALS LTD,DEHYDROEPIANDROSTERONE TABLET 75 MG,7,TABLET,Non-Scheduled,-1,382.30,54.61,Dec-2025
1521156727@700613@101243173@3937@101006@201300,OTHER,OVIGYN,ALEMBIC LTD,DEHYDROEPIANDROSTERONE TABLET 75 MG,7,TABLET,Non-Scheduled,-1,464.44,66.35,Dec-2025
1521051139@230957@101245189@3937@101075@201300,MAIN,COEDHEA SR 75 MG TABLET SR 10,KOYE PHARMACEUTICALS PVT. LTD.,DEHYDROEPIANDROSTERONE TABLET SR 75 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,497.20,49.72,Dec-2025
1521051139@230957@101245189@3937@101075@201300,OTHER,SAFEGEST D,GODDRES PHARMACEUTICALS LTD,DEHYDROEPIANDROSTERONE TABLET SR 75 MG,10,TABLET SR,Non-Scheduled,-1,237.46,23.75,Dec-2025
1521051139@230957@101245189@3937@101075@201300,OTHER,OVAFLO,MANKIND PHARMACEUTICALS LTD.,DEHYDROEPIANDROSTERONE TABLET SR 75 MG,7,TABLET SR,Non-Scheduled,-1,232.92,33.27,Dec-2025
1521051139@230957@101245189@3937@101075@201300,OTHER,PRASTOVA,CIPLA LTD.,DEHYDROEPIANDROSTERONE TABLET SR 75 MG,7,TABLET SR,Non-Scheduled,-1,390.96,55.85,Dec-2025
