HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521158715@127383@101244809@2107@101136@201406,MAIN,ADIURETIN 10 MG SPRAY 2.5 ML,FERRING PHARMACEUTICALS,DESMOPRESSIN SPRAY 10 MG,2.5 ML SPRAY,SPRAY,Non-Scheduled,-1,1194.65,398.22,Dec-2025
1521018823@167440@101125302@1207@101090@201406,MAIN,DPRESSIN 0.1 MG NASAL SPRAY 5 ML,UNITED BIOTECH (P) LTD,DESMOPRESSIN NASAL SPRAY 0.1 MG,5 ML NASAL SPRAY,NASAL SPRAY,Non-Scheduled,-1,1695.00,339.00,Dec-2025
1521018823@167440@101125302@1207@101090@201406,OTHER,MINIRIN,FERRING PHARMACEUTICALS,DESMOPRESSIN NASAL SPRAY 0.1 MG,2,NASAL SPRAY,Non-Scheduled,-1,648.93,216.31,Dec-2025
1521018822@129469@101125302@1207@101006@201406,MAIN,DPRESSIN 0.1 MG TABLET 10,UNITED BIOTECH (P) LTD,DESMOPRESSIN TABLET 0.1 MG,10 TABLET,TABLET,Non-Scheduled,-1,336.56,33.66,Dec-2025
1521018822@129469@101125302@1207@101006@201406,OTHER,MINIRIN,FERRING PHARMACEUTICALS,DESMOPRESSIN TABLET 0.1 MG,15,TABLET,Non-Scheduled,-1,533.44,35.56,Dec-2025
1521048508@96158@101151596@1207@101090@201406,MAIN,MINIRIN 0.1 MG NASAL SPRAY 2.5 ML,FERRING PHARMACEUTICALS,DESMOPRESSIN NASAL SPRAY 0.1 MG,2.5 ML NASAL SPRAY,NASAL SPRAY,Non-Scheduled,-1,648.93,216.31,Dec-2025
1521048508@96158@101151596@1207@101090@201406,OTHER,DPRESSIN,UNITED BIOTECH (P) LTD,DESMOPRESSIN NASAL SPRAY 0.1 MG,5,NASAL SPRAY,Non-Scheduled,-1,1695.00,339.00,Dec-2025
1521048510@24373@101151596@1207@101006@201406,MAIN,MINIRIN 0.1 MG TABLET 15,FERRING PHARMACEUTICALS,DESMOPRESSIN TABLET 0.1 MG,15 TABLET,TABLET,Non-Scheduled,-1,533.44,35.56,Dec-2025
1521048510@24373@101151596@1207@101006@201406,OTHER,DPRESSIN,UNITED BIOTECH (P) LTD,DESMOPRESSIN TABLET 0.1 MG,10,TABLET,Non-Scheduled,-1,336.56,33.66,Dec-2025
1521048512@45440@101151596@1340@101006@201406,MAIN,MINIRIN 0.2 MG TABLET 30,FERRING PHARMACEUTICALS,DESMOPRESSIN TABLET 0.2 MG,30 TABLET,TABLET,Non-Scheduled,-1,1582.50,52.75,Dec-2025
1521048514@206771@101151596@2270@101006@201406,MAIN,MINIRIN MELT 120 MG TABLET 10,FERRING PHARMACEUTICALS,DESMOPRESSIN TABLET 120 MG,10 TABLET,TABLET,Non-Scheduled,-1,840.09,84.01,Dec-2025
1521048507@206866@101151596@3879@101006@201406,MAIN,MINIRIN MELT 60 MG TABLET 10,FERRING PHARMACEUTICALS,DESMOPRESSIN TABLET 60 MG,10 TABLET,TABLET,Non-Scheduled,-1,499.78,49.98,Dec-2025
