HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521016386@319455@101196056@1095@101028@201130,MAIN,ATONIDE 0.05 % CREAM 20 GM,TORRENT PHARMACEUTICALS LTD.,DESONIDE CREAM 0.05 %,20 GM CREAM,CREAM,Non-Scheduled,-1,236.95,11.85,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DERMANIDE,LUPIN LTD,DESONIDE CREAM 0.05 %,15,CREAM,Non-Scheduled,-1,132.00,8.80,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DOSETIL,OAKNET HEALTHCARE,DESONIDE CREAM 0.05 %,10,CREAM,Non-Scheduled,-1,93.00,9.30,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DESOWELL,CURIOUS BIOTECH,DESONIDE CREAM 0.05 %,15,CREAM,Non-Scheduled,-1,150.00,10.00,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DESOINT,VIATRIS,DESONIDE CREAM 0.05 %,15,CREAM,Non-Scheduled,-1,153.75,10.25,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DESOADD,INTAS PHARMACEUTICALS LTD,DESONIDE CREAM 0.05 %,15,CREAM,Non-Scheduled,-1,164.06,10.94,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DESOMILD,DABUR INDIA LTD.,DESONIDE CREAM 0.05 %,10,CREAM,Non-Scheduled,-1,128.44,12.84,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DOSETIL,OAKNET HEALTHCARE,DESONIDE CREAM 0.05 %,15,CREAM,Non-Scheduled,-1,208.99,13.93,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DESOSOFT,KLM LABORATORIES PVT.LTD,DESONIDE CREAM 0.05 %,10,CREAM,Non-Scheduled,-1,140.63,14.06,Dec-2025
1521016386@319455@101196056@1095@101028@201130,OTHER,DESOWEN,GALDERMA INDIA PVT. LTD,DESONIDE CREAM 0.05 %,10,CREAM,Non-Scheduled,-1,266.00,26.60,Dec-2025
1521004172@166571@101196056@1095@101101@201130,MAIN,ATONIDE 0.05 % GEL 20 GM,TORRENT PHARMACEUTICALS LTD.,DESONIDE GEL 0.05 %,20 GM GEL,GEL,Non-Scheduled,-1,152.45,7.62,Dec-2025
1521156584@700787@101243211@-1@101028@201130,MAIN,DEKTOP CREAM 20 GM,KLM LABORATORIES PVT.LTD,DESONIDE CREAM ,20 GM CREAM,CREAM,Non-Scheduled,-1,257.81,12.89,Dec-2025
1521156584@700787@101243211@-1@101028@201130,OTHER,GRACECORT,GRACE DERMA HEALTHCARE PVT.LTD,DESONIDE CREAM ,10,CREAM,Non-Scheduled,-1,112.50,11.25,Dec-2025
