HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521016006@165483@101123031@1829@101068@202294,MAIN,DEXEM 100 MCG INJECTION 0.5 ML,THEMIS MEDICARE LTD.,DEXMEDETOMIDINE INJECTION 100 MCG,0.5 ML INJECTION,INJECTION,Non-Scheduled,-1,401.16,401.16,Dec-2025
1521016006@165483@101123031@1829@101068@202294,OTHER,XAMDEX,ABBOTT HEALTHCARE PVT. LTD,DEXMEDETOMIDINE INJECTION 100 MCG,2,INJECTION,Non-Scheduled,-1,437.50,218.75,Dec-2025
1521016006@165483@101123031@1829@101068@202294,OTHER,SEDETO,CELON LABS,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,333.33,333.33,Dec-2025
1521016006@165483@101123031@1829@101068@202294,OTHER,XAMDEX,ABBOTT HEALTHCARE PVT. LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,464.00,464.00,Dec-2025
1521016006@165483@101123031@1829@101068@202294,OTHER,DEXIT,TROIKAA PHARMACEUTICALS LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,648.65,648.65,Dec-2025
1521016006@165483@101123031@1829@101068@202294,OTHER,DEXTOMID,NEON LABORATORIES LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,708.00,708.00,Dec-2025
1521016003@164372@101123031@1829@101068@202294,MAIN,DEXEM 100 MCG INJECTION 1 ML,THEMIS MEDICARE LTD.,DEXMEDETOMIDINE INJECTION 100 MCG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,638.92,638.92,Dec-2025
1521016003@164372@101123031@1829@101068@202294,OTHER,XAMDEX,ABBOTT HEALTHCARE PVT. LTD,DEXMEDETOMIDINE INJECTION 100 MCG,2,INJECTION,Non-Scheduled,-1,437.50,218.75,Dec-2025
1521016003@164372@101123031@1829@101068@202294,OTHER,SEDETO,CELON LABS,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,333.33,333.33,Dec-2025
1521016003@164372@101123031@1829@101068@202294,OTHER,XAMDEX,ABBOTT HEALTHCARE PVT. LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,464.00,464.00,Dec-2025
1521016003@164372@101123031@1829@101068@202294,OTHER,DEXIT,TROIKAA PHARMACEUTICALS LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,648.65,648.65,Dec-2025
1521016003@164372@101123031@1829@101068@202294,OTHER,DEXTOMID,NEON LABORATORIES LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,708.00,708.00,Dec-2025
1521016004@143377@101123031@1829@101068@202294,MAIN,DEXEM 100 MCG INJECTION 2 ML,THEMIS MEDICARE LTD.,DEXMEDETOMIDINE INJECTION 100 MCG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,1145.96,572.98,Dec-2025
1521016004@143377@101123031@1829@101068@202294,OTHER,XAMDEX,ABBOTT HEALTHCARE PVT. LTD,DEXMEDETOMIDINE INJECTION 100 MCG,2,INJECTION,Non-Scheduled,-1,437.50,218.75,Dec-2025
1521016004@143377@101123031@1829@101068@202294,OTHER,SEDETO,CELON LABS,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,333.33,333.33,Dec-2025
1521016004@143377@101123031@1829@101068@202294,OTHER,XAMDEX,ABBOTT HEALTHCARE PVT. LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,464.00,464.00,Dec-2025
1521016004@143377@101123031@1829@101068@202294,OTHER,DEXIT,TROIKAA PHARMACEUTICALS LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,648.65,648.65,Dec-2025
1521016004@143377@101123031@1829@101068@202294,OTHER,DEXTOMID,NEON LABORATORIES LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,708.00,708.00,Dec-2025
1521031159@319005@101123042@1829@101068@202294,MAIN,DEXIT 100 MCG INJECTION 1 ML,TROIKAA PHARMACEUTICALS LTD,DEXMEDETOMIDINE INJECTION 100 MCG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,648.65,648.65,Dec-2025
