HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521137438@134995@101228490@3791@101038@201995,MAIN,ANCE 50 MG CAPSULE 10,ZEE LABORATORIES,DIACEREIN CAPSULE 50 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,88.00,8.80,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,ARTHROMUV,ARISTO PHARMACEUTICALS PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,47.62,4.76,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,DIACER,CADILA PHARMACEUTICALS LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,73.88,7.39,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,CERIN (MOLEKULE),MOLEKULE (IND)PVT LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,78.10,7.81,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,ANCERIN,ANTHUS PHARMACEUTICALS PVT LTD.,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,106.41,10.64,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,ICERIN,INTRA LABS,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,120.00,12.00,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,ELTRODAR,ELDER PROJECTS LIMITED,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,120.63,12.06,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,DURAJOINT,ABBOTT HEALTHCARE PVT. LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,121.00,12.10,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,LUKIN NXT,GOLD LINE,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,133.50,13.35,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,ORCERIN,MACLEODS PHARMACEUTICALS PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,174.27,17.43,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,NUCERIN,MASCOT HEALTH SERIES PVT LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,175.00,17.50,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,DYCERIN,INTEGRACE HEALTH,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,182.34,18.23,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,DSERIN,KNOLL HEALTHCARE PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,195.42,19.54,Dec-2025
1521137438@134995@101228490@3791@101038@201995,OTHER,HILIN,DR. REDDYS LABORATORIES LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,213.46,21.35,Dec-2025
1521001243@176665@101101406@3791@101038@201995,MAIN,ANCERIN 50 MG CAPSULE 10,ANTHUS PHARMACEUTICALS PVT LTD.,DIACEREIN CAPSULE 50 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,106.41,10.64,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,ARTHROMUV,ARISTO PHARMACEUTICALS PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,47.62,4.76,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,DIACER,CADILA PHARMACEUTICALS LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,73.88,7.39,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,CERIN (MOLEKULE),MOLEKULE (IND)PVT LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,78.10,7.81,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,ANCE,ZEE LABORATORIES,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,88.00,8.80,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,ICERIN,INTRA LABS,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,120.00,12.00,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,ELTRODAR,ELDER PROJECTS LIMITED,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,120.63,12.06,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,DURAJOINT,ABBOTT HEALTHCARE PVT. LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,121.00,12.10,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,LUKIN NXT,GOLD LINE,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,133.50,13.35,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,ORCERIN,MACLEODS PHARMACEUTICALS PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,174.27,17.43,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,NUCERIN,MASCOT HEALTH SERIES PVT LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,175.00,17.50,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,DYCERIN,INTEGRACE HEALTH,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,182.34,18.23,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,DSERIN,KNOLL HEALTHCARE PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,195.42,19.54,Dec-2025
1521001243@176665@101101406@3791@101038@201995,OTHER,HILIN,DR. REDDYS LABORATORIES LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,213.46,21.35,Dec-2025
1521107157@80009@101241891@3791@101038@201995,MAIN,ARTHROMUV 50 MG CAPSULE 10,ARISTO PHARMACEUTICALS PVT.LTD,DIACEREIN CAPSULE 50 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,47.62,4.76,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,DIACER,CADILA PHARMACEUTICALS LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,73.88,7.39,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,CERIN (MOLEKULE),MOLEKULE (IND)PVT LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,78.10,7.81,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,ANCE,ZEE LABORATORIES,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,88.00,8.80,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,ANCERIN,ANTHUS PHARMACEUTICALS PVT LTD.,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,106.41,10.64,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,ICERIN,INTRA LABS,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,120.00,12.00,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,ELTRODAR,ELDER PROJECTS LIMITED,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,120.63,12.06,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,DURAJOINT,ABBOTT HEALTHCARE PVT. LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,121.00,12.10,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,LUKIN NXT,GOLD LINE,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,133.50,13.35,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,ORCERIN,MACLEODS PHARMACEUTICALS PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,174.27,17.43,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,NUCERIN,MASCOT HEALTH SERIES PVT LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,175.00,17.50,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,DYCERIN,INTEGRACE HEALTH,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,182.34,18.23,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,DSERIN,KNOLL HEALTHCARE PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,195.42,19.54,Dec-2025
1521107157@80009@101241891@3791@101038@201995,OTHER,HILIN,DR. REDDYS LABORATORIES LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,213.46,21.35,Dec-2025
1521113557@88694@101229895@3791@101038@201995,MAIN,CERIN (MOLEKULE) 50 MG CAPSULE 10,MOLEKULE (IND)PVT LTD,DIACEREIN CAPSULE 50 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,78.10,7.81,Dec-2025
1521113557@88694@101229895@3791@101038@201995,OTHER,ARTHROMUV,ARISTO PHARMACEUTICALS PVT.LTD,DIACEREIN CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,47.62,4.76,Dec-2025
