HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521088622@467@101155266@2542@101126@201370,MAIN,ACROCITRON 1.4 GM SYRUP 100 ML,ACRON PHARMACEUTICALS,DISODIUM HYDROGEN CITRATE SYRUP 1.4 GM,100 ML SYRUP,SYRUP,Non-Scheduled,-1,72.00,0.72,Dec-2025
1521088622@467@101155266@2542@101126@201370,OTHER,CITRET,MEDISUN PHARMA,DISODIUM HYDROGEN CITRATE SYRUP 1.4 GM,100,SYRUP,Non-Scheduled,-1,76.88,0.77,Dec-2025
1521088622@467@101155266@2542@101126@201370,OTHER,ALKASAV,BENNET PHARMACEUTICALS LIMITED,DISODIUM HYDROGEN CITRATE SYRUP 1.4 GM,100,SYRUP,Non-Scheduled,-1,86.25,0.86,Dec-2025
1521088622@467@101155266@2542@101126@201370,OTHER,JUCITRON,UNIVERSAL MEDIKIT,DISODIUM HYDROGEN CITRATE SYRUP 1.4 GM,100,SYRUP,Non-Scheduled,-1,98.44,0.98,Dec-2025
1521097708@288823@101192459@-1@101126@201370,MAIN,ALCIT NF SYRUP 100 ML,LUPIN LTD,DISODIUM HYDROGEN CITRATE SYRUP ,100 ML SYRUP,SYRUP,Non-Scheduled,-1,17.53,0.18,Dec-2025
1521097708@288823@101192459@-1@101126@201370,OTHER,TROYCITRAL,TROIKAA PHARMACEUTICALS LTD,DISODIUM HYDROGEN CITRATE SYRUP ,100,SYRUP,Non-Scheduled,-1,14.61,0.15,Dec-2025
1521097708@288823@101192459@-1@101126@201370,OTHER,ALKARUM,AKUMENTIS HEALTHCARE LTD,DISODIUM HYDROGEN CITRATE SYRUP ,100,SYRUP,Non-Scheduled,-1,22.74,0.23,Dec-2025
1521097708@288823@101192459@-1@101126@201370,OTHER,ALKAMOON,MOONSTAR LIFECARE PVT.LTD,DISODIUM HYDROGEN CITRATE SYRUP ,100,SYRUP,Non-Scheduled,-1,30.00,0.30,Dec-2025
1521097708@288823@101192459@-1@101126@201370,OTHER,ZETRA,ZEE LABORATORIES,DISODIUM HYDROGEN CITRATE SYRUP ,100,SYRUP,Non-Scheduled,-1,39.00,0.39,Dec-2025
1521097708@288823@101192459@-1@101126@201370,OTHER,CITOAGE,ALLENGE INDIA,DISODIUM HYDROGEN CITRATE SYRUP ,100,SYRUP,Non-Scheduled,-1,54.00,0.54,Dec-2025
