HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521146606@287676@101228519@1456@101006@201655,MAIN,ANTICANOL 0.5 MG TABLET 10,KNOLL HEALTHCARE PVT.LTD,ENTECAVIR TABLET 0.5 MG,10 TABLET,TABLET,Scheduled,85.91,700.00,70.00,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,X VIR,NATCO PHARMA LTD,ENTECAVIR TABLET 0.5 MG,30,TABLET,Scheduled,85.91,2097.00,69.90,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,E VIR,WATERLEY PHARMACEUTICALS PVT.LTD,ENTECAVIR TABLET 0.5 MG,30,TABLET,Scheduled,85.91,2187.00,72.90,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,GEPATIT,VIATRIS,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,768.00,76.80,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,ENTAVIR,CIPLA LTD.,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,804.55,80.46,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,ENCURE,EMCURE PHARMACEUTICALS LTD,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,821.94,82.19,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,ENTECA,RANBAXY LABORATORIES LTD,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,835.27,83.53,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,CRONIVIR,HETERO HEALTHCARE LTD,ENTECAVIR TABLET 0.5 MG,30,TABLET,Scheduled,85.91,2705.70,90.19,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,ENTALIV,DR. REDDYS LABORATORIES LTD,ENTECAVIR TABLET 0.5 MG,30,TABLET,Scheduled,85.91,2705.78,90.19,Dec-2025
1521146606@287676@101228519@1456@101006@201655,OTHER,ENTEHEP,ZYDUS HEALTHCARE LTD.,ENTECAVIR TABLET 0.5 MG,30,TABLET,Scheduled,85.91,2705.70,90.19,Dec-2025
1521147634@281081@101228519@2864@101006@201655,MAIN,ANTICANOL 1 MG TABLET 10,KNOLL HEALTHCARE PVT.LTD,ENTECAVIR TABLET 1 MG,10 TABLET,TABLET,Scheduled,132.50,1300.00,130.00,Dec-2025
1521147634@281081@101228519@2864@101006@201655,OTHER,X VIR,NATCO PHARMA LTD,ENTECAVIR TABLET 1 MG,30,TABLET,Scheduled,132.50,3380.00,112.67,Dec-2025
1521147634@281081@101228519@2864@101006@201655,OTHER,ENTAVIR,CIPLA LTD.,ENTECAVIR TABLET 1 MG,10,TABLET,Scheduled,132.50,1240.85,124.09,Dec-2025
1521147634@281081@101228519@2864@101006@201655,OTHER,ENTECA,RANBAXY LABORATORIES LTD,ENTECAVIR TABLET 1 MG,10,TABLET,Scheduled,132.50,1249.29,124.93,Dec-2025
1521147634@281081@101228519@2864@101006@201655,OTHER,ENTEHEP,ZYDUS HEALTHCARE LTD.,ENTECAVIR TABLET 1 MG,10,TABLET,Scheduled,132.50,1308.00,130.80,Dec-2025
1521147634@281081@101228519@2864@101006@201655,OTHER,ENTEHEP,ZYDUS HEALTHCARE LTD.,ENTECAVIR TABLET 1 MG,30,TABLET,Scheduled,132.50,4101.90,136.73,Dec-2025
1521063593@206316@101120432@1456@101006@201655,MAIN,CRONIVIR 0.5 MG TABLET 30,HETERO HEALTHCARE LTD,ENTECAVIR TABLET 0.5 MG,30 TABLET,TABLET,Scheduled,85.91,2705.70,90.19,Dec-2025
1521063593@206316@101120432@1456@101006@201655,OTHER,X VIR,NATCO PHARMA LTD,ENTECAVIR TABLET 0.5 MG,30,TABLET,Scheduled,85.91,2097.00,69.90,Dec-2025
1521063593@206316@101120432@1456@101006@201655,OTHER,ANTICANOL,KNOLL HEALTHCARE PVT.LTD,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,700.00,70.00,Dec-2025
1521063593@206316@101120432@1456@101006@201655,OTHER,E VIR,WATERLEY PHARMACEUTICALS PVT.LTD,ENTECAVIR TABLET 0.5 MG,30,TABLET,Scheduled,85.91,2187.00,72.90,Dec-2025
1521063593@206316@101120432@1456@101006@201655,OTHER,GEPATIT,VIATRIS,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,768.00,76.80,Dec-2025
1521063593@206316@101120432@1456@101006@201655,OTHER,ENTAVIR,CIPLA LTD.,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,804.55,80.46,Dec-2025
1521063593@206316@101120432@1456@101006@201655,OTHER,ENCURE,EMCURE PHARMACEUTICALS LTD,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,821.94,82.19,Dec-2025
1521063593@206316@101120432@1456@101006@201655,OTHER,ENTECA,RANBAXY LABORATORIES LTD,ENTECAVIR TABLET 0.5 MG,10,TABLET,Scheduled,85.91,835.27,83.53,Dec-2025
1521063593@206316@101120432@1456@101006@201655,OTHER,ENTALIV,DR. REDDYS LABORATORIES LTD,ENTECAVIR TABLET 0.5 MG,30,TABLET,Scheduled,85.91,2705.78,90.19,Dec-2025
