HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521021841@92800@101127453@3312@101068@202008,MAIN,ENBREL 25 MG INJECTION 10 ML,PFIZER LTD,ETANERCEPT INJECTION 25 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,8700.00,870.00,Dec-2025
1521021841@92800@101127453@3312@101068@202008,OTHER,ETACEPT,CIPLA LTD.,ETANERCEPT INJECTION 25 MG,3,INJECTION,Non-Scheduled,-1,3281.25,1093.75,Dec-2025
1521021841@92800@101127453@3312@101068@202008,OTHER,INTACEPT,INTAS PHARMACEUTICALS LTD,ETANERCEPT INJECTION 25 MG,0,INJECTION,Non-Scheduled,-1,5356.88,5356.88,Dec-2025
1521021842@113126@101127453@3791@101068@202008,MAIN,ENBREL 50 MG INJECTION 10 ML,PFIZER LTD,ETANERCEPT INJECTION 50 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,16096.88,1609.69,Dec-2025
1521021842@113126@101127453@3791@101068@202008,OTHER,INTACEPT,INTAS PHARMACEUTICALS LTD,ETANERCEPT INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,10714.69,10714.69,Dec-2025
1521024246@192453@101129091@3312@101068@202008,MAIN,ETACEPT 25 MG INJECTION 3 ML,CIPLA LTD.,ETANERCEPT INJECTION 25 MG,3 ML INJECTION,INJECTION,Non-Scheduled,-1,3281.25,1093.75,Dec-2025
1521024246@192453@101129091@3312@101068@202008,OTHER,ENBREL,PFIZER LTD,ETANERCEPT INJECTION 25 MG,10,INJECTION,Non-Scheduled,-1,8700.00,870.00,Dec-2025
1521024246@192453@101129091@3312@101068@202008,OTHER,INTACEPT,INTAS PHARMACEUTICALS LTD,ETANERCEPT INJECTION 25 MG,0,INJECTION,Non-Scheduled,-1,5356.88,5356.88,Dec-2025
1521024247@319334@101129091@3791@101004@202008,MAIN,ETACEPT 50 MG PREFILLED SYRINGE 1,CIPLA LTD.,ETANERCEPT PREFILLED SYRINGE 50 MG,1 PREFILLED SYRINGE,PREFILLED SYRINGE,Non-Scheduled,-1,7218.75,7218.75,Dec-2025
1521024247@319334@101129091@3791@101004@202008,OTHER,RYMTI,LUPIN LTD,ETANERCEPT PREFILLED SYRINGE 50 MG,1,PREFILLED SYRINGE,Non-Scheduled,-1,10500.00,10500.00,Dec-2025
1521037045@206245@101140227@3312@101068@202008,MAIN,INTACEPT 25 MG INJECTION 0.5 ML,INTAS PHARMACEUTICALS LTD,ETANERCEPT INJECTION 25 MG,0.5 ML INJECTION,INJECTION,Non-Scheduled,-1,5356.88,5356.88,Dec-2025
1521037045@206245@101140227@3312@101068@202008,OTHER,ENBREL,PFIZER LTD,ETANERCEPT INJECTION 25 MG,10,INJECTION,Non-Scheduled,-1,8700.00,870.00,Dec-2025
1521037045@206245@101140227@3312@101068@202008,OTHER,ETACEPT,CIPLA LTD.,ETANERCEPT INJECTION 25 MG,3,INJECTION,Non-Scheduled,-1,3281.25,1093.75,Dec-2025
1521037047@206248@101140227@3791@101068@202008,MAIN,INTACEPT 50 MG INJECTION 1 ML,INTAS PHARMACEUTICALS LTD,ETANERCEPT INJECTION 50 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,10714.69,10714.69,Dec-2025
1521037047@206248@101140227@3791@101068@202008,OTHER,ENBREL,PFIZER LTD,ETANERCEPT INJECTION 50 MG,10,INJECTION,Non-Scheduled,-1,16096.88,1609.69,Dec-2025
1521088143@322413@101100780@3312@101004@202008,MAIN,RYMTI 25 MG PREFILLED SYRINGE 0.5 ML,LUPIN LTD,ETANERCEPT PREFILLED SYRINGE 25 MG,0.5 ML PREFILLED SYRINGE,PREFILLED SYRINGE,Non-Scheduled,-1,5700.00,5700.00,Dec-2025
1521088144@323967@101100780@3791@101120@202008,MAIN,RYMTI 50 MG PEN 1 ML,LUPIN LTD,ETANERCEPT PEN 50 MG,1 ML PEN,PEN,Non-Scheduled,-1,11544.75,11544.75,Dec-2025
1521088145@322414@101100780@3791@101004@202008,MAIN,RYMTI 50 MG PREFILLED SYRINGE 1 ML,LUPIN LTD,ETANERCEPT PREFILLED SYRINGE 50 MG,1 ML PREFILLED SYRINGE,PREFILLED SYRINGE,Non-Scheduled,-1,10500.00,10500.00,Dec-2025
1521088145@322414@101100780@3791@101004@202008,OTHER,ETACEPT,CIPLA LTD.,ETANERCEPT PREFILLED SYRINGE 50 MG,1,PREFILLED SYRINGE,Non-Scheduled,-1,7218.75,7218.75,Dec-2025
