HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521025950@129038@101130295@3215@101006@201643,MAIN,FAMCIMAC 250 MG TABLET 6,MACLEODS PHARMACEUTICALS PVT.LTD,FAMCICLOVIR TABLET 250 MG,6 TABLET,TABLET,Non-Scheduled,-1,321.56,53.59,Dec-2025
1521025950@129038@101130295@3215@101006@201643,OTHER,PENVIR,HETERO HEALTHCARE LTD,FAMCICLOVIR TABLET 250 MG,6,TABLET,Non-Scheduled,-1,297.10,49.52,Dec-2025
1521025950@129038@101130295@3215@101006@201643,OTHER,MICROVIR,MICRO LABS LTD,FAMCICLOVIR TABLET 250 MG,3,TABLET,Non-Scheduled,-1,166.80,55.60,Dec-2025
1521025950@129038@101130295@3215@101006@201643,OTHER,VIROVIR,FDC LTD.,FAMCICLOVIR TABLET 250 MG,6,TABLET,Non-Scheduled,-1,350.48,58.41,Dec-2025
1521025956@129039@101130295@3755@101006@201643,MAIN,FAMCIMAC 500 MG TABLET 3,MACLEODS PHARMACEUTICALS PVT.LTD,FAMCICLOVIR TABLET 500 MG,3 TABLET,TABLET,Non-Scheduled,-1,322.03,107.34,Dec-2025
1521025956@129039@101130295@3755@101006@201643,OTHER,FAMNOVA,SIGNOVA PHARMA (P) LTD,FAMCICLOVIR TABLET 500 MG,6,TABLET,Non-Scheduled,-1,525.00,87.50,Dec-2025
1521025956@129039@101130295@3755@101006@201643,OTHER,PENVIR,HETERO HEALTHCARE LTD,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,297.10,99.03,Dec-2025
1521025956@129039@101130295@3755@101006@201643,OTHER,MICROVIR,MICRO LABS LTD,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,360.90,120.30,Dec-2025
1521025956@129039@101130295@3755@101006@201643,OTHER,VIROVIR,FDC LTD.,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,361.83,120.61,Dec-2025
1521025961@231375@101130302@3755@101006@201643,MAIN,FAMNOVA 500 MG TABLET 6,SIGNOVA PHARMA (P) LTD,FAMCICLOVIR TABLET 500 MG,6 TABLET,TABLET,Non-Scheduled,-1,525.00,87.50,Dec-2025
1521025961@231375@101130302@3755@101006@201643,OTHER,PENVIR,HETERO HEALTHCARE LTD,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,297.10,99.03,Dec-2025
1521025961@231375@101130302@3755@101006@201643,OTHER,FAMCIMAC,MACLEODS PHARMACEUTICALS PVT.LTD,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,322.03,107.34,Dec-2025
1521025961@231375@101130302@3755@101006@201643,OTHER,MICROVIR,MICRO LABS LTD,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,360.90,120.30,Dec-2025
1521025961@231375@101130302@3755@101006@201643,OTHER,VIROVIR,FDC LTD.,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,361.83,120.61,Dec-2025
1521048237@78633@101151327@3215@101006@201643,MAIN,MICROVIR 250 MG TABLET 3,MICRO LABS LTD,FAMCICLOVIR TABLET 250 MG,3 TABLET,TABLET,Non-Scheduled,-1,166.80,55.60,Dec-2025
1521048237@78633@101151327@3215@101006@201643,OTHER,PENVIR,HETERO HEALTHCARE LTD,FAMCICLOVIR TABLET 250 MG,6,TABLET,Non-Scheduled,-1,297.10,49.52,Dec-2025
1521048237@78633@101151327@3215@101006@201643,OTHER,FAMCIMAC,MACLEODS PHARMACEUTICALS PVT.LTD,FAMCICLOVIR TABLET 250 MG,6,TABLET,Non-Scheduled,-1,321.56,53.59,Dec-2025
1521048237@78633@101151327@3215@101006@201643,OTHER,VIROVIR,FDC LTD.,FAMCICLOVIR TABLET 250 MG,6,TABLET,Non-Scheduled,-1,350.48,58.41,Dec-2025
1521048238@106400@101151327@3755@101006@201643,MAIN,MICROVIR 500 MG TABLET 3,MICRO LABS LTD,FAMCICLOVIR TABLET 500 MG,3 TABLET,TABLET,Non-Scheduled,-1,360.90,120.30,Dec-2025
1521048238@106400@101151327@3755@101006@201643,OTHER,FAMNOVA,SIGNOVA PHARMA (P) LTD,FAMCICLOVIR TABLET 500 MG,6,TABLET,Non-Scheduled,-1,525.00,87.50,Dec-2025
1521048238@106400@101151327@3755@101006@201643,OTHER,PENVIR,HETERO HEALTHCARE LTD,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,297.10,99.03,Dec-2025
1521048238@106400@101151327@3755@101006@201643,OTHER,FAMCIMAC,MACLEODS PHARMACEUTICALS PVT.LTD,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,322.03,107.34,Dec-2025
1521048238@106400@101151327@3755@101006@201643,OTHER,VIROVIR,FDC LTD.,FAMCICLOVIR TABLET 500 MG,3,TABLET,Non-Scheduled,-1,361.83,120.61,Dec-2025
1521061003@59508@101163912@3215@101006@201643,MAIN,PENVIR 250 MG TABLET 6,HETERO HEALTHCARE LTD,FAMCICLOVIR TABLET 250 MG,6 TABLET,TABLET,Non-Scheduled,-1,297.10,49.52,Dec-2025
1521061003@59508@101163912@3215@101006@201643,OTHER,FAMCIMAC,MACLEODS PHARMACEUTICALS PVT.LTD,FAMCICLOVIR TABLET 250 MG,6,TABLET,Non-Scheduled,-1,321.56,53.59,Dec-2025
1521061003@59508@101163912@3215@101006@201643,OTHER,MICROVIR,MICRO LABS LTD,FAMCICLOVIR TABLET 250 MG,3,TABLET,Non-Scheduled,-1,166.80,55.60,Dec-2025
1521061003@59508@101163912@3215@101006@201643,OTHER,VIROVIR,FDC LTD.,FAMCICLOVIR TABLET 250 MG,6,TABLET,Non-Scheduled,-1,350.48,58.41,Dec-2025
1521061004@59507@101163912@3755@101006@201643,MAIN,PENVIR 500 MG TABLET 3,HETERO HEALTHCARE LTD,FAMCICLOVIR TABLET 500 MG,3 TABLET,TABLET,Non-Scheduled,-1,297.10,99.03,Dec-2025
1521061004@59507@101163912@3755@101006@201643,OTHER,FAMNOVA,SIGNOVA PHARMA (P) LTD,FAMCICLOVIR TABLET 500 MG,6,TABLET,Non-Scheduled,-1,525.00,87.50,Dec-2025
