HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521143353@211231@101228099@1846@101006@201923,MAIN,ACRONIL 100 MG TABLET 10,CONSERN PHARMA (P) LTD,FLUPIRTINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,117.00,11.70,Dec-2025
1521143353@211231@101228099@1846@101006@201923,OTHER,MAPITRIN,MATIAS HEALTHCARE PVT.LTD,FLUPIRTINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,133.04,13.30,Dec-2025
1521143353@211231@101228099@1846@101006@201923,OTHER,KETADOL,LUPIN LTD,FLUPIRTINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,138.10,13.81,Dec-2025
1521137989@239889@101231802@-1@101006@201923,MAIN,ETIPRIN TABLET 10,EKARD LIFE SCIENCES PVT.LTD,FLUPIRTINE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,75.25,7.53,Dec-2025
1521149673@308405@101231918@1846@101038@201923,MAIN,EXOTIN 100 MG CAPSULE 10,GALAXUS PHARMAECUTICALS,FLUPIRTINE CAPSULE 100 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,RETENSE,SUN PHARMA LABORATORIES LTD.,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,79.81,7.98,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,EXPIRTIN,ARISTO PHARMACEUTICALS PVT.LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,86.10,8.61,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,FLIT,SIGMUND PROMEDICA,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,87.20,8.72,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,SNEPDOL,SUN PHARMA LABORATORIES LTD.,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,89.00,8.90,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,PRUF,INTAS PHARMACEUTICALS LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,92.00,9.20,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,FLUPIRIN,SOLIS PHARMACEUTICALS PVT.LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,121.00,12.10,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,VIOTENSE,GENTECH HEALTCARE LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,FLUPIRZA,ICON LIFESCIENCES,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,131.25,13.13,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,VASFREE,INTAS PHARMACEUTICALS LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,135.94,13.59,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,KATADOL,LUPIN LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,138.10,13.81,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,FLUGESIC,LUPIN LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,156.50,15.65,Dec-2025
1521149673@308405@101231918@1846@101038@201923,OTHER,LUPIRTIN,LUPIN LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,164.30,16.43,Dec-2025
1521025463@188877@101129958@1846@101038@201923,MAIN,EXPIRTIN 100 MG CAPSULE 10,ARISTO PHARMACEUTICALS PVT.LTD,FLUPIRTINE CAPSULE 100 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,86.10,8.61,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,RETENSE,SUN PHARMA LABORATORIES LTD.,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,79.81,7.98,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,FLIT,SIGMUND PROMEDICA,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,87.20,8.72,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,SNEPDOL,SUN PHARMA LABORATORIES LTD.,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,89.00,8.90,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,PRUF,INTAS PHARMACEUTICALS LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,92.00,9.20,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,FLUPIRIN,SOLIS PHARMACEUTICALS PVT.LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,121.00,12.10,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,EXOTIN,GALAXUS PHARMAECUTICALS,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,VIOTENSE,GENTECH HEALTCARE LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,122.00,12.20,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,FLUPIRZA,ICON LIFESCIENCES,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,131.25,13.13,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,VASFREE,INTAS PHARMACEUTICALS LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,135.94,13.59,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,KATADOL,LUPIN LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,138.10,13.81,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,FLUGESIC,LUPIN LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,156.50,15.65,Dec-2025
1521025463@188877@101129958@1846@101038@201923,OTHER,LUPIRTIN,LUPIN LTD,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,164.30,16.43,Dec-2025
1521146743@267049@101232237@1846@101038@201923,MAIN,FLIT 100 MG CAPSULE 10,SIGMUND PROMEDICA,FLUPIRTINE CAPSULE 100 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,87.20,8.72,Dec-2025
1521146743@267049@101232237@1846@101038@201923,OTHER,RETENSE,SUN PHARMA LABORATORIES LTD.,FLUPIRTINE CAPSULE 100 MG,10,CAPSULE,Non-Scheduled,-1,79.81,7.98,Dec-2025
