HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521020718@241957@101114371@3215@101068@201858,MAIN,CELVESTRANT 250 MG INJECTION 1,CELON LABS,FULVESTRANT INJECTION 250 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,11340.00,11340.00,Dec-2025
1521020718@241957@101114371@3215@101068@201858,OTHER,FULVIRA,EMCURE PHARMACEUTICALS LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,15191.25,3038.25,Dec-2025
1521020718@241957@101114371@3215@101068@201858,OTHER,FULVETRAZ,ALKEM LABORATORIES LTD.,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,16284.35,3256.87,Dec-2025
1521020718@241957@101114371@3215@101068@201858,OTHER,FULZOS,HETERO HEALTHCARE LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,16500.00,3300.00,Dec-2025
1521020718@241957@101114371@3215@101068@201858,OTHER,FASLODEX,ASTRAZENECA PHARMA INDIA LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,21100.00,4220.00,Dec-2025
1521020718@241957@101114371@3215@101068@201858,OTHER,FULVIDAX,AUREATE HEALTHCARE PVT.LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,28200.00,5640.00,Dec-2025
1521020718@241957@101114371@3215@101068@201858,OTHER,FULVENAT,NATCO PHARMA LTD,FULVESTRANT INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,11465.31,11465.31,Dec-2025
1521026058@108248@101130370@3215@101068@201858,MAIN,FASLODEX 250 MG INJECTION 5 ML,ASTRAZENECA PHARMA INDIA LTD,FULVESTRANT INJECTION 250 MG,5 ML INJECTION,INJECTION,Non-Scheduled,-1,21100.00,4220.00,Dec-2025
1521026058@108248@101130370@3215@101068@201858,OTHER,FULVIRA,EMCURE PHARMACEUTICALS LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,15191.25,3038.25,Dec-2025
1521026058@108248@101130370@3215@101068@201858,OTHER,FULVETRAZ,ALKEM LABORATORIES LTD.,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,16284.35,3256.87,Dec-2025
1521026058@108248@101130370@3215@101068@201858,OTHER,FULZOS,HETERO HEALTHCARE LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,16500.00,3300.00,Dec-2025
1521026058@108248@101130370@3215@101068@201858,OTHER,FULVIDAX,AUREATE HEALTHCARE PVT.LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,28200.00,5640.00,Dec-2025
1521026058@108248@101130370@3215@101068@201858,OTHER,CELVESTRANT,CELON LABS,FULVESTRANT INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,11340.00,11340.00,Dec-2025
1521026058@108248@101130370@3215@101068@201858,OTHER,FULVENAT,NATCO PHARMA LTD,FULVESTRANT INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,11465.31,11465.31,Dec-2025
1521095176@338803@101190884@3791@101068@201858,MAIN,FULBRECA 50 MG INJECTION 5 ML,RPG LIFE SCIENCES LTD.,FULVESTRANT INJECTION 50 MG,5 ML INJECTION,INJECTION,Non-Scheduled,-1,16964.28,3392.86,Dec-2025
1521030089@157467@101133429@3215@101068@201858,MAIN,FULVENAT 250 MG INJECTION 1,NATCO PHARMA LTD,FULVESTRANT INJECTION 250 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,11465.31,11465.31,Dec-2025
1521030089@157467@101133429@3215@101068@201858,OTHER,FULVIRA,EMCURE PHARMACEUTICALS LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,15191.25,3038.25,Dec-2025
1521030089@157467@101133429@3215@101068@201858,OTHER,FULVETRAZ,ALKEM LABORATORIES LTD.,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,16284.35,3256.87,Dec-2025
1521030089@157467@101133429@3215@101068@201858,OTHER,FULZOS,HETERO HEALTHCARE LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,16500.00,3300.00,Dec-2025
1521030089@157467@101133429@3215@101068@201858,OTHER,FASLODEX,ASTRAZENECA PHARMA INDIA LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,21100.00,4220.00,Dec-2025
1521030089@157467@101133429@3215@101068@201858,OTHER,FULVIDAX,AUREATE HEALTHCARE PVT.LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,28200.00,5640.00,Dec-2025
1521030089@157467@101133429@3215@101068@201858,OTHER,CELVESTRANT,CELON LABS,FULVESTRANT INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,11340.00,11340.00,Dec-2025
1521030701@324737@101115060@3215@101004@201858,MAIN,FULVESER 250 MG PREFILLED SYRINGE 5 ML,SAMARTH LIFE SCIENCES PVT LTD,FULVESTRANT PREFILLED SYRINGE 250 MG,5 ML PREFILLED SYRINGE,PREFILLED SYRINGE,Non-Scheduled,-1,8131.37,1626.27,Dec-2025
1521030701@324737@101115060@3215@101004@201858,OTHER,FULVIGLEN,GLENMARK PHARMACEUTICALS LTD.,FULVESTRANT PREFILLED SYRINGE 250 MG,5,PREFILLED SYRINGE,Non-Scheduled,-1,9855.00,1971.00,Dec-2025
1521030701@324737@101115060@3215@101004@201858,OTHER,STRANTAS,INTAS PHARMACEUTICALS LTD,FULVESTRANT PREFILLED SYRINGE 250 MG,5,PREFILLED SYRINGE,Non-Scheduled,-1,15056.25,3011.25,Dec-2025
1521030090@193987@101133430@3215@101068@201858,MAIN,FULVETRAZ 250 MG INJECTION 5 ML,ALKEM LABORATORIES LTD.,FULVESTRANT INJECTION 250 MG,5 ML INJECTION,INJECTION,Non-Scheduled,-1,16284.35,3256.87,Dec-2025
1521030090@193987@101133430@3215@101068@201858,OTHER,FULVIRA,EMCURE PHARMACEUTICALS LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,15191.25,3038.25,Dec-2025
1521030090@193987@101133430@3215@101068@201858,OTHER,FULZOS,HETERO HEALTHCARE LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,16500.00,3300.00,Dec-2025
1521030090@193987@101133430@3215@101068@201858,OTHER,FASLODEX,ASTRAZENECA PHARMA INDIA LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,21100.00,4220.00,Dec-2025
1521030090@193987@101133430@3215@101068@201858,OTHER,FULVIDAX,AUREATE HEALTHCARE PVT.LTD,FULVESTRANT INJECTION 250 MG,5,INJECTION,Non-Scheduled,-1,28200.00,5640.00,Dec-2025
1521030090@193987@101133430@3215@101068@201858,OTHER,CELVESTRANT,CELON LABS,FULVESTRANT INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,11340.00,11340.00,Dec-2025
1521030090@193987@101133430@3215@101068@201858,OTHER,FULVENAT,NATCO PHARMA LTD,FULVESTRANT INJECTION 250 MG,1,INJECTION,Non-Scheduled,-1,11465.31,11465.31,Dec-2025
