HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521152712@341110@101227904@3049@101006@200019,MAIN,3G GLIP 20 MG TABLET 10,MEDICHEM PHARMCEUTICALS LTD,GLIPIZIDE TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,75.98,7.60,Dec-2025
1521016455@78341@101123443@3854@101006@200019,MAIN,DIBIZIDE 5 MG TABLET 10,MICRO LABS LTD,GLIPIZIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,4.55,0.46,Dec-2025
1521016455@78341@101123443@3854@101006@200019,OTHER,GLIBETIC,LA PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,5.05,0.51,Dec-2025
1521016455@78341@101123443@3854@101006@200019,OTHER,GLUCOTROL,JENBURKT PHARMACEUTICALS LTD,GLIPIZIDE TABLET 5 MG,20,TABLET,Non-Scheduled,-1,11.50,0.58,Dec-2025
1521016455@78341@101123443@3854@101006@200019,OTHER,GLIDE,FRANCO INDIAN PHARMACEUTICALS PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,8.95,0.90,Dec-2025
1521016455@78341@101123443@3854@101006@200019,OTHER,GLYSON,UNISON PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,9.38,0.94,Dec-2025
1521016455@78341@101123443@3854@101006@200019,OTHER,GLYNASE,USV PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.03,1.00,Dec-2025
1521016455@78341@101123443@3854@101006@200019,OTHER,GLEZ,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.35,1.04,Dec-2025
1521016455@78341@101123443@3854@101006@200019,OTHER,GLIPY (OLD),ALEMBIC LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,139.41,13.94,Dec-2025
1521031725@70311@101135011@2107@101006@200019,MAIN,GLEZ 10 MG TABLET 10,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,7.85,0.79,Dec-2025
1521031726@70309@101135011@3311@101006@200019,MAIN,GLEZ 2.5 MG TABLET 10,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 2.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,5.48,0.55,Dec-2025
1521031729@70310@101135011@3854@101006@200019,MAIN,GLEZ 5 MG TABLET 10,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,10.35,1.04,Dec-2025
1521031729@70310@101135011@3854@101006@200019,OTHER,DIBIZIDE,MICRO LABS LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,4.55,0.46,Dec-2025
1521031729@70310@101135011@3854@101006@200019,OTHER,GLIBETIC,LA PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,5.05,0.51,Dec-2025
1521031729@70310@101135011@3854@101006@200019,OTHER,GLUCOTROL,JENBURKT PHARMACEUTICALS LTD,GLIPIZIDE TABLET 5 MG,20,TABLET,Non-Scheduled,-1,11.50,0.58,Dec-2025
1521031729@70310@101135011@3854@101006@200019,OTHER,GLIDE,FRANCO INDIAN PHARMACEUTICALS PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,8.95,0.90,Dec-2025
1521031729@70310@101135011@3854@101006@200019,OTHER,GLYSON,UNISON PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,9.38,0.94,Dec-2025
1521031729@70310@101135011@3854@101006@200019,OTHER,GLYNASE,USV PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.03,1.00,Dec-2025
1521031729@70310@101135011@3854@101006@200019,OTHER,GLIPY (OLD),ALEMBIC LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,139.41,13.94,Dec-2025
1521093394@103615@101189758@3854@101006@200019,MAIN,GLIBETIC 5 MG TABLET 10,LA PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,5.05,0.51,Dec-2025
1521093394@103615@101189758@3854@101006@200019,OTHER,DIBIZIDE,MICRO LABS LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,4.55,0.46,Dec-2025
1521093394@103615@101189758@3854@101006@200019,OTHER,GLUCOTROL,JENBURKT PHARMACEUTICALS LTD,GLIPIZIDE TABLET 5 MG,20,TABLET,Non-Scheduled,-1,11.50,0.58,Dec-2025
1521093394@103615@101189758@3854@101006@200019,OTHER,GLIDE,FRANCO INDIAN PHARMACEUTICALS PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,8.95,0.90,Dec-2025
1521093394@103615@101189758@3854@101006@200019,OTHER,GLYSON,UNISON PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,9.38,0.94,Dec-2025
1521093394@103615@101189758@3854@101006@200019,OTHER,GLYNASE,USV PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.03,1.00,Dec-2025
1521093394@103615@101189758@3854@101006@200019,OTHER,GLEZ,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.35,1.04,Dec-2025
1521093394@103615@101189758@3854@101006@200019,OTHER,GLIPY (OLD),ALEMBIC LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,139.41,13.94,Dec-2025
1521031763@18318@101135044@3854@101006@200019,MAIN,GLIDE 5 MG TABLET 10,FRANCO INDIAN PHARMACEUTICALS PVT LTD,GLIPIZIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,8.95,0.90,Dec-2025
1521031763@18318@101135044@3854@101006@200019,OTHER,DIBIZIDE,MICRO LABS LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,4.55,0.46,Dec-2025
1521031763@18318@101135044@3854@101006@200019,OTHER,GLIBETIC,LA PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,5.05,0.51,Dec-2025
1521031763@18318@101135044@3854@101006@200019,OTHER,GLUCOTROL,JENBURKT PHARMACEUTICALS LTD,GLIPIZIDE TABLET 5 MG,20,TABLET,Non-Scheduled,-1,11.50,0.58,Dec-2025
1521031763@18318@101135044@3854@101006@200019,OTHER,GLYSON,UNISON PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,9.38,0.94,Dec-2025
1521031763@18318@101135044@3854@101006@200019,OTHER,GLYNASE,USV PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.03,1.00,Dec-2025
1521031763@18318@101135044@3854@101006@200019,OTHER,GLEZ,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.35,1.04,Dec-2025
1521031763@18318@101135044@3854@101006@200019,OTHER,GLIPY (OLD),ALEMBIC LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,139.41,13.94,Dec-2025
1521031761@166907@101135042@2864@101006@200019,MAIN,GLIDE (SHREYA) 1 MG TABLET 10,SHREYA LIFE SCIENCES PVT. LTD,GLIPIZIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,8.70,0.87,Dec-2025
1521032234@68985@101135483@3854@101006@200019,MAIN,GLIPY (OLD) 5 MG TABLET 10,ALEMBIC LTD,GLIPIZIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,139.41,13.94,Dec-2025
1521032234@68985@101135483@3854@101006@200019,OTHER,DIBIZIDE,MICRO LABS LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,4.55,0.46,Dec-2025
1521032234@68985@101135483@3854@101006@200019,OTHER,GLIBETIC,LA PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,5.05,0.51,Dec-2025
1521032234@68985@101135483@3854@101006@200019,OTHER,GLUCOTROL,JENBURKT PHARMACEUTICALS LTD,GLIPIZIDE TABLET 5 MG,20,TABLET,Non-Scheduled,-1,11.50,0.58,Dec-2025
1521032234@68985@101135483@3854@101006@200019,OTHER,GLIDE,FRANCO INDIAN PHARMACEUTICALS PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,8.95,0.90,Dec-2025
1521032234@68985@101135483@3854@101006@200019,OTHER,GLYSON,UNISON PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,9.38,0.94,Dec-2025
1521032234@68985@101135483@3854@101006@200019,OTHER,GLYNASE,USV PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.03,1.00,Dec-2025
1521032234@68985@101135483@3854@101006@200019,OTHER,GLEZ,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.35,1.04,Dec-2025
1521032627@18548@101135884@3854@101006@200019,MAIN,GLUCOTROL 5 MG TABLET 20,JENBURKT PHARMACEUTICALS LTD,GLIPIZIDE TABLET 5 MG,20 TABLET,TABLET,Non-Scheduled,-1,11.50,0.58,Dec-2025
1521032627@18548@101135884@3854@101006@200019,OTHER,DIBIZIDE,MICRO LABS LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,4.55,0.46,Dec-2025
1521032627@18548@101135884@3854@101006@200019,OTHER,GLIBETIC,LA PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,5.05,0.51,Dec-2025
1521032627@18548@101135884@3854@101006@200019,OTHER,GLIDE,FRANCO INDIAN PHARMACEUTICALS PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,8.95,0.90,Dec-2025
1521032627@18548@101135884@3854@101006@200019,OTHER,GLYSON,UNISON PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,9.38,0.94,Dec-2025
1521032627@18548@101135884@3854@101006@200019,OTHER,GLYNASE,USV PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.03,1.00,Dec-2025
1521032627@18548@101135884@3854@101006@200019,OTHER,GLEZ,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.35,1.04,Dec-2025
1521032627@18548@101135884@3854@101006@200019,OTHER,GLIPY (OLD),ALEMBIC LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,139.41,13.94,Dec-2025
1521032958@18714@101136211@2107@101116@200019,MAIN,GLYNASE 10 MG TABLET XL 10,USV PVT LTD,GLIPIZIDE TABLET XL 10 MG,10 TABLET XL,TABLET XL,Non-Scheduled,-1,20.63,2.06,Dec-2025
1521032959@18710@101136211@3854@101006@200019,MAIN,GLYNASE 5 MG TABLET 10,USV PVT LTD,GLIPIZIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,10.03,1.00,Dec-2025
1521032959@18710@101136211@3854@101006@200019,OTHER,DIBIZIDE,MICRO LABS LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,4.55,0.46,Dec-2025
1521032959@18710@101136211@3854@101006@200019,OTHER,GLIBETIC,LA PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,5.05,0.51,Dec-2025
1521032959@18710@101136211@3854@101006@200019,OTHER,GLUCOTROL,JENBURKT PHARMACEUTICALS LTD,GLIPIZIDE TABLET 5 MG,20,TABLET,Non-Scheduled,-1,11.50,0.58,Dec-2025
1521032959@18710@101136211@3854@101006@200019,OTHER,GLIDE,FRANCO INDIAN PHARMACEUTICALS PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,8.95,0.90,Dec-2025
1521032959@18710@101136211@3854@101006@200019,OTHER,GLYSON,UNISON PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,9.38,0.94,Dec-2025
1521032959@18710@101136211@3854@101006@200019,OTHER,GLEZ,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.35,1.04,Dec-2025
1521032959@18710@101136211@3854@101006@200019,OTHER,GLIPY (OLD),ALEMBIC LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,139.41,13.94,Dec-2025
1521032960@18716@101136211@3854@101116@200019,MAIN,GLYNASE 5 MG TABLET XL 10,USV PVT LTD,GLIPIZIDE TABLET XL 5 MG,10 TABLET XL,TABLET XL,Non-Scheduled,-1,12.94,1.29,Dec-2025
1521033004@92582@101136266@3854@101006@200019,MAIN,GLYSON 5 MG TABLET 10,UNISON PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,9.38,0.94,Dec-2025
1521033004@92582@101136266@3854@101006@200019,OTHER,DIBIZIDE,MICRO LABS LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,4.55,0.46,Dec-2025
1521033004@92582@101136266@3854@101006@200019,OTHER,GLIBETIC,LA PHARMACEUTICALS,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,5.05,0.51,Dec-2025
1521033004@92582@101136266@3854@101006@200019,OTHER,GLUCOTROL,JENBURKT PHARMACEUTICALS LTD,GLIPIZIDE TABLET 5 MG,20,TABLET,Non-Scheduled,-1,11.50,0.58,Dec-2025
1521033004@92582@101136266@3854@101006@200019,OTHER,GLIDE,FRANCO INDIAN PHARMACEUTICALS PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,8.95,0.90,Dec-2025
1521033004@92582@101136266@3854@101006@200019,OTHER,GLYNASE,USV PVT LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.03,1.00,Dec-2025
1521033004@92582@101136266@3854@101006@200019,OTHER,GLEZ,ARISTO PHARMACEUTICALS PVT.LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,10.35,1.04,Dec-2025
1521033004@92582@101136266@3854@101006@200019,OTHER,GLIPY (OLD),ALEMBIC LTD,GLIPIZIDE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,139.41,13.94,Dec-2025
