HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521007581@224779@101104235@-1@101018@202108,MAIN,BIGJOINT H SACHET 10 GM,BESTOCHEM FORMULATIONS (I) LTD,GLUCOSAMINE SACHET ,10 GM SACHET,SACHET,Non-Scheduled,-1,74.30,7.43,Dec-2025
1521008155@84825@101104885@-1@101006@202108,MAIN,BONJO AID TABLET 10,WINSOME LAB LTD,GLUCOSAMINE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,108.47,10.85,Dec-2025
1521008155@84825@101104885@-1@101006@202108,OTHER,FLEXIMAX,TABLETS INDIA LTD,GLUCOSAMINE TABLET ,10,TABLET,Non-Scheduled,-1,62.50,6.25,Dec-2025
1521008155@84825@101104885@-1@101006@202108,OTHER,GUDVOK,MEDINZA BIOTECH,GLUCOSAMINE TABLET ,10,TABLET,Non-Scheduled,-1,280.00,28.00,Dec-2025
1521009932@238333@101112966@2597@101006@202108,MAIN,CARTIGEN 1500 MG TABLET 15,PHARMED LTD,GLUCOSAMINE TABLET 1500 MG,15 TABLET,TABLET,Non-Scheduled,-1,318.75,21.25,Dec-2025
1521009932@238333@101112966@2597@101006@202108,OTHER,WAKFREE OD,AKESISS PHARMA (P) LTD,GLUCOSAMINE TABLET 1500 MG,10,TABLET,Non-Scheduled,-1,119.53,11.95,Dec-2025
1521009932@238333@101112966@2597@101006@202108,OTHER,MAX-GM OD,JUPITER PHARMACEUTICALS,GLUCOSAMINE TABLET 1500 MG,30,TABLET,Non-Scheduled,-1,514.00,17.13,Dec-2025
1521009932@238333@101112966@2597@101006@202108,OTHER,KONDRO OD,MANKIND PHARMACEUTICALS LTD.,GLUCOSAMINE TABLET 1500 MG,10,TABLET,Non-Scheduled,-1,186.55,18.66,Dec-2025
1521009932@238333@101112966@2597@101006@202108,OTHER,LUBRIJOINT,WALLACE PHARMACEUTICALS LTD.,GLUCOSAMINE TABLET 1500 MG,30,TABLET,Non-Scheduled,-1,562.50,18.75,Dec-2025
1521009932@238333@101112966@2597@101006@202108,OTHER,JOINTACE,MEYER ORGANICS PVT. LTD,GLUCOSAMINE TABLET 1500 MG,15,TABLET,Non-Scheduled,-1,328.00,21.87,Dec-2025
1521009933@158395@101112966@3755@101038@202108,MAIN,CARTIGEN 500 MG CAPSULE 90,PHARMED LTD,GLUCOSAMINE CAPSULE 500 MG,90 CAPSULE,CAPSULE,Non-Scheduled,-1,487.50,5.42,Dec-2025
1521017442@56372@101112980@3930@101006@202108,MAIN,CARTILITE 750 MG TABLET 10,EMPIAI PHARMACEUTICALS PVT LTD,GLUCOSAMINE TABLET 750 MG,10 TABLET,TABLET,Non-Scheduled,-1,66.56,6.66,Dec-2025
1521017442@56372@101112980@3930@101006@202108,OTHER,GMIN,EMBIOTIC LAB,GLUCOSAMINE TABLET 750 MG,10,TABLET,Non-Scheduled,-1,29.35,2.94,Dec-2025
1521017442@56372@101112980@3930@101006@202108,OTHER,JOINTACE,MEYER ORGANICS PVT. LTD,GLUCOSAMINE TABLET 750 MG,15,TABLET,Non-Scheduled,-1,126.00,8.40,Dec-2025
1521017442@56372@101112980@3930@101006@202108,OTHER,LUBRIJOINT,WALLACE PHARMACEUTICALS LTD.,GLUCOSAMINE TABLET 750 MG,60,TABLET,Non-Scheduled,-1,586.88,9.78,Dec-2025
1521017442@56372@101112980@3930@101006@202108,OTHER,FLEXISURE,STANWELL LIFE SCIENCES PVT.LTD,GLUCOSAMINE TABLET 750 MG,10,TABLET,Non-Scheduled,-1,168.18,16.82,Dec-2025
1521017442@56372@101112980@3930@101006@202108,OTHER,REJOINT MAX,ABBOTT HEALTHCARE PVT. LTD,GLUCOSAMINE TABLET 750 MG,10,TABLET,Non-Scheduled,-1,935.00,93.50,Dec-2025
1521017442@56372@101112980@3930@101006@202108,OTHER,MOTOJOINT G,PRIMUS REMEDIES PVT LTD,GLUCOSAMINE TABLET 750 MG,1,TABLET,Non-Scheduled,-1,392.81,392.81,Dec-2025
1521028020@124129@101131852@-1@101006@202108,MAIN,FLEXIMAX TABLET 10,TABLETS INDIA LTD,GLUCOSAMINE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,62.50,6.25,Dec-2025
