HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521133776@9999999580@101247500@2974@101006@202207,MAIN,COSLO 200 MG TABLET 10,ERIS LIFESCIENCES LTD,LACOSAMIDE TABLET 200 MG,10 TABLET,TABLET,Non-Scheduled,-1,180.47,18.05,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACONEXT,LUPIN LTD,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,172.50,17.25,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,SEIZAMIDE,DR. REDDYS LABORATORIES LTD,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,221.71,22.17,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOPSY,CIPLA LTD.,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,224.87,22.49,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,VERSOLAC,ARINNA LIFESCIENCES PVT. LTD,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,243.89,24.39,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOXA,ABBOTT INDIA LTD.,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,244.38,24.44,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOBRIS,MANKIND PHARMACEUTICALS LTD.,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,245.43,24.54,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOTAB,ALTEUS BIOGENICS PVT.LTD.,LACOSAMIDE TABLET 200 MG,15,TABLET,Non-Scheduled,-1,368.74,24.58,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOPTAL,ICON LIFESCIENCES,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,255.90,25.59,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOVE,LINUX LABORATORIES,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,273.45,27.35,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,SIZLAC,ALKEM LABORATORIES LTD.,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,289.65,28.97,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOTIDE,INTAS PHARMACEUTICALS LTD,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,291.33,29.13,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOSAM,TORRENT PHARMACEUTICALS LTD.,LACOSAMIDE TABLET 200 MG,15,TABLET,Non-Scheduled,-1,498.75,33.25,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACOSET,SUN PHARMA LABORATORIES LTD.,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,337.50,33.75,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,LACONEXT,LUPIN LTD,LACOSAMIDE TABLET 200 MG,15,TABLET,Non-Scheduled,-1,517.35,34.49,Dec-2025
1521133776@9999999580@101247500@2974@101006@202207,OTHER,SEIZGARD,DR. REDDYS LABORATORIES LTD,LACOSAMIDE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,720.47,72.05,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,MAIN,COSLO 50 MG TABLET 10,ERIS LIFESCIENCES LTD,LACOSAMIDE TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,65.93,6.59,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,LACOSURE,STRIDES SHASUN LIMITED,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,63.70,6.37,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,LACORON,HETERO HEALTHCARE LTD,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,72.10,7.21,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,LACONEXT,LUPIN LTD,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,72.30,7.23,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,SEIZAMIDE,DR. REDDYS LABORATORIES LTD,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,74.53,7.45,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,JOSEIZ,LA RENON HEALTHCARE PVT.LTD,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,74.99,7.50,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,LACOSID,TRIPADA HEALTHCARE PVT LTD,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,LICOTAR,MICRO LABS LTD,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,LACOPSY,CIPLA LTD.,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,78.60,7.86,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,LACOVE,LINUX LABORATORIES,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,81.25,8.13,Dec-2025
1521133576@9999999579@101247500@3791@101006@202207,OTHER,VERSOLAC,ARINNA LIFESCIENCES PVT. LTD,LACOSAMIDE TABLET 50 MG,10,TABLET,Non-Scheduled,-1,86.09,8.61,Dec-2025
