HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521058333@167595@101226363@2100@101187@200442,MAIN,CONSTEZ 10 GM POWDER 10 GM,LA RENON HEALTHCARE PVT.LTD,LACTITOL ORAL POWDER 10 GM,10 GM ORAL POWDER,ORAL POWDER,Non-Scheduled,-1,20.62,2.06,Dec-2025
1521092276@166053@101120244@2100@101126@200442,MAIN,CREMAHEP 10 GM SYRUP 200 ML,ABBOTT INDIA LTD.,LACTITOL SYRUP 10 GM,200 ML SYRUP,SYRUP,Non-Scheduled,-1,216.50,1.08,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,EVAQ,MEDLEY PHARMACEUTICALS,LACTITOL SYRUP 10 GM,450,SYRUP,Non-Scheduled,-1,520.31,1.16,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,TORRELAX,TORRENT PHARMACEUTICALS LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,237.90,1.19,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,LACTIHEP,SUN PHARMA LABORATORIES LTD.,LACTITOL SYRUP 10 GM,450,SYRUP,Non-Scheduled,-1,548.44,1.22,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,LACSYP,CIPLA LTD.,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,130.05,1.30,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,WELMORNING,ORGANIC LABORATORIES,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,139.00,1.39,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,GUTWIL,WILSHIRE HEALTH CARE,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,279.38,1.40,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,LAXITOL,MACLEODS PHARMACEUTICALS PVT.LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,280.49,1.40,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,LACSYP,CIPLA LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,298.72,1.49,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,LACTIHEP,SUN PHARMA LABORATORIES LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,299.06,1.50,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,GUTCLEAR,ZUVENTUS HEALTHCARE LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,322.65,1.61,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,EVAQ,MEDLEY PHARMACEUTICALS,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,329.06,1.65,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,TOTALAX NF,MANKIND PHARMACEUTICALS LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,339.17,1.70,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,LAXIP,SYNOKEM PHARMACEUTICALS LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,343.20,1.72,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,GUTCLEAR,ZUVENTUS HEALTHCARE LTD,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,177.10,1.77,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,SMUTH L,ARISTO PHARMACEUTICALS PVT.LTD,LACTITOL SYRUP 10 GM,150,SYRUP,Non-Scheduled,-1,264.79,1.77,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,WELMORNING,ORGANIC LABORATORIES,LACTITOL SYRUP 10 GM,150,SYRUP,Non-Scheduled,-1,271.88,1.81,Dec-2025
1521092276@166053@101120244@2100@101126@200442,OTHER,OSMITOL,MICRO LABS LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,364.60,1.82,Dec-2025
1521014976@244268@101122062@3906@101126@200442,MAIN,DEFELAX 66.67 MG SYRUP 150 ML,AKUMENTIS HEALTHCARE LTD,LACTITOL SYRUP 66.67 MG,150 ML SYRUP,SYRUP,Non-Scheduled,-1,196.00,1.31,Dec-2025
1521014976@244268@101122062@3906@101126@200442,OTHER,TOLTOL,VASU ORGANICS PVT.LTD,LACTITOL SYRUP 66.67 MG,200,SYRUP,Non-Scheduled,-1,325.67,1.63,Dec-2025
1521025052@121626@101129664@2100@101126@200442,MAIN,EVAQ 10 GM SYRUP 200 ML,MEDLEY PHARMACEUTICALS,LACTITOL SYRUP 10 GM,200 ML SYRUP,SYRUP,Non-Scheduled,-1,329.06,1.65,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,CREMAHEP,ABBOTT INDIA LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,216.50,1.08,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,TORRELAX,TORRENT PHARMACEUTICALS LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,237.90,1.19,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,LACTIHEP,SUN PHARMA LABORATORIES LTD.,LACTITOL SYRUP 10 GM,450,SYRUP,Non-Scheduled,-1,548.44,1.22,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,LACSYP,CIPLA LTD.,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,130.05,1.30,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,WELMORNING,ORGANIC LABORATORIES,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,139.00,1.39,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,GUTWIL,WILSHIRE HEALTH CARE,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,279.38,1.40,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,LAXITOL,MACLEODS PHARMACEUTICALS PVT.LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,280.49,1.40,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,LACSYP,CIPLA LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,298.72,1.49,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,LACTIHEP,SUN PHARMA LABORATORIES LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,299.06,1.50,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,GUTCLEAR,ZUVENTUS HEALTHCARE LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,322.65,1.61,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,TOTALAX NF,MANKIND PHARMACEUTICALS LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,339.17,1.70,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,LAXIP,SYNOKEM PHARMACEUTICALS LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,343.20,1.72,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,GUTCLEAR,ZUVENTUS HEALTHCARE LTD,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,177.10,1.77,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,SMUTH L,ARISTO PHARMACEUTICALS PVT.LTD,LACTITOL SYRUP 10 GM,150,SYRUP,Non-Scheduled,-1,264.79,1.77,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,WELMORNING,ORGANIC LABORATORIES,LACTITOL SYRUP 10 GM,150,SYRUP,Non-Scheduled,-1,271.88,1.81,Dec-2025
1521025052@121626@101129664@2100@101126@200442,OTHER,OSMITOL,MICRO LABS LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,364.60,1.82,Dec-2025
1521025053@123115@101129664@2100@101126@200442,MAIN,EVAQ 10 GM SYRUP 450 ML,MEDLEY PHARMACEUTICALS,LACTITOL SYRUP 10 GM,450 ML SYRUP,SYRUP,Non-Scheduled,-1,520.31,1.16,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,CREMAHEP,ABBOTT INDIA LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,216.50,1.08,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,TORRELAX,TORRENT PHARMACEUTICALS LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,237.90,1.19,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,LACTIHEP,SUN PHARMA LABORATORIES LTD.,LACTITOL SYRUP 10 GM,450,SYRUP,Non-Scheduled,-1,548.44,1.22,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,LACSYP,CIPLA LTD.,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,130.05,1.30,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,WELMORNING,ORGANIC LABORATORIES,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,139.00,1.39,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,GUTWIL,WILSHIRE HEALTH CARE,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,279.38,1.40,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,LAXITOL,MACLEODS PHARMACEUTICALS PVT.LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,280.49,1.40,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,LACSYP,CIPLA LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,298.72,1.49,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,LACTIHEP,SUN PHARMA LABORATORIES LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,299.06,1.50,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,GUTCLEAR,ZUVENTUS HEALTHCARE LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,322.65,1.61,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,TOTALAX NF,MANKIND PHARMACEUTICALS LTD.,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,339.17,1.70,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,LAXIP,SYNOKEM PHARMACEUTICALS LTD,LACTITOL SYRUP 10 GM,200,SYRUP,Non-Scheduled,-1,343.20,1.72,Dec-2025
1521025053@123115@101129664@2100@101126@200442,OTHER,GUTCLEAR,ZUVENTUS HEALTHCARE LTD,LACTITOL SYRUP 10 GM,100,SYRUP,Non-Scheduled,-1,177.10,1.77,Dec-2025
