HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521135493@353445@101225490@-1@101068@200219,MAIN,CARNIFIT INJECTION 1,MICRO LABS LTD,LEVOCARNITINE INJECTION ,1 INJECTION,INJECTION,Non-Scheduled,-1,68.75,68.75,Dec-2025
1521135493@353445@101225490@-1@101068@200219,OTHER,KANILEV,CONCORD BIOTECH LTD,LEVOCARNITINE INJECTION ,5,INJECTION,Non-Scheduled,-1,129.46,25.89,Dec-2025
1521017316@288966@101112845@3755@101006@200219,MAIN,CARNIGLO M 500 MG TABLET 10,LINUX LABORATORIES,LEVOCARNITINE TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,224.85,22.49,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,VERNACE,SUN PHARMA LABORATORIES LTD.,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,192.19,19.22,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,CARNIPIL,GLADSTONE PHARMA INDIA PVT.LTD,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,234.38,23.44,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,CARNIMAC,MACLEODS PHARMACEUTICALS PVT.LTD,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,242.34,24.23,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,LCARPRO,SALUD CARE (I) PVT LTD,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,254.72,25.47,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,LEVOCAT,KNOLL HEALTHCARE PVT.LTD,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,270.00,27.00,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,CARNITOR,WIN-MEDICARE PVT. LTD.,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,385.30,38.53,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,LEVOCARNIL,MODI MUNDI PHARMA PVT LTD,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,403.00,40.30,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,CARNISURE,TORRENT PHARMACEUTICALS LTD.,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,437.80,43.78,Dec-2025
1521017316@288966@101112845@3755@101006@200219,OTHER,NUCARNIT,EMCURE PHARMACEUTICALS LTD,LEVOCARNITINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,456.35,45.64,Dec-2025
1521159399@704000@101112845@-1@101006@200219,MAIN,CARNIGLO M TABLET 15,LINUX LABORATORIES,LEVOCARNITINE TABLET ,15 TABLET,TABLET,Non-Scheduled,-1,338.10,22.54,Dec-2025
1521159399@704000@101112845@-1@101006@200219,OTHER,CARNISURGE,GLADSTONE PHARMA INDIA PVT.LTD,LEVOCARNITINE TABLET ,10,TABLET,Non-Scheduled,-1,234.38,23.44,Dec-2025
1521159399@704000@101112845@-1@101006@200219,OTHER,WINZEST,WIN-MEDICARE PVT. LTD.,LEVOCARNITINE TABLET ,10,TABLET,Non-Scheduled,-1,435.93,43.59,Dec-2025
1521159399@704000@101112845@-1@101006@200219,OTHER,LIVCRAMP,DELVIN FORMULATIONS PRIVATE LTD,LEVOCARNITINE TABLET ,10,TABLET,Non-Scheduled,-1,525.00,52.50,Dec-2025
1521014010@237360@101112126@2974@101068@200219,MAIN,CARNIJET 200 MG INJECTION 5 ML,ALNICHE LIFE SCIENCES PVT.LTD,LEVOCARNITINE INJECTION 200 MG,5 ML INJECTION,INJECTION,Non-Scheduled,-1,149.00,29.80,Dec-2025
