HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521154353@9999995714@101246188@3914@101120@200089,MAIN,ERLY 6 MG PEN 3 ML,ERIS LIFESCIENCES LTD,LIRAGLUTIDE PEN 6 MG,3 ML PEN,PEN,Non-Scheduled,-1,1875.00,625.00,Dec-2025
1521154353@9999995714@101246188@3914@101120@200089,OTHER,VICTOZA,NOVO NORDISK INDIA PVT LTD,LIRAGLUTIDE PEN 6 MG,3,PEN,Non-Scheduled,-1,5324.00,1774.67,Dec-2025
1521155590@9999994347@101246335@2852@101120@200089,MAIN,GLIPTOZA PREFILLED 18 MG PEN 3 ML,ERIS LIFESCIENCES LTD,LIRAGLUTIDE PEN 18 MG,3 ML PEN,PEN,Non-Scheduled,-1,1875.00,625.00,Dec-2025
1521155590@9999994347@101246335@2852@101120@200089,OTHER,LYRATO,ERIS LIFESCIENCES LTD,LIRAGLUTIDE PEN 18 MG,3,PEN,Non-Scheduled,-1,1875.00,625.00,Dec-2025
1521133376@355528@101217511@3914@101068@200089,MAIN,LIRAFIT 6 MG INJECTION 3 ML,GLENMARK PHARMACEUTICALS LTD.,LIRAGLUTIDE INJECTION 6 MG,3 ML INJECTION,INJECTION,Non-Scheduled,-1,1905.00,635.00,Dec-2025
1521133376@355528@101217511@3914@101068@200089,OTHER,LIRAFIT S,GLENMARK PHARMACEUTICALS LTD.,LIRAGLUTIDE INJECTION 6 MG,3,INJECTION,Non-Scheduled,-1,1799.80,599.93,Dec-2025
1521160672@704726@101247756@3914@101068@200089,MAIN,LIRAFIT S 6 MG INJECTION 3 ML,GLENMARK PHARMACEUTICALS LTD.,LIRAGLUTIDE INJECTION 6 MG,3 ML INJECTION,INJECTION,Non-Scheduled,-1,1799.80,599.93,Dec-2025
1521160672@704726@101247756@3914@101068@200089,OTHER,LIRAFIT,GLENMARK PHARMACEUTICALS LTD.,LIRAGLUTIDE INJECTION 6 MG,3,INJECTION,Non-Scheduled,-1,1905.00,635.00,Dec-2025
1521155591@9999994348@101246531@2852@101120@200089,MAIN,LYRATO PREFILLED 18 MG PEN 3 ML,ERIS LIFESCIENCES LTD,LIRAGLUTIDE PEN 18 MG,3 ML PEN,PEN,Non-Scheduled,-1,1875.00,625.00,Dec-2025
1521155591@9999994348@101246531@2852@101120@200089,OTHER,GLIPTOZA,ERIS LIFESCIENCES LTD,LIRAGLUTIDE PEN 18 MG,3,PEN,Non-Scheduled,-1,1875.00,625.00,Dec-2025
1521081982@168626@101182638@3914@101120@200089,MAIN,VICTOZA 6 MG PEN 3 ML,NOVO NORDISK INDIA PVT LTD,LIRAGLUTIDE PEN 6 MG,3 ML PEN,PEN,Non-Scheduled,-1,5324.00,1774.67,Dec-2025
1521081982@168626@101182638@3914@101120@200089,OTHER,ERLY,ERIS LIFESCIENCES LTD,LIRAGLUTIDE PEN 6 MG,3,PEN,Non-Scheduled,-1,1875.00,625.00,Dec-2025
