HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521007157@70167@101103062@3312@101006@200913,MAIN,ALSARTAN 25 MG TABLET 10,ARISTO PHARMACEUTICALS PVT.LTD,LOSARTAN TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,42.18,4.22,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSACRON,ACRON PHARMACEUTICALS,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,4.81,0.48,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LORSAVE,ERIS LIFESCIENCES LTD,LOSARTAN TABLET 25 MG,15,TABLET,Non-Scheduled,-1,20.00,1.33,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LTK,UNISON PHARMACEUTICALS,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,15.75,1.58,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,GIFTAN,SYSTOPIC LABORATORIES LTD-MEM,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,18.75,1.88,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,FLOSART,FINECURE PHARMACEUTICALS,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,20.12,2.01,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSASUN,SUNIJ PHARMA PVT LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,21.95,2.20,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSTAT,BLUE CROSS LABORATORIES LTD,LOSARTAN TABLET 25 MG,15,TABLET,Non-Scheduled,-1,33.75,2.25,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,ZILOS,FDC LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,24.00,2.40,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,BPCURE,HBC LIFESCIENCES PVT LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,24.43,2.44,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,ELSARTAN,ELDER PROJECTS LIMITED,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,26.25,2.63,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,ICOSAR,ICON LIFESCIENCES,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,27.00,2.70,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSIUM,CADILA PHARMACEUTICALS LTD,LOSARTAN TABLET 25 MG,30,TABLET,Non-Scheduled,-1,82.97,2.77,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOTACE,KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD(KAPL),LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,28.00,2.80,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOPT,RHINE BIOGENICS PVT LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,28.57,2.86,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LARTAN,AVINASH HEALTH PRODUCTS PVT. LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,29.92,2.99,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,ELSAR,ARETAEUS PHARMACEUTICALS,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,31.51,3.15,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSANOL,KNOLL HEALTHCARE PVT.LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,31.50,3.15,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LO,EAST WEST PHARMA,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,33.00,3.30,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSAKIND,MANKIND PHARMACEUTICALS LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,33.20,3.32,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSATRUST,CENTAUR PHARMACEUTICALS PVT.LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,34.01,3.40,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,OSART,CLARIS LIFESCIENCES LIMITED,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,34.78,3.48,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSARTAR,SHRRISHTI HEALTHCARE,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,36.09,3.61,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,ANGIZAAR,MICRO LABS LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,36.50,3.65,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,COSART,CIPLA LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,38.05,3.81,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,SARPOT,MITOCH PHARMA PVT LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,39.19,3.92,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOTAK,CAPLET INDIA PRIVATE LIMITED,LOSARTAN TABLET 25 MG,20,TABLET,Non-Scheduled,-1,79.52,3.98,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSATAN,ZYDUS HEALTHCARE LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,42.10,4.21,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,PREZAR,MEDICHEM PHARMCEUTICALS LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,43.13,4.31,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSARTAS,INTAS PHARMACEUTICALS LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,44.53,4.45,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSANORM,IPCA LABORATORIES PVT LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,45.04,4.50,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,RESITAN,REGENIX DRUGS LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOTOP,ANTHUS PHARMACEUTICALS PVT LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,45.70,4.57,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,OMNITAN,MACLEODS PHARMACEUTICALS PVT.LTD,LOSARTAN TABLET 25 MG,15,TABLET,Non-Scheduled,-1,69.60,4.64,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOTAS,TAS MED (INDIA) PRIVATE LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,50.20,5.02,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,TOZAAR,TORRENT PHARMACEUTICALS LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,52.00,5.20,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,COVANCE,RANBAXY LABORATORIES LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,54.84,5.48,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,REPACE,SUN PHARMA LABORATORIES LTD.,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,54.84,5.48,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,REVAS,ALEMBIC LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,56.06,5.61,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSAR,TORRENT PHARMACEUTICALS LTD.,LOSARTAN TABLET 25 MG,15,TABLET,Non-Scheduled,-1,94.40,6.29,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSACAR,ZYDUS HEALTHCARE LTD.,LOSARTAN TABLET 25 MG,15,TABLET,Non-Scheduled,-1,95.36,6.36,Dec-2025
1521007157@70167@101103062@3312@101006@200913,OTHER,LOSALUP,LUPIN LTD,LOSARTAN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,105.00,10.50,Dec-2025
1521007170@70168@101103062@3791@101006@200913,MAIN,ALSARTAN 50 MG TABLET 10,ARISTO PHARMACEUTICALS PVT.LTD,LOSARTAN TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,84.14,8.41,Dec-2025
1521007170@70168@101103062@3791@101006@200913,OTHER,LOSACRON,ACRON PHARMACEUTICALS,LOSARTAN TABLET 50 MG,10,TABLET,Non-Scheduled,-1,10.00,1.00,Dec-2025
1521007170@70168@101103062@3791@101006@200913,OTHER,LOSALUP,LUPIN LTD,LOSARTAN TABLET 50 MG,10,TABLET,Non-Scheduled,-1,14.38,1.44,Dec-2025
1521007170@70168@101103062@3791@101006@200913,OTHER,LOSARPEN,MOREPEN LABORATORIES LIMITED,LOSARTAN TABLET 50 MG,10,TABLET,Non-Scheduled,-1,18.68,1.87,Dec-2025
1521007170@70168@101103062@3791@101006@200913,OTHER,RESITAN,REGENIX DRUGS LTD,LOSARTAN TABLET 50 MG,10,TABLET,Non-Scheduled,-1,33.52,3.35,Dec-2025
1521007170@70168@101103062@3791@101006@200913,OTHER,LTK,UNISON PHARMACEUTICALS,LOSARTAN TABLET 50 MG,10,TABLET,Non-Scheduled,-1,34.88,3.49,Dec-2025
