HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521047029@288927@101150123@3460@101068@200729,MAIN,MEPHENTERMINE SULPHATE IP 30 MG INJECTION 10 ML,TROIKAA PHARMACEUTICALS LTD,MEPHENTERMINE INJECTION 30 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,304.01,30.40,Dec-2025
1521047029@288927@101150123@3460@101068@200729,OTHER,MEPHNOR,CELON LABS,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,318.00,31.80,Dec-2025
1521047029@288927@101150123@3460@101068@200729,OTHER,THEMICAR,THEMIS MEDICARE LTD.,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,331.24,33.12,Dec-2025
1521047029@288927@101150123@3460@101068@200729,OTHER,TERMIN,NEON LABORATORIES LTD,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,390.40,39.04,Dec-2025
1521102888@349633@101195107@3460@101068@200729,MAIN,MEPHNOR 30 MG INJECTION 10 ML,CELON LABS,MEPHENTERMINE INJECTION 30 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,318.00,31.80,Dec-2025
1521102888@349633@101195107@3460@101068@200729,OTHER,MEPHENTERMINE SULPHATE IP,TROIKAA PHARMACEUTICALS LTD,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,304.01,30.40,Dec-2025
1521102888@349633@101195107@3460@101068@200729,OTHER,THEMICAR,THEMIS MEDICARE LTD.,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,331.24,33.12,Dec-2025
1521102888@349633@101195107@3460@101068@200729,OTHER,TERMIN,NEON LABORATORIES LTD,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,390.40,39.04,Dec-2025
1521089967@171935@101188772@2744@101068@200729,MAIN,TERMIN 15 MG INJECTION 1 ML,NEON LABORATORIES LTD,MEPHENTERMINE INJECTION 15 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,22.86,22.86,Dec-2025
1521090024@37299@101188772@3460@101068@200729,MAIN,TERMIN 30 MG INJECTION 10 ML,NEON LABORATORIES LTD,MEPHENTERMINE INJECTION 30 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,390.40,39.04,Dec-2025
1521090024@37299@101188772@3460@101068@200729,OTHER,MEPHENTERMINE SULPHATE IP,TROIKAA PHARMACEUTICALS LTD,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,304.01,30.40,Dec-2025
1521090024@37299@101188772@3460@101068@200729,OTHER,MEPHNOR,CELON LABS,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,318.00,31.80,Dec-2025
1521090024@37299@101188772@3460@101068@200729,OTHER,THEMICAR,THEMIS MEDICARE LTD.,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,331.24,33.12,Dec-2025
1521147925@9999997460@101239271@3460@101068@200729,MAIN,THEMICAR 30 MG INJECTION 10 ML,THEMIS MEDICARE LTD.,MEPHENTERMINE INJECTION 30 MG,10 ML INJECTION,INJECTION,Non-Scheduled,-1,331.24,33.12,Dec-2025
1521147925@9999997460@101239271@3460@101068@200729,OTHER,MEPHENTERMINE SULPHATE IP,TROIKAA PHARMACEUTICALS LTD,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,304.01,30.40,Dec-2025
1521147925@9999997460@101239271@3460@101068@200729,OTHER,MEPHNOR,CELON LABS,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,318.00,31.80,Dec-2025
1521147925@9999997460@101239271@3460@101068@200729,OTHER,TERMIN,NEON LABORATORIES LTD,MEPHENTERMINE INJECTION 30 MG,10,INJECTION,Non-Scheduled,-1,390.40,39.04,Dec-2025
