HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521149925@311658@101234775@3854@101006@200770,MAIN,METALONIX 5 MG TABLET 10,STERIS HEALTHCARE,METOLAZONE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,192.88,19.29,Dec-2025
1521149925@311658@101234775@3854@101006@200770,OTHER,ZYTANIX,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,294.25,29.43,Dec-2025
1521149925@311658@101234775@3854@101006@200770,OTHER,METOZ,CENTAUR PHARMACEUTICALS PVT.LTD,METOLAZONE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,323.38,32.34,Dec-2025
1521149925@311658@101234775@3854@101006@200770,OTHER,ZYTANIX,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 5 MG,15,TABLET,Non-Scheduled,-1,550.63,36.71,Dec-2025
1521047814@71328@101150906@3311@101006@200770,MAIN,METOZ 2.5 MG TABLET 10,CENTAUR PHARMACEUTICALS PVT.LTD,METOLAZONE TABLET 2.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,193.54,19.35,Dec-2025
1521047814@71328@101150906@3311@101006@200770,OTHER,ZYTANIX,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 2.5 MG,10,TABLET,Non-Scheduled,-1,171.80,17.18,Dec-2025
1521047814@71328@101150906@3311@101006@200770,OTHER,ZYTANIX,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 2.5 MG,15,TABLET,Non-Scheduled,-1,321.49,21.43,Dec-2025
1521047815@71329@101150906@3854@101006@200770,MAIN,METOZ 5 MG TABLET 10,CENTAUR PHARMACEUTICALS PVT.LTD,METOLAZONE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,323.38,32.34,Dec-2025
1521047815@71329@101150906@3854@101006@200770,OTHER,METALONIX,STERIS HEALTHCARE,METOLAZONE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,192.88,19.29,Dec-2025
1521047815@71329@101150906@3854@101006@200770,OTHER,ZYTANIX,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,294.25,29.43,Dec-2025
1521047815@71329@101150906@3854@101006@200770,OTHER,ZYTANIX,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 5 MG,15,TABLET,Non-Scheduled,-1,550.63,36.71,Dec-2025
1521086766@77865@101247320@3311@101006@200770,MAIN,ZYTANIX 2.5 MG TABLET 10,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 2.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,171.80,17.18,Dec-2025
1521086766@77865@101247320@3311@101006@200770,OTHER,METOZ,CENTAUR PHARMACEUTICALS PVT.LTD,METOLAZONE TABLET 2.5 MG,10,TABLET,Non-Scheduled,-1,193.54,19.35,Dec-2025
1521097178@348233@101247320@3311@101006@200770,MAIN,ZYTANIX 2.5 MG TABLET 15,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 2.5 MG,15 TABLET,TABLET,Non-Scheduled,-1,321.49,21.43,Dec-2025
1521097178@348233@101247320@3311@101006@200770,OTHER,METOZ,CENTAUR PHARMACEUTICALS PVT.LTD,METOLAZONE TABLET 2.5 MG,10,TABLET,Non-Scheduled,-1,193.54,19.35,Dec-2025
1521086768@77866@101247320@3854@101006@200770,MAIN,ZYTANIX 5 MG TABLET 10,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,294.25,29.43,Dec-2025
1521086768@77866@101247320@3854@101006@200770,OTHER,METALONIX,STERIS HEALTHCARE,METOLAZONE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,192.88,19.29,Dec-2025
1521086768@77866@101247320@3854@101006@200770,OTHER,METOZ,CENTAUR PHARMACEUTICALS PVT.LTD,METOLAZONE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,323.38,32.34,Dec-2025
1521096919@348232@101247320@3854@101006@200770,MAIN,ZYTANIX 5 MG TABLET 15,ZYDUS HEALTHCARE LTD.,METOLAZONE TABLET 5 MG,15 TABLET,TABLET,Non-Scheduled,-1,550.63,36.71,Dec-2025
1521096919@348232@101247320@3854@101006@200770,OTHER,METALONIX,STERIS HEALTHCARE,METOLAZONE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,192.88,19.29,Dec-2025
1521096919@348232@101247320@3854@101006@200770,OTHER,METOZ,CENTAUR PHARMACEUTICALS PVT.LTD,METOLAZONE TABLET 5 MG,10,TABLET,Non-Scheduled,-1,323.38,32.34,Dec-2025
