HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521001353@271173@101101830@3791@101068@201587,MAIN,BCAGIN 50 MG INJECTION 1,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,MICAFUNGIN INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,6063.75,6063.75,Dec-2025
1521001353@271173@101101830@3791@101068@201587,OTHER,MICANFA,INTAS PHARMACEUTICALS LTD,MICAFUNGIN INJECTION 50 MG,5,INJECTION,Non-Scheduled,-1,9280.50,1856.10,Dec-2025
1521001353@271173@101101830@3791@101068@201587,OTHER,MICAFIC,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,2856.18,2856.18,Dec-2025
1521001353@271173@101101830@3791@101068@201587,OTHER,MICAFUNG,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5389.03,5389.03,Dec-2025
1521001353@271173@101101830@3791@101068@201587,OTHER,MYCAMINE,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5602.85,5602.85,Dec-2025
1521001353@271173@101101830@3791@101068@201587,OTHER,MICALAN,VIATRIS,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,6775.00,6775.00,Dec-2025
1521001353@271173@101101830@3791@101068@201587,OTHER,IVFUNGIN,ALNICHE LIFE SCIENCES PVT.LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7650.00,7650.00,Dec-2025
1521001353@271173@101101830@3791@101068@201587,OTHER,MICEDGE,ABBOTT HEALTHCARE PVT. LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,10841.69,10841.69,Dec-2025
1521001353@271173@101101830@3791@101068@201587,OTHER,MICAFUNG PLUS,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,11657.16,11657.16,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,MAIN,IVFUNGIN 50 MG INJECTION 1,ALNICHE LIFE SCIENCES PVT.LTD,MICAFUNGIN INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,7650.00,7650.00,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,OTHER,MICANFA,INTAS PHARMACEUTICALS LTD,MICAFUNGIN INJECTION 50 MG,5,INJECTION,Non-Scheduled,-1,9280.50,1856.10,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,OTHER,MICAFIC,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,2856.18,2856.18,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,OTHER,MICAFUNG,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5389.03,5389.03,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,OTHER,MYCAMINE,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5602.85,5602.85,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,OTHER,BCAGIN,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,6063.75,6063.75,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,OTHER,MICALAN,VIATRIS,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,6775.00,6775.00,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,OTHER,MICEDGE,ABBOTT HEALTHCARE PVT. LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,10841.69,10841.69,Dec-2025
1521158354@9999998379@101244609@3791@101068@201587,OTHER,MICAFUNG PLUS,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,11657.16,11657.16,Dec-2025
1521156602@352767@101243317@3791@101068@201587,MAIN,MICAFIC 50 MG INJECTION 1,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,2856.18,2856.18,Dec-2025
1521156602@352767@101243317@3791@101068@201587,OTHER,MICANFA,INTAS PHARMACEUTICALS LTD,MICAFUNGIN INJECTION 50 MG,5,INJECTION,Non-Scheduled,-1,9280.50,1856.10,Dec-2025
1521156602@352767@101243317@3791@101068@201587,OTHER,MICAFUNG,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5389.03,5389.03,Dec-2025
1521156602@352767@101243317@3791@101068@201587,OTHER,MYCAMINE,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,5602.85,5602.85,Dec-2025
1521156602@352767@101243317@3791@101068@201587,OTHER,BCAGIN,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,6063.75,6063.75,Dec-2025
1521156602@352767@101243317@3791@101068@201587,OTHER,MICALAN,VIATRIS,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,6775.00,6775.00,Dec-2025
1521156602@352767@101243317@3791@101068@201587,OTHER,IVFUNGIN,ALNICHE LIFE SCIENCES PVT.LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,7650.00,7650.00,Dec-2025
1521156602@352767@101243317@3791@101068@201587,OTHER,MICEDGE,ABBOTT HEALTHCARE PVT. LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,10841.69,10841.69,Dec-2025
1521156602@352767@101243317@3791@101068@201587,OTHER,MICAFUNG PLUS,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,11657.16,11657.16,Dec-2025
1521048077@228887@101151175@3791@101068@201587,MAIN,MICAFUNG 50 MG INJECTION 1,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,5389.03,5389.03,Dec-2025
1521048077@228887@101151175@3791@101068@201587,OTHER,MICANFA,INTAS PHARMACEUTICALS LTD,MICAFUNGIN INJECTION 50 MG,5,INJECTION,Non-Scheduled,-1,9280.50,1856.10,Dec-2025
1521048077@228887@101151175@3791@101068@201587,OTHER,MICAFIC,GUFIC BIOSCIENCE LTD,MICAFUNGIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,2856.18,2856.18,Dec-2025
