HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521139593@354401@101228220@1846@101113@201422,MAIN,AKUMINO 100 MG VIAL 1,AKUMENTIS HEALTHCARE LTD,MINOCYCLINE VIAL 100 MG,1 VIAL,VIAL,Non-Scheduled,-1,3703.13,3703.13,Dec-2025
1521010217@149390@101110879@1846@101006@201422,MAIN,ARNOCIN 100 MG TABLET 10,DR. JOHNS LABORATORIES PVT LTD,MINOCYCLINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,473.44,47.34,Dec-2025
1521010217@149390@101110879@1846@101006@201422,OTHER,MINOCYN,KIVI LABS LTD,MINOCYCLINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,367.00,36.70,Dec-2025
1521010217@149390@101110879@1846@101006@201422,OTHER,DIVAINE,CIPLA LTD.,MINOCYCLINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,392.76,39.28,Dec-2025
1521010217@149390@101110879@1846@101006@201422,OTHER,MINOZ,RANBAXY LABORATORIES LTD,MINOCYCLINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,456.56,45.66,Dec-2025
1521010217@149390@101110879@1846@101006@201422,OTHER,MINOLOX,MICRO LABS LTD,MINOCYCLINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,472.50,47.25,Dec-2025
1521010217@149390@101110879@1846@101006@201422,OTHER,CNN,IPCA LABORATORIES PVT LTD.,MINOCYCLINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,532.83,53.28,Dec-2025
1521010217@149390@101110879@1846@101006@201422,OTHER,VICYN,KIVI LABS LTD,MINOCYCLINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,585.94,58.59,Dec-2025
1521052915@271191@101146207@1846@101068@201422,MAIN,BDMINO 100 MG INJECTION 1,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,MINOCYCLINE INJECTION 100 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,2250.00,2250.00,Dec-2025
1521052915@271191@101146207@1846@101068@201422,OTHER,DIVAINE,CIPLA LTD.,MINOCYCLINE INJECTION 100 MG,5,INJECTION,Non-Scheduled,-1,3736.87,747.37,Dec-2025
