HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521142847@352614@101228206@3215@101006@207033,MAIN,AGOTY 250 MG TABLET 10,TRION PHARMA,PALMITOYLETHANOLAMIDE TABLET 250 MG,10 TABLET,TABLET,Non-Scheduled,-1,257.16,25.72,Dec-2025
1521157650@702013@101243731@3426@101006@207033,MAIN,AGPTOY 300 MG TABLET 10,MANKIND PHARMACEUTICALS LTD.,PALMITOYLETHANOLAMIDE TABLET 300 MG,10 TABLET,TABLET,Non-Scheduled,-1,310.00,31.00,Dec-2025
1521157650@702013@101243731@3426@101006@207033,OTHER,PALMI,ERIS LIFESCIENCES LTD,PALMITOYLETHANOLAMIDE TABLET 300 MG,10,TABLET,Non-Scheduled,-1,195.58,19.56,Dec-2025
1521157650@702013@101243731@3426@101006@207033,OTHER,FIBROSET,SUNDYOTA NUMANDIS PHARMA PVT LTD,PALMITOYLETHANOLAMIDE TABLET 300 MG,10,TABLET,Non-Scheduled,-1,306.99,30.70,Dec-2025
1521157650@702013@101243731@3426@101006@207033,OTHER,FOLACTIB DPN,KEPLER HEALTH CARE,PALMITOYLETHANOLAMIDE TABLET 300 MG,10,TABLET,Non-Scheduled,-1,309.38,30.94,Dec-2025
1521157650@702013@101243731@3426@101006@207033,OTHER,PALMODYNE,SEPTALYST LIFESCIENCES PVT LTD,PALMITOYLETHANOLAMIDE TABLET 300 MG,10,TABLET,Non-Scheduled,-1,336.35,33.64,Dec-2025
1521157650@702013@101243731@3426@101006@207033,OTHER,PALMIDA,LINUX LABORATORIES,PALMITOYLETHANOLAMIDE TABLET 300 MG,10,TABLET,Non-Scheduled,-1,337.07,33.71,Dec-2025
1521157650@702013@101243731@3426@101006@207033,OTHER,PROAXEN,PULSE PHARMACEUTICALS PVT LTD,PALMITOYLETHANOLAMIDE TABLET 300 MG,10,TABLET,Non-Scheduled,-1,341.68,34.17,Dec-2025
1521157650@702013@101243731@3426@101006@207033,OTHER,PALMIHER,LA RENON HEALTHCARE PVT.LTD,PALMITOYLETHANOLAMIDE TABLET 300 MG,10,TABLET,Non-Scheduled,-1,430.00,43.00,Dec-2025
1521157650@702013@101243731@3426@101006@207033,OTHER,PALMIRESP,LA RENON HEALTHCARE PVT.LTD,PALMITOYLETHANOLAMIDE TABLET 300 MG,15,TABLET,Non-Scheduled,-1,787.50,52.50,Dec-2025
1521137486@9999997242@101228412@-1@101006@207033,MAIN,AMIDO TABLET 10,NUTRI GOLD PVT.LTD,PALMITOYLETHANOLAMIDE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,349.00,34.90,Dec-2025
1521137486@9999997242@101228412@-1@101006@207033,OTHER,PEAMIG,CENTAUR PHARMACEUTICALS PVT.LTD,PALMITOYLETHANOLAMIDE TABLET ,10,TABLET,Non-Scheduled,-1,268.93,26.89,Dec-2025
1521137486@9999997242@101228412@-1@101006@207033,OTHER,RELETON,ERGOS LIFE SCIENCES,PALMITOYLETHANOLAMIDE TABLET ,10,TABLET,Non-Scheduled,-1,271.40,27.14,Dec-2025
1521137486@9999997242@101228412@-1@101006@207033,OTHER,COMIG PRO,SEAGULL PHARMA,PALMITOYLETHANOLAMIDE TABLET ,10,TABLET,Non-Scheduled,-1,311.44,31.14,Dec-2025
1521137486@9999997242@101228412@-1@101006@207033,OTHER,FIBROBOS XT,AAREEN HEALTHCARE,PALMITOYLETHANOLAMIDE TABLET ,10,TABLET,Non-Scheduled,-1,381.81,38.18,Dec-2025
1521137486@9999997242@101228412@-1@101006@207033,OTHER,PALMIGES,LA RENON HEALTHCARE PVT.LTD,PALMITOYLETHANOLAMIDE TABLET ,15,TABLET,Non-Scheduled,-1,888.94,59.26,Dec-2025
1521158047@702438@101244200@-1@101006@207033,MAIN,COMIG PRO TABLET 10,SEAGULL PHARMA,PALMITOYLETHANOLAMIDE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,311.44,31.14,Dec-2025
1521158047@702438@101244200@-1@101006@207033,OTHER,PEAMIG,CENTAUR PHARMACEUTICALS PVT.LTD,PALMITOYLETHANOLAMIDE TABLET ,10,TABLET,Non-Scheduled,-1,268.93,26.89,Dec-2025
1521158047@702438@101244200@-1@101006@207033,OTHER,RELETON,ERGOS LIFE SCIENCES,PALMITOYLETHANOLAMIDE TABLET ,10,TABLET,Non-Scheduled,-1,271.40,27.14,Dec-2025
1521158047@702438@101244200@-1@101006@207033,OTHER,AMIDO,NUTRI GOLD PVT.LTD,PALMITOYLETHANOLAMIDE TABLET ,10,TABLET,Non-Scheduled,-1,349.00,34.90,Dec-2025
1521158047@702438@101244200@-1@101006@207033,OTHER,FIBROBOS XT,AAREEN HEALTHCARE,PALMITOYLETHANOLAMIDE TABLET ,10,TABLET,Non-Scheduled,-1,381.81,38.18,Dec-2025
1521158047@702438@101244200@-1@101006@207033,OTHER,PALMIGES,LA RENON HEALTHCARE PVT.LTD,PALMITOYLETHANOLAMIDE TABLET ,15,TABLET,Non-Scheduled,-1,888.94,59.26,Dec-2025
1521103702@354312@101195549@3426@101038@207033,MAIN,DIBNEPAN 300 MG CAPSULE 10,BIOKINDLE LIFESCIENCES PVT. LTD,PALMITOYLETHANOLAMIDE CAPSULE 300 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,310.55,31.06,Dec-2025
