HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521150327@349763@101228524@2403@101006@202315,MAIN,ANXETIN CR 12.5 MG TABLET 10,SANIX FORMULATIONS PVT LTD,PAROXETINE TABLET 12.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,214.40,21.44,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAROCEN,USV PVT LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAROTIN,CIPLA LTD.,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,91.00,9.10,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAROXET,MANKIND PHARMACEUTICALS LTD.,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,94.60,9.46,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PARISAFE,ORGANIC LABORATORIES,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,110.63,11.06,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,NOBIX,ERIS LIFESCIENCES LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,123.64,12.36,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,OXITINE CR,PSYCORMEDIES,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,140.00,14.00,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PRAKOCR,TRIKO PHARMACEUTICALS,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,141.00,14.10,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,CNPAXET,CNX HEALTHCARE PVT LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,143.43,14.34,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAROCY,CYRUS REMEDIES PVT LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,144.37,14.44,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAROLYST,SEPTALYST LIFESCIENCES PVT LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,147.18,14.72,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PATRIOT,AGM BIOTEC,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,154.69,15.47,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,FORDEP,TAS MED (INDIA) PRIVATE LTD.,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,161.12,16.11,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,XEPAR,CONSERN PHARMA (P) LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,165.00,16.50,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,ROXIENT,ARRIENT HEALTHCARE PVT.LTD.,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,168.75,16.88,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PEXIBRUS,MED MANOR ORGANICS PVT LTD.,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,170.00,17.00,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,ANXIFREE P,OBSURGE BIOTECH LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,176.96,17.70,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PATINEX,LINUX LABORATORIES,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,177.25,17.73,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,ONBIXIN,DYCINE PHARMACEUTICALS,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,178.43,17.84,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAROXTA,ARINNA LIFESCIENCES PVT. LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,180.00,18.00,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PANEX,MICRO LABS LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,186.50,18.65,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAROT,ZEUS PHARMA,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,187.69,18.77,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PATROXTA,ARINNA LIFESCIENCES PVT. LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,202.13,20.21,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAROPAM,WANDER MEDICARE PVT.LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,203.44,20.34,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAXONIL,ALTEUS BIOGENICS PVT.LTD.,PAROXETINE TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,328.84,21.92,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PARI,IPCA LABORATORIES PVT LTD.,PAROXETINE TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,336.61,22.44,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PEXEP,INTAS PHARMACEUTICALS LTD,PAROXETINE TABLET 12.5 MG,15,TABLET,Non-Scheduled,-1,338.63,22.58,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,DEPAXIL,ALKEM LABORATORIES LTD.,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,226.85,22.69,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,PAXOTUS,EMCURE PHARMACEUTICALS LTD,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,235.25,23.53,Dec-2025
1521150327@349763@101228524@2403@101006@202315,OTHER,XET,ZYDUS HEALTHCARE LTD.,PAROXETINE TABLET 12.5 MG,10,TABLET,Non-Scheduled,-1,274.86,27.49,Dec-2025
