HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521133945@9999999360@101140018@2107@101068@200555,MAIN,INJEK 10 MG INJECTION 1 ML,NEON LABORATORIES LTD,PHYTOMENADIONE INJECTION 10 MG,1 ML INJECTION,INJECTION,Scheduled,54.01,56.62,56.62,Dec-2025
1521133945@9999999360@101140018@2107@101068@200555,OTHER,KIP,DWD PHARMACEUTICALS LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,49.69,49.69,Dec-2025
1521133945@9999999360@101140018@2107@101068@200555,OTHER,K-WIN,MERCURY HEALTH CARE PVT LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,55.73,55.73,Dec-2025
1521133945@9999999360@101140018@2107@101068@200555,OTHER,KENADION,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,56.68,56.68,Dec-2025
1521036827@192163@101140018@2864@101068@200555,MAIN,INJEK 1 MG INJECTION 0.5 ML,NEON LABORATORIES LTD,PHYTOMENADIONE INJECTION 1 MG,0.5 ML INJECTION,INJECTION,Non-Scheduled,-1,28.68,28.68,Dec-2025
1521036827@192163@101140018@2864@101068@200555,OTHER,KENADION,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,19.24,19.24,Dec-2025
1521036827@192163@101140018@2864@101068@200555,OTHER,KIP,DWD PHARMACEUTICALS LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,20.62,20.62,Dec-2025
1521036827@192163@101140018@2864@101068@200555,OTHER,K-WIN,MERCURY HEALTH CARE PVT LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,25.78,25.78,Dec-2025
1521038969@20937@101142145@2107@101068@200555,MAIN,KENADION 10 MG INJECTION 1 ML,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE INJECTION 10 MG,1 ML INJECTION,INJECTION,Scheduled,54.01,56.68,56.68,Dec-2025
1521038969@20937@101142145@2107@101068@200555,OTHER,KIP,DWD PHARMACEUTICALS LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,49.69,49.69,Dec-2025
1521038969@20937@101142145@2107@101068@200555,OTHER,K-WIN,MERCURY HEALTH CARE PVT LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,55.73,55.73,Dec-2025
1521038969@20937@101142145@2107@101068@200555,OTHER,INJEK,NEON LABORATORIES LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,56.62,56.62,Dec-2025
1521038973@46120@101142145@2107@101006@200555,MAIN,KENADION 10 MG TABLET 10,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE TABLET 10 MG,10 TABLET,TABLET,Scheduled,14.79,155.28,15.53,Dec-2025
1521038968@20936@101142145@2864@101068@200555,MAIN,KENADION 1 MG INJECTION 0.5 ML,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE INJECTION 1 MG,0.5 ML INJECTION,INJECTION,Non-Scheduled,-1,19.24,19.24,Dec-2025
1521038968@20936@101142145@2864@101068@200555,OTHER,KIP,DWD PHARMACEUTICALS LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,20.62,20.62,Dec-2025
1521038968@20936@101142145@2864@101068@200555,OTHER,K-WIN,MERCURY HEALTH CARE PVT LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,25.78,25.78,Dec-2025
1521038968@20936@101142145@2864@101068@200555,OTHER,INJEK,NEON LABORATORIES LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,28.68,28.68,Dec-2025
1521039445@220654@101142631@2107@101068@200555,MAIN,KIP 10 MG INJECTION 1 ML,DWD PHARMACEUTICALS LTD,PHYTOMENADIONE INJECTION 10 MG,1 ML INJECTION,INJECTION,Scheduled,54.01,49.69,49.69,Dec-2025
1521039445@220654@101142631@2107@101068@200555,OTHER,K-WIN,MERCURY HEALTH CARE PVT LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,55.73,55.73,Dec-2025
1521039445@220654@101142631@2107@101068@200555,OTHER,INJEK,NEON LABORATORIES LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,56.62,56.62,Dec-2025
1521039445@220654@101142631@2107@101068@200555,OTHER,KENADION,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,56.68,56.68,Dec-2025
1521039444@204978@101142631@2864@101068@200555,MAIN,KIP 1 MG INJECTION 0.5 ML,DWD PHARMACEUTICALS LTD,PHYTOMENADIONE INJECTION 1 MG,0.5 ML INJECTION,INJECTION,Non-Scheduled,-1,20.62,20.62,Dec-2025
1521039444@204978@101142631@2864@101068@200555,OTHER,KENADION,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,19.24,19.24,Dec-2025
1521039444@204978@101142631@2864@101068@200555,OTHER,K-WIN,MERCURY HEALTH CARE PVT LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,25.78,25.78,Dec-2025
1521039444@204978@101142631@2864@101068@200555,OTHER,INJEK,NEON LABORATORIES LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,28.68,28.68,Dec-2025
1521040013@194437@101143239@2107@101068@200555,MAIN,K-WIN 10 MG INJECTION 1 ML,MERCURY HEALTH CARE PVT LTD,PHYTOMENADIONE INJECTION 10 MG,1 ML INJECTION,INJECTION,Scheduled,54.01,55.73,55.73,Dec-2025
1521040013@194437@101143239@2107@101068@200555,OTHER,KIP,DWD PHARMACEUTICALS LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,49.69,49.69,Dec-2025
1521040013@194437@101143239@2107@101068@200555,OTHER,INJEK,NEON LABORATORIES LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,56.62,56.62,Dec-2025
1521040013@194437@101143239@2107@101068@200555,OTHER,KENADION,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE INJECTION 10 MG,1,INJECTION,Scheduled,54.01,56.68,56.68,Dec-2025
1521040012@50146@101143239@2864@101068@200555,MAIN,K-WIN 1 MG INJECTION 0.5 ML,MERCURY HEALTH CARE PVT LTD,PHYTOMENADIONE INJECTION 1 MG,0.5 ML INJECTION,INJECTION,Non-Scheduled,-1,25.78,25.78,Dec-2025
1521040012@50146@101143239@2864@101068@200555,OTHER,KENADION,SAMARTH LIFE SCIENCES PVT LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,19.24,19.24,Dec-2025
1521040012@50146@101143239@2864@101068@200555,OTHER,KIP,DWD PHARMACEUTICALS LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,20.62,20.62,Dec-2025
1521040012@50146@101143239@2864@101068@200555,OTHER,INJEK,NEON LABORATORIES LTD,PHYTOMENADIONE INJECTION 1 MG,0,INJECTION,Non-Scheduled,-1,28.68,28.68,Dec-2025
