HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521158471@702866@101244470@-1@101038@207178,MAIN,ARTIXOL CAPSULE 10,GLENMARK PHARMACEUTICALS LTD.,POLMACOXIB CAPSULE ,10 CAPSULE,CAPSULE,Non-Scheduled,-1,164.06,16.41,Dec-2025
1521158471@702866@101244470@-1@101038@207178,OTHER,POLMAFORCE,MANKIND PHARMACEUTICALS LTD.,POLMACOXIB CAPSULE ,10,CAPSULE,Non-Scheduled,-1,112.40,11.24,Dec-2025
1521158471@702866@101244470@-1@101038@207178,OTHER,PLOXIRA,HETERO HEALTHCARE LTD,POLMACOXIB CAPSULE ,10,CAPSULE,Non-Scheduled,-1,150.00,15.00,Dec-2025
1521156665@700860@101243203@-1@101006@207178,MAIN,COXAPRIN TABLET 10,UMANO HEALTHCARE PVT.LIMITED,POLMACOXIB TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,158.00,15.80,Dec-2025
1521156665@700860@101243203@-1@101006@207178,OTHER,POLMAKEM P,ALKEM LABORATORIES LTD.,POLMACOXIB TABLET ,10,TABLET,Non-Scheduled,-1,120.90,12.09,Dec-2025
1521156665@700860@101243203@-1@101006@207178,OTHER,PACELEX,WILL CARE LIFE SCIENCES PVT LTD,POLMACOXIB TABLET ,10,TABLET,Non-Scheduled,-1,164.06,16.41,Dec-2025
1521102590@354021@101195061@3378@101038@207178,MAIN,GUFICOXIB 2 MG CAPSULE 10,GUFIC BIOSCIENCE LTD,POLMACOXIB CAPSULE 2 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,169.00,16.90,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,POLFALIX,TORRENT PHARMACEUTICALS LTD.,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,111.56,11.16,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,POLMAKEM,ALKEM LABORATORIES LTD.,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,112.00,11.20,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,POLVOLT,ZUVENTUS HEALTHCARE LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,148.10,14.81,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,VEIL,HETERO HEALTHCARE LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,150.00,15.00,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,PAINVON,INTAS PHARMACEUTICALS LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,154.69,15.47,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,PALOCAP,AJANTA PHARMA LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,157.50,15.75,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,POLMAZ,ENERGIZE PHARMACEUTICALS P.LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,157.50,15.75,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,POLMAXIB,GUFIC BIOSCIENCE LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,169.00,16.90,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,HISAKA,ERIS LIFESCIENCES LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,169.99,17.00,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,POGES,LA RENON HEALTHCARE PVT.LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,178.12,17.81,Dec-2025
1521102590@354021@101195061@3378@101038@207178,OTHER,POLIEXAR,ABBOTT HEALTHCARE PVT. LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,181.50,18.15,Dec-2025
1521102252@353329@101247696@3378@101038@207178,MAIN,HISAKA 2 MG CAPSULE 10,ERIS LIFESCIENCES LTD,POLMACOXIB CAPSULE 2 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,169.99,17.00,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,POLFALIX,TORRENT PHARMACEUTICALS LTD.,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,111.56,11.16,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,POLMAKEM,ALKEM LABORATORIES LTD.,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,112.00,11.20,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,POLVOLT,ZUVENTUS HEALTHCARE LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,148.10,14.81,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,VEIL,HETERO HEALTHCARE LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,150.00,15.00,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,PAINVON,INTAS PHARMACEUTICALS LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,154.69,15.47,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,PALOCAP,AJANTA PHARMA LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,157.50,15.75,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,POLMAZ,ENERGIZE PHARMACEUTICALS P.LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,157.50,15.75,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,GUFICOXIB,GUFIC BIOSCIENCE LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,169.00,16.90,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,POLMAXIB,GUFIC BIOSCIENCE LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,169.00,16.90,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,POGES,LA RENON HEALTHCARE PVT.LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,178.12,17.81,Dec-2025
1521102252@353329@101247696@3378@101038@207178,OTHER,POLIEXAR,ABBOTT HEALTHCARE PVT. LTD,POLMACOXIB CAPSULE 2 MG,10,CAPSULE,Non-Scheduled,-1,181.50,18.15,Dec-2025
1521139769@9999995983@101236412@-1@101006@207178,MAIN,PACELEX TABLET 10,WILL CARE LIFE SCIENCES PVT LTD,POLMACOXIB TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,164.06,16.41,Dec-2025
1521139769@9999995983@101236412@-1@101006@207178,OTHER,POLMAKEM P,ALKEM LABORATORIES LTD.,POLMACOXIB TABLET ,10,TABLET,Non-Scheduled,-1,120.90,12.09,Dec-2025
1521139769@9999995983@101236412@-1@101006@207178,OTHER,COXAPRIN,UMANO HEALTHCARE PVT.LIMITED,POLMACOXIB TABLET ,10,TABLET,Non-Scheduled,-1,158.00,15.80,Dec-2025
