HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521094920@316516@101190707@3721@101068@201579,MAIN,BACTIPOL 500000 IU INJECTION 1,NEON LABORATORIES LTD,POLYMYXIN B INJECTION 500000 IU,1 INJECTION,INJECTION,Non-Scheduled,-1,2419.00,2419.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLYMXB,BHARAT SERUMS & VACCINES LTD,POLYMYXIN B INJECTION 500000 IU,5,INJECTION,Non-Scheduled,-1,2921.13,584.23,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,PAXYB,GLENMARK PHARMACEUTICALS LTD.,POLYMYXIN B INJECTION 500000 IU,5,INJECTION,Non-Scheduled,-1,3175.78,635.16,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLYXX,CELON LABS,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,750.00,750.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLIUM B,ARISTO PHARMACEUTICALS PVT.LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,849.00,849.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,PAXIMID,CIPLA LTD.,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1340.62,1340.62,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLYFIC,GUFIC BIOSCIENCE LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1368.06,1368.06,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,VELIMIXIN,VENUS REMEDIES LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1517.86,1517.86,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLYPURE,ALNICHE LIFE SCIENCES PVT.LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1916.00,1916.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,XOLABIN,FUSION HEALTHCARE PVT LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1969.00,1969.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,CBMYX,CHANDRA BHAGAT PHARMA PVT. LTD.,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2142.50,2142.50,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POBIX,CONCORD BIOTECH LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2320.54,2320.54,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,ULTIMUS,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2430.00,2430.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,UNIPOL B,UNITED BIOTECH (P) LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2475.00,2475.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLYIV,SAMARTH LIFE SCIENCES PVT LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2482.95,2482.95,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,STAVEX B,AUROBINDO PHARMACEUTICALS LTD.,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2493.00,2493.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLY B (SMR),SAMARTH LIFE SCIENCES PVT LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2548.89,2548.89,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,SUPAXIN B,ALKEM LABORATORIES LTD.,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2887.50,2887.50,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,MYXINIB,LINUX LABORATORIES,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2904.00,2904.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLYFIC PLUS,GUFIC BIOSCIENCE LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,3149.11,3149.11,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLY-BSV,BHARAT SERUMS & VACCINES LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,3410.00,3410.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,GERPOLY-B,ZYDUS HEALTHCARE LTD.,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,3500.11,3500.11,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,HIPOLY B,INTAS PHARMACEUTICALS LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,3811.41,3811.41,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLYTUFF,ABBOTT HEALTHCARE PVT. LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,4073.46,4073.46,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLYPURE XP,ALNICHE LIFE SCIENCES PVT.LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,4200.00,4200.00,Dec-2025
1521094920@316516@101190707@3721@101068@201579,OTHER,POLIZKTA,MANKIND PHARMACEUTICALS LTD.,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,4412.70,4412.70,Dec-2025
1521148790@297703@101229733@3721@101068@201579,MAIN,CBMYX LYO 500000 IU INJECTION 1 ML,CHANDRA BHAGAT PHARMA PVT. LTD.,POLYMYXIN B INJECTION 500000 IU,1 ML INJECTION,INJECTION,Non-Scheduled,-1,2142.50,2142.50,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,POLYMXB,BHARAT SERUMS & VACCINES LTD,POLYMYXIN B INJECTION 500000 IU,5,INJECTION,Non-Scheduled,-1,2921.13,584.23,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,PAXYB,GLENMARK PHARMACEUTICALS LTD.,POLYMYXIN B INJECTION 500000 IU,5,INJECTION,Non-Scheduled,-1,3175.78,635.16,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,POLYXX,CELON LABS,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,750.00,750.00,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,POLIUM B,ARISTO PHARMACEUTICALS PVT.LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,849.00,849.00,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,PAXIMID,CIPLA LTD.,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1340.62,1340.62,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,POLYFIC,GUFIC BIOSCIENCE LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1368.06,1368.06,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,VELIMIXIN,VENUS REMEDIES LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1517.86,1517.86,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,POLYPURE,ALNICHE LIFE SCIENCES PVT.LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1916.00,1916.00,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,XOLABIN,FUSION HEALTHCARE PVT LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,1969.00,1969.00,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,POBIX,CONCORD BIOTECH LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2320.54,2320.54,Dec-2025
1521148790@297703@101229733@3721@101068@201579,OTHER,BACTIPOL,NEON LABORATORIES LTD,POLYMYXIN B INJECTION 500000 IU,1,INJECTION,Non-Scheduled,-1,2419.00,2419.00,Dec-2025
