HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521093542@339300@101245743@2396@101068@200667,MAIN,AUGPLAT 125 MCG INJECTION 1,ZYDUS HEALTHCARE LTD.,ROMIPLOSTIM INJECTION 125 MCG,1 INJECTION,INJECTION,Non-Scheduled,-1,2467.50,2467.50,Dec-2025
1521093542@339300@101245743@2396@101068@200667,OTHER,ROMISET,ALKEM LABORATORIES LTD.,ROMIPLOSTIM INJECTION 125 MCG,6,INJECTION,Non-Scheduled,-1,2362.50,393.75,Dec-2025
1521093542@339300@101245743@2396@101068@200667,OTHER,ROMPOST,GLENMARK PHARMACEUTICALS LTD.,ROMIPLOSTIM INJECTION 125 MCG,1,INJECTION,Non-Scheduled,-1,2857.14,2857.14,Dec-2025
1521093543@339301@101245743@3209@101068@200667,MAIN,AUGPLAT 250 MCG INJECTION 1,ZYDUS HEALTHCARE LTD.,ROMIPLOSTIM INJECTION 250 MCG,1 INJECTION,INJECTION,Non-Scheduled,-1,3843.70,3843.70,Dec-2025
1521093543@339301@101245743@3209@101068@200667,OTHER,ROMISET,ALKEM LABORATORIES LTD.,ROMIPLOSTIM INJECTION 250 MCG,6,INJECTION,Non-Scheduled,-1,3290.00,548.33,Dec-2025
1521093543@339301@101245743@3209@101068@200667,OTHER,ROMY,INTAS PHARMACEUTICALS LTD,ROMIPLOSTIM INJECTION 250 MCG,1,INJECTION,Non-Scheduled,-1,3736.17,3736.17,Dec-2025
1521093543@339301@101245743@3209@101068@200667,OTHER,ROMPOST,GLENMARK PHARMACEUTICALS LTD.,ROMIPLOSTIM INJECTION 250 MCG,1,INJECTION,Non-Scheduled,-1,4267.86,4267.86,Dec-2025
1521093544@339302@101245743@3749@101068@200667,MAIN,AUGPLAT 500 MCG INJECTION 1,ZYDUS HEALTHCARE LTD.,ROMIPLOSTIM INJECTION 500 MCG,1 INJECTION,INJECTION,Non-Scheduled,-1,6787.50,6787.50,Dec-2025
1521093544@339302@101245743@3749@101068@200667,OTHER,ROMISET,ALKEM LABORATORIES LTD.,ROMIPLOSTIM INJECTION 500 MCG,6,INJECTION,Non-Scheduled,-1,6168.75,1028.13,Dec-2025
1521093544@339302@101245743@3749@101068@200667,OTHER,ROMY,INTAS PHARMACEUTICALS LTD,ROMIPLOSTIM INJECTION 500 MCG,1,INJECTION,Non-Scheduled,-1,7359.38,7359.38,Dec-2025
1521100173@348701@101192684@3209@101068@200667,MAIN,ROMISET 250 MCG INJECTION 6 ML,ALKEM LABORATORIES LTD.,ROMIPLOSTIM INJECTION 250 MCG,6 ML INJECTION,INJECTION,Non-Scheduled,-1,3392.80,565.47,Dec-2025
1521100173@348701@101192684@3209@101068@200667,OTHER,ROMY,INTAS PHARMACEUTICALS LTD,ROMIPLOSTIM INJECTION 250 MCG,1,INJECTION,Non-Scheduled,-1,3736.17,3736.17,Dec-2025
1521100173@348701@101192684@3209@101068@200667,OTHER,AUGPLAT,ZYDUS HEALTHCARE LTD.,ROMIPLOSTIM INJECTION 250 MCG,1,INJECTION,Non-Scheduled,-1,3843.70,3843.70,Dec-2025
1521100173@348701@101192684@3209@101068@200667,OTHER,ROMPOST,GLENMARK PHARMACEUTICALS LTD.,ROMIPLOSTIM INJECTION 250 MCG,1,INJECTION,Non-Scheduled,-1,4267.86,4267.86,Dec-2025
1521100172@349324@101192684@2396@101068@200667,MAIN,ROMISET KIT 125 MCG INJECTION 6 ML,ALKEM LABORATORIES LTD.,ROMIPLOSTIM INJECTION 125 MCG,6 ML INJECTION,INJECTION,Non-Scheduled,-1,2362.50,393.75,Dec-2025
1521100172@349324@101192684@2396@101068@200667,OTHER,AUGPLAT,ZYDUS HEALTHCARE LTD.,ROMIPLOSTIM INJECTION 125 MCG,1,INJECTION,Non-Scheduled,-1,2467.50,2467.50,Dec-2025
1521100172@349324@101192684@2396@101068@200667,OTHER,ROMPOST,GLENMARK PHARMACEUTICALS LTD.,ROMIPLOSTIM INJECTION 125 MCG,1,INJECTION,Non-Scheduled,-1,2857.14,2857.14,Dec-2025
1521098284@349323@101192684@3209@101068@200667,MAIN,ROMISET KIT 250 MCG INJECTION 6 ML,ALKEM LABORATORIES LTD.,ROMIPLOSTIM INJECTION 250 MCG,6 ML INJECTION,INJECTION,Non-Scheduled,-1,3290.00,548.33,Dec-2025
1521098284@349323@101192684@3209@101068@200667,OTHER,ROMY,INTAS PHARMACEUTICALS LTD,ROMIPLOSTIM INJECTION 250 MCG,1,INJECTION,Non-Scheduled,-1,3736.17,3736.17,Dec-2025
