HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521072084@65649@101172736@3755@101109@200504,MAIN,SAAZ 500 MG TABLET DR 10,IPCA LABORATORIES PVT LTD.,SULFASALAZINE TABLET DR 500 MG,10 TABLET DR,TABLET DR,Scheduled,4.72,50.40,5.04,Dec-2025
1521072085@65651@101172736@1642@101006@200504,MAIN,SAAZ DS 1000 MG TABLET 10,IPCA LABORATORIES PVT LTD.,SULFASALAZINE TABLET 1000 MG,10 TABLET,TABLET,Non-Scheduled,-1,180.84,18.08,Dec-2025
1521072085@65651@101172736@1642@101006@200504,OTHER,SULFASALAZ,STERIS HEALTHCARE,SULFASALAZINE TABLET 1000 MG,10,TABLET,Non-Scheduled,-1,81.25,8.13,Dec-2025
1521072085@65651@101172736@1642@101006@200504,OTHER,SULSEAS,OVERSEAS HEALTHCARE PVT LTD.,SULFASALAZINE TABLET 1000 MG,10,TABLET,Non-Scheduled,-1,115.50,11.55,Dec-2025
1521072085@65651@101172736@1642@101006@200504,OTHER,SZN,HETERO HEALTHCARE LTD,SULFASALAZINE TABLET 1000 MG,10,TABLET,Non-Scheduled,-1,149.00,14.90,Dec-2025
1521072085@65651@101172736@1642@101006@200504,OTHER,SALDAY,REGENIX DRUGS LTD,SULFASALAZINE TABLET 1000 MG,10,TABLET,Non-Scheduled,-1,161.25,16.13,Dec-2025
1521072085@65651@101172736@1642@101006@200504,OTHER,SULSEAS,OVERSEAS HEALTHCARE PVT LTD.,SULFASALAZINE TABLET 1000 MG,15,TABLET,Non-Scheduled,-1,284.81,18.99,Dec-2025
1521072085@65651@101172736@1642@101006@200504,OTHER,SAZO,WALLACE PHARMACEUTICALS LTD.,SULFASALAZINE TABLET 1000 MG,15,TABLET,Non-Scheduled,-1,285.00,19.00,Dec-2025
1521072104@77638@101246943@3755@101006@200504,MAIN,SALAZAR 500 MG TABLET 10,ZYDUS HEALTHCARE LTD.,SULFASALAZINE TABLET 500 MG,10 TABLET,TABLET,Scheduled,4.80,50.40,5.04,Dec-2025
1521072104@77638@101246943@3755@101006@200504,OTHER,SALAZOPYRIN,WALLACE PHARMACEUTICALS LTD.,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,0.00,0.00,Dec-2025
1521072104@77638@101246943@3755@101006@200504,OTHER,SULFASALAZ,STERIS HEALTHCARE,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,36.88,3.69,Dec-2025
1521072104@77638@101246943@3755@101006@200504,OTHER,SULFALET,BRINTON PHARMACEUTICALS .LTD,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,44.20,4.42,Dec-2025
1521072104@77638@101246943@3755@101006@200504,OTHER,SELZOTAS,TAS MED (INDIA) PRIVATE LTD.,SULFASALAZINE TABLET 500 MG,15,TABLET,Scheduled,4.80,74.18,4.95,Dec-2025
1521072104@77638@101246943@3755@101006@200504,OTHER,SZN,HETERO HEALTHCARE LTD,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,50.25,5.03,Dec-2025
1521072104@77638@101246943@3755@101006@200504,OTHER,SAZO,WALLACE PHARMACEUTICALS LTD.,SULFASALAZINE TABLET 500 MG,15,TABLET,Scheduled,4.80,75.60,5.04,Dec-2025
1521072104@77638@101246943@3755@101006@200504,OTHER,SULSEAS,OVERSEAS HEALTHCARE PVT LTD.,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,50.40,5.04,Dec-2025
1521063475@92566@101246943@1642@101109@200504,MAIN,SALAZAR DS 1000 MG TABLET DR 10,ZYDUS HEALTHCARE LTD.,SULFASALAZINE TABLET DR 1000 MG,10 TABLET DR,TABLET DR,Non-Scheduled,-1,197.43,19.74,Dec-2025
1521160173@293807@101248019@3755@101006@200504,MAIN,SALAZOPYRIN 500 MG TABLET 10,WALLACE PHARMACEUTICALS LTD.,SULFASALAZINE TABLET 500 MG,10 TABLET,TABLET,Scheduled,4.80,0.00,0.00,Dec-2025
1521160173@293807@101248019@3755@101006@200504,OTHER,SULFASALAZ,STERIS HEALTHCARE,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,36.88,3.69,Dec-2025
1521160173@293807@101248019@3755@101006@200504,OTHER,SULFALET,BRINTON PHARMACEUTICALS .LTD,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,44.20,4.42,Dec-2025
1521160173@293807@101248019@3755@101006@200504,OTHER,SELZOTAS,TAS MED (INDIA) PRIVATE LTD.,SULFASALAZINE TABLET 500 MG,15,TABLET,Scheduled,4.80,74.18,4.95,Dec-2025
1521160173@293807@101248019@3755@101006@200504,OTHER,SZN,HETERO HEALTHCARE LTD,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,50.25,5.03,Dec-2025
1521160173@293807@101248019@3755@101006@200504,OTHER,SALAZAR,ZYDUS HEALTHCARE LTD.,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,50.40,5.04,Dec-2025
1521160173@293807@101248019@3755@101006@200504,OTHER,SAZO,WALLACE PHARMACEUTICALS LTD.,SULFASALAZINE TABLET 500 MG,15,TABLET,Scheduled,4.80,75.60,5.04,Dec-2025
1521160173@293807@101248019@3755@101006@200504,OTHER,SULSEAS,OVERSEAS HEALTHCARE PVT LTD.,SULFASALAZINE TABLET 500 MG,10,TABLET,Scheduled,4.80,50.40,5.04,Dec-2025
1521147347@278256@101238060@1642@101006@200504,MAIN,SALDAY 1000 MG TABLET 10,REGENIX DRUGS LTD,SULFASALAZINE TABLET 1000 MG,10 TABLET,TABLET,Non-Scheduled,-1,161.25,16.13,Dec-2025
