HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521101592@352735@101194413@1553@101101@201297,MAIN,ANDROFAST 1 % GEL 80 GM,GUFIC BIOSCIENCE LTD,TESTOSTERONE GEL 1 %,80 GM GEL,GEL,Non-Scheduled,-1,1840.00,23.00,Dec-2025
1521101592@352735@101194413@1553@101101@201297,OTHER,TESTOHEAL,HEALING PHARMA INDIA PVT.LTD,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,46.20,9.24,Dec-2025
1521101592@352735@101194413@1553@101101@201297,OTHER,ANDROGEL,BHARAT SERUMS & VACCINES LTD,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,88.38,17.68,Dec-2025
1521101592@352735@101194413@1553@101101@201297,OTHER,CERNOS,SUN PHARMA LABORATORIES LTD.,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,102.19,20.44,Dec-2025
1521101592@352735@101194413@1553@101101@201297,OTHER,ANDROTAS,INTAS PHARMACEUTICALS LTD,TESTOSTERONE GEL 1 %,75,GEL,Non-Scheduled,-1,1843.00,24.57,Dec-2025
1521002717@188442@101240889@1553@101101@201297,MAIN,ANDROGEL 1 % GEL 5 GM,BHARAT SERUMS & VACCINES LTD,TESTOSTERONE GEL 1 %,5 GM GEL,GEL,Non-Scheduled,-1,88.38,17.68,Dec-2025
1521002717@188442@101240889@1553@101101@201297,OTHER,TESTOHEAL,HEALING PHARMA INDIA PVT.LTD,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,46.20,9.24,Dec-2025
1521002717@188442@101240889@1553@101101@201297,OTHER,CERNOS,SUN PHARMA LABORATORIES LTD.,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,102.19,20.44,Dec-2025
1521002717@188442@101240889@1553@101101@201297,OTHER,ANDROFAST,GUFIC BIOSCIENCE LTD,TESTOSTERONE GEL 1 %,80,GEL,Non-Scheduled,-1,1840.00,23.00,Dec-2025
1521002717@188442@101240889@1553@101101@201297,OTHER,ANDROTAS,INTAS PHARMACEUTICALS LTD,TESTOSTERONE GEL 1 %,75,GEL,Non-Scheduled,-1,1843.00,24.57,Dec-2025
1521160709@705215@101107115@2107@101101@201297,MAIN,ANDROTAS 10 MG GEL 37.5 GM,INTAS PHARMACEUTICALS LTD,TESTOSTERONE GEL 10 MG,37.5 GM GEL,GEL,Non-Scheduled,-1,1045.08,27.50,Dec-2025
1521002720@251386@101107115@1553@101101@201297,MAIN,ANDROTAS 1 % GEL 75 GM,INTAS PHARMACEUTICALS LTD,TESTOSTERONE GEL 1 %,75 GM GEL,GEL,Non-Scheduled,-1,1843.00,24.57,Dec-2025
1521002720@251386@101107115@1553@101101@201297,OTHER,TESTOHEAL,HEALING PHARMA INDIA PVT.LTD,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,46.20,9.24,Dec-2025
1521002720@251386@101107115@1553@101101@201297,OTHER,ANDROGEL,BHARAT SERUMS & VACCINES LTD,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,88.38,17.68,Dec-2025
1521002720@251386@101107115@1553@101101@201297,OTHER,CERNOS,SUN PHARMA LABORATORIES LTD.,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,102.19,20.44,Dec-2025
1521002720@251386@101107115@1553@101101@201297,OTHER,ANDROFAST,GUFIC BIOSCIENCE LTD,TESTOSTERONE GEL 1 %,80,GEL,Non-Scheduled,-1,1840.00,23.00,Dec-2025
1521156689@9910842136@101107115@-1@101101@201297,MAIN,ANDROTAS GEL 5 GM,INTAS PHARMACEUTICALS LTD,TESTOSTERONE GEL ,5 GM GEL,GEL,Non-Scheduled,-1,70.00,14.00,Dec-2025
1521092061@43848@101107602@3312@101068@201297,MAIN,AQUAVIRON 25 MG INJECTION 1 ML,ABBOTT HEALTHCARE PVT. LTD,TESTOSTERONE INJECTION 25 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,242.67,242.67,Dec-2025
1521092062@305004@101107602@3650@101085@201297,MAIN,AQUAVIRON 40 MG SOFTGEL CAPSULE 10,ABBOTT HEALTHCARE PVT. LTD,TESTOSTERONE SOFTGEL CAPSULE 40 MG,10 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,241.57,24.16,Dec-2025
1521092062@305004@101107602@3650@101085@201297,OTHER,TESTOHEAL,HEALING PHARMA INDIA PVT.LTD,TESTOSTERONE SOFTGEL CAPSULE 40 MG,10,SOFTGEL CAPSULE,Non-Scheduled,-1,112.50,11.25,Dec-2025
1521026329@95551@101114635@1846@101068@201297,MAIN,CERNOS 100 MG INJECTION 1 ML,SUN PHARMA LABORATORIES LTD.,TESTOSTERONE INJECTION 100 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,93.60,93.60,Dec-2025
1521026329@95551@101114635@1846@101068@201297,OTHER,SUSTANON,ZYDUS HEALTHCARE LTD.,TESTOSTERONE INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,249.30,249.30,Dec-2025
1521026329@95551@101114635@1846@101068@201297,OTHER,MENOLON,MACMILLON PHARMACEUTICALS,TESTOSTERONE INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,275.05,275.05,Dec-2025
1521026329@95551@101114635@1846@101068@201297,OTHER,TESTOVIRON,ZYDUS HEALTHCARE LTD.,TESTOSTERONE INJECTION 100 MG,1,INJECTION,Non-Scheduled,-1,285.86,285.86,Dec-2025
1521026226@56526@101114635@1553@101101@201297,MAIN,CERNOS 1 % GEL 5 GM,SUN PHARMA LABORATORIES LTD.,TESTOSTERONE GEL 1 %,5 GM GEL,GEL,Non-Scheduled,-1,102.19,20.44,Dec-2025
1521026226@56526@101114635@1553@101101@201297,OTHER,TESTOHEAL,HEALING PHARMA INDIA PVT.LTD,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,46.20,9.24,Dec-2025
1521026226@56526@101114635@1553@101101@201297,OTHER,ANDROGEL,BHARAT SERUMS & VACCINES LTD,TESTOSTERONE GEL 1 %,5,GEL,Non-Scheduled,-1,88.38,17.68,Dec-2025
1521026226@56526@101114635@1553@101101@201297,OTHER,ANDROFAST,GUFIC BIOSCIENCE LTD,TESTOSTERONE GEL 1 %,80,GEL,Non-Scheduled,-1,1840.00,23.00,Dec-2025
1521026226@56526@101114635@1553@101101@201297,OTHER,ANDROTAS,INTAS PHARMACEUTICALS LTD,TESTOSTERONE GEL 1 %,75,GEL,Non-Scheduled,-1,1843.00,24.57,Dec-2025
1521027550@48584@101114635@3650@101100@201297,MAIN,CERNOS 40 MG SOFTGEL 10,SUN PHARMA LABORATORIES LTD.,TESTOSTERONE SOFTGEL 40 MG,10 SOFTGEL,SOFTGEL,Non-Scheduled,-1,206.25,20.63,Dec-2025
1521027550@48584@101114635@3650@101100@201297,OTHER,MENOLON,MACMILLON PHARMACEUTICALS,TESTOSTERONE SOFTGEL 40 MG,10,SOFTGEL,Non-Scheduled,-1,202.60,20.26,Dec-2025
