HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521012324@71@101109621@1055@101101@200959,MAIN,A RET 0.025 % GEL 20 GM,MENARINI INDIA,TRETINOIN GEL 0.025 %,20 GM GEL,GEL,Non-Scheduled,-1,126.00,6.30,Dec-2025
1521012324@71@101109621@1055@101101@200959,OTHER,AVITRA,AVIATOR LIFE SCIENCE PRIVATE LIMITED,TRETINOIN GEL 0.025 %,30,GEL,Non-Scheduled,-1,84.38,2.81,Dec-2025
1521012324@71@101109621@1055@101101@200959,OTHER,RETOP A,DERMO CARE LABORATORIES,TRETINOIN GEL 0.025 %,20,GEL,Non-Scheduled,-1,86.00,4.30,Dec-2025
1521012324@71@101109621@1055@101101@200959,OTHER,TRUNEX,KLM LABORATORIES PVT.LTD,TRETINOIN GEL 0.025 %,30,GEL,Non-Scheduled,-1,192.19,6.41,Dec-2025
1521012324@71@101109621@1055@101101@200959,OTHER,MYTRET,GRACE DERMA HEALTHCARE PVT.LTD,TRETINOIN GEL 0.025 %,15,GEL,Non-Scheduled,-1,131.25,8.75,Dec-2025
1521005601@72@101109621@1095@101101@200959,MAIN,A RET 0.05 % GEL 20 GM,MENARINI INDIA,TRETINOIN GEL 0.05 %,20 GM GEL,GEL,Non-Scheduled,-1,162.00,8.10,Dec-2025
1521005601@72@101109621@1095@101101@200959,OTHER,TRUNEX,KLM LABORATORIES PVT.LTD,TRETINOIN GEL 0.05 %,30,GEL,Non-Scheduled,-1,225.00,7.50,Dec-2025
1521012566@73@101109621@1147@101101@200959,MAIN,A RET 0.1 % GEL 20 GM,MENARINI INDIA,TRETINOIN GEL 0.1 %,20 GM GEL,GEL,Non-Scheduled,-1,224.00,11.20,Dec-2025
1521012566@73@101109621@1147@101101@200959,OTHER,MYTRET,GRACE DERMA HEALTHCARE PVT.LTD,TRETINOIN GEL 0.1 %,15,GEL,Non-Scheduled,-1,196.88,13.13,Dec-2025
1521012566@73@101109621@1147@101101@200959,OTHER,NEXRET,DR. REDDYS LABORATORIES LTD,TRETINOIN GEL 0.1 %,15,GEL,Non-Scheduled,-1,260.00,17.33,Dec-2025
1521087977@329355@101107804@1039@101101@200959,MAIN,ARITOP 0.012 % GEL 20 GM,ATOPIC LABORATORIES,TRETINOIN GEL 0.012 %,20 GM GEL,GEL,Non-Scheduled,-1,139.69,6.98,Dec-2025
1521087977@329355@101107804@1039@101101@200959,OTHER,RETOP A,DERMO CARE LABORATORIES,TRETINOIN GEL 0.012 %,20,GEL,Non-Scheduled,-1,75.00,3.75,Dec-2025
1521011664@286126@101108366@1092@101101@200959,MAIN,ARITOP MS 0.04 % GEL 20 GM,ATOPIC LABORATORIES,TRETINOIN GEL 0.04 %,20 GM GEL,GEL,Non-Scheduled,-1,139.00,6.95,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,TRUNEX,KLM LABORATORIES PVT.LTD,TRETINOIN GEL 0.04 %,15,GEL,Non-Scheduled,-1,155.00,10.33,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,MYTRET,GRACE DERMA HEALTHCARE PVT.LTD,TRETINOIN GEL 0.04 %,15,GEL,Non-Scheduled,-1,168.75,11.25,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,TRONIN MS,TALENT INDIA,TRETINOIN GEL 0.04 %,20,GEL,Non-Scheduled,-1,235.00,11.75,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,TRUNEX MS,KLM LABORATORIES PVT.LTD,TRETINOIN GEL 0.04 %,15,GEL,Non-Scheduled,-1,206.25,13.75,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,SUPATRET,SUN PHARMA LABORATORIES LTD.,TRETINOIN GEL 0.04 %,20,GEL,Non-Scheduled,-1,315.00,15.75,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,NEXRET,DR. REDDYS LABORATORIES LTD,TRETINOIN GEL 0.04 %,15,GEL,Non-Scheduled,-1,260.00,17.33,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,NEXRET T,DR. REDDYS LABORATORIES LTD,TRETINOIN GEL 0.04 %,15,GEL,Non-Scheduled,-1,260.00,17.33,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,RETINO A MICRO,JANSSEN,TRETINOIN GEL 0.04 %,15,GEL,Non-Scheduled,-1,430.00,28.67,Dec-2025
1521011664@286126@101108366@1092@101101@200959,OTHER,FLAWLIZO MICRO,EMCURE PHARMACEUTICALS LTD,TRETINOIN GEL 0.04 %,15,GEL,Non-Scheduled,-1,553.13,36.88,Dec-2025
1521004352@201510@101108561@1055@101028@200959,MAIN,ATRET 0.025 % CREAM 30 GM,BRINTON PHARMACEUTICALS .LTD,TRETINOIN CREAM 0.025 %,30 GM CREAM,CREAM,Non-Scheduled,-1,173.83,5.79,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,COMEDOLYTIC,DABUR INDIA LTD.,TRETINOIN CREAM 0.025 %,20,CREAM,Non-Scheduled,-1,103.00,5.15,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,TRETIN,HEGDE & HEGDE,TRETINOIN CREAM 0.025 %,30,CREAM,Non-Scheduled,-1,192.19,6.41,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,TOPITRET,CANIXA LIFE SCIENCES PVT,TRETINOIN CREAM 0.025 %,20,CREAM,Non-Scheduled,-1,131.00,6.55,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,KATINOL,KIVI LABS LTD,TRETINOIN CREAM 0.025 %,10,CREAM,Non-Scheduled,-1,66.50,6.65,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,TREBOR,HETERO HEALTHCARE LTD,TRETINOIN CREAM 0.025 %,20,CREAM,Non-Scheduled,-1,161.50,8.08,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,RETIACT,DABUR INDIA LTD.,TRETINOIN CREAM 0.025 %,20,CREAM,Non-Scheduled,-1,164.06,8.20,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,FLAWLIZO,EMCURE PHARMACEUTICALS LTD,TRETINOIN CREAM 0.025 %,20,CREAM,Non-Scheduled,-1,178.10,8.91,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,TRETIHEAL,HEALING PHARMA INDIA PVT.LTD,TRETINOIN CREAM 0.025 %,20,CREAM,Non-Scheduled,-1,216.56,10.83,Dec-2025
1521004352@201510@101108561@1055@101028@200959,OTHER,REVIZE MICRO,OAKNET HEALTHCARE,TRETINOIN CREAM 0.025 %,20,CREAM,Non-Scheduled,-1,260.78,13.04,Dec-2025
1521004354@229178@101108561@1095@101028@200959,MAIN,ATRET 0.05 % CREAM 30 GM,BRINTON PHARMACEUTICALS .LTD,TRETINOIN CREAM 0.05 %,30 GM CREAM,CREAM,Non-Scheduled,-1,184.50,6.15,Dec-2025
1521004354@229178@101108561@1095@101028@200959,OTHER,TRONIN,TALENT INDIA,TRETINOIN CREAM 0.05 %,20,CREAM,Non-Scheduled,-1,129.00,6.45,Dec-2025
1521004354@229178@101108561@1095@101028@200959,OTHER,TOPITRET,CANIXA LIFE SCIENCES PVT,TRETINOIN CREAM 0.05 %,20,CREAM,Non-Scheduled,-1,150.00,7.50,Dec-2025
1521004354@229178@101108561@1095@101028@200959,OTHER,TRETIN,HEGDE & HEGDE,TRETINOIN CREAM 0.05 %,30,CREAM,Non-Scheduled,-1,225.00,7.50,Dec-2025
1521004354@229178@101108561@1095@101028@200959,OTHER,TREBOR,HETERO HEALTHCARE LTD,TRETINOIN CREAM 0.05 %,20,CREAM,Non-Scheduled,-1,154.50,7.73,Dec-2025
1521004354@229178@101108561@1095@101028@200959,OTHER,TRETIHEAL,HEALING PHARMA INDIA PVT.LTD,TRETINOIN CREAM 0.05 %,20,CREAM,Non-Scheduled,-1,249.37,12.47,Dec-2025
1521004703@206506@101108850@1055@101101@200959,MAIN,AVITRA 0.025 % GEL 30 GM,AVIATOR LIFE SCIENCE PRIVATE LIMITED,TRETINOIN GEL 0.025 %,30 GM GEL,GEL,Non-Scheduled,-1,84.38,2.81,Dec-2025
1521004703@206506@101108850@1055@101101@200959,OTHER,RETOP A,DERMO CARE LABORATORIES,TRETINOIN GEL 0.025 %,20,GEL,Non-Scheduled,-1,86.00,4.30,Dec-2025
1521004703@206506@101108850@1055@101101@200959,OTHER,A RET,MENARINI INDIA,TRETINOIN GEL 0.025 %,20,GEL,Non-Scheduled,-1,126.00,6.30,Dec-2025
1521004703@206506@101108850@1055@101101@200959,OTHER,TRUNEX,KLM LABORATORIES PVT.LTD,TRETINOIN GEL 0.025 %,30,GEL,Non-Scheduled,-1,192.19,6.41,Dec-2025
1521004703@206506@101108850@1055@101101@200959,OTHER,MYTRET,GRACE DERMA HEALTHCARE PVT.LTD,TRETINOIN GEL 0.025 %,15,GEL,Non-Scheduled,-1,131.25,8.75,Dec-2025
1521004705@232863@101108850@-1@101006@200959,MAIN,AVITRA TABLET 10,AVIATOR LIFE SCIENCE PRIVATE LIMITED,TRETINOIN TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,50.00,5.00,Dec-2025
1521013795@98635@101119135@1055@101028@200959,MAIN,COMEDOLYTIC 0.025 % CREAM 20 GM,DABUR INDIA LTD.,TRETINOIN CREAM 0.025 %,20 GM CREAM,CREAM,Non-Scheduled,-1,103.00,5.15,Dec-2025
1521013795@98635@101119135@1055@101028@200959,OTHER,ATRET,BRINTON PHARMACEUTICALS .LTD,TRETINOIN CREAM 0.025 %,30,CREAM,Non-Scheduled,-1,173.83,5.79,Dec-2025
1521013795@98635@101119135@1055@101028@200959,OTHER,TRETIN,HEGDE & HEGDE,TRETINOIN CREAM 0.025 %,30,CREAM,Non-Scheduled,-1,192.19,6.41,Dec-2025
1521013795@98635@101119135@1055@101028@200959,OTHER,TOPITRET,CANIXA LIFE SCIENCES PVT,TRETINOIN CREAM 0.025 %,20,CREAM,Non-Scheduled,-1,131.00,6.55,Dec-2025
1521013795@98635@101119135@1055@101028@200959,OTHER,KATINOL,KIVI LABS LTD,TRETINOIN CREAM 0.025 %,10,CREAM,Non-Scheduled,-1,66.50,6.65,Dec-2025
