HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521044212@99863@101160708@-1@101068@201752,MAIN,STERILE WATER (ALBERT) INJECTION 5 ML,ALBERT DAVID,WATER FOR INJECTION INJECTION ,5 ML INJECTION,INJECTION,Scheduled,2.46,3.12,0.62,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,STERILE WATER (SKKL),SHREE KRISHNA KESHAV LABORATORIES LTD,WATER FOR INJECTION INJECTION ,1000,INJECTION,Scheduled,2.46,1.25,0.00,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,WATER FOR (ZYDUS),ZYDUS HEALTHCARE LTD.,WATER FOR INJECTION INJECTION ,5,INJECTION,Scheduled,2.46,0.14,0.03,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,WATER FOR,CLARIS LIFESCIENCES LIMITED,WATER FOR INJECTION INJECTION ,500,INJECTION,Scheduled,2.46,92.25,0.18,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,STERILE WATER (SERUM),SERUM INSTITUTE OF INDIA LTD,WATER FOR INJECTION INJECTION ,10,INJECTION,Scheduled,2.46,2.50,0.25,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,WATER FOR (ALBERT),ALBERT DAVID,WATER FOR INJECTION INJECTION ,10,INJECTION,Scheduled,2.46,2.92,0.29,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,WATER FOR (PDPL),PARENTERAL DRUGS (INDIA) LTD.,WATER FOR INJECTION INJECTION ,10,INJECTION,Scheduled,2.46,3.23,0.32,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,STERILE WATER (PDPL),PARENTERAL DRUGS (INDIA) LTD.,WATER FOR INJECTION INJECTION ,5,INJECTION,Scheduled,2.46,2.16,0.43,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,STERILE WATER (SERUM),SERUM INSTITUTE OF INDIA LTD,WATER FOR INJECTION INJECTION ,0,INJECTION,Scheduled,2.46,2.98,2.98,Dec-2025
1521044212@99863@101160708@-1@101068@201752,OTHER,STERILE WATER (PDPL),PARENTERAL DRUGS (INDIA) LTD.,WATER FOR INJECTION INJECTION ,10,INJECTION,Scheduled,2.46,113.42,11.34,Dec-2025
1521074229@111331@101174785@-1@101068@201752,MAIN,STERILE WATER (PDPL) INJECTION 10 ML,PARENTERAL DRUGS (INDIA) LTD.,WATER FOR INJECTION INJECTION ,10 ML INJECTION,INJECTION,Scheduled,2.46,113.42,11.34,Dec-2025
1521074229@111331@101174785@-1@101068@201752,OTHER,STERILE WATER (SKKL),SHREE KRISHNA KESHAV LABORATORIES LTD,WATER FOR INJECTION INJECTION ,1000,INJECTION,Scheduled,2.46,1.25,0.00,Dec-2025
