HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521102830@343687@101194942@3532@101006@202385,MAIN,ACAMAPTAS 333 MG TABLET 6,INTAS PHARMACEUTICALS LTD,ACAMPROSATE TABLET 333 MG,6 TABLET,TABLET,Non-Scheduled,-1,71.17,11.86,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,ALCOCEL,GENTECH HEALTCARE LTD,ACAMPROSATE TABLET 333 MG,10,TABLET,Non-Scheduled,-1,39.15,3.92,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,CAMPSATE,TRIPADA HEALTHCARE PVT LTD,ACAMPROSATE TABLET 333 MG,10,TABLET,Non-Scheduled,-1,86.41,8.64,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,ACMACAL,PSYCORMEDIES,ACAMPROSATE TABLET 333 MG,10,TABLET,Non-Scheduled,-1,110.00,11.00,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,ACAMPCON 333,CONSERN PHARMA (P) LTD,ACAMPROSATE TABLET 333 MG,10,TABLET,Non-Scheduled,-1,170.00,17.00,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,ATOMAX,ALTEUS BIOGENICS PVT.LTD.,ACAMPROSATE TABLET 333 MG,15,TABLET,Non-Scheduled,-1,267.86,17.86,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,ACAMPTAS,INTAS PHARMACEUTICALS LTD,ACAMPROSATE TABLET 333 MG,6,TABLET,Non-Scheduled,-1,109.69,18.28,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,ACAMSTAIN,ICON LIFESCIENCES,ACAMPROSATE TABLET 333 MG,6,TABLET,Non-Scheduled,-1,112.50,18.75,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,ACAMPROL,SUN PHARMA LABORATORIES LTD.,ACAMPROSATE TABLET 333 MG,6,TABLET,Non-Scheduled,-1,117.19,19.53,Dec-2025
1521102830@343687@101194942@3532@101006@202385,OTHER,ACAMPTAS,INTAS PHARMACEUTICALS LTD,ACAMPROSATE TABLET 333 MG,10,TABLET,Non-Scheduled,-1,200.78,20.08,Dec-2025
1521143288@209948@101227948@3532@101006@202385,MAIN,ACAMPCON 333 333 MG TABLET 10,CONSERN PHARMA (P) LTD,ACAMPROSATE TABLET 333 MG,10 TABLET,TABLET,Non-Scheduled,-1,170.00,17.00,Dec-2025
