HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521155882@9910528170@101242815@-1@101140@200518,MAIN,AQUAGERMINA SUSPENSION 5 ML,CIPLA LTD.,BACILLUS CLAUSII ORAL SUSPENSION ,5 ML ORAL SUSPENSION,ORAL SUSPENSION,Non-Scheduled,-1,66.56,13.31,Dec-2025
1521155882@9910528170@101242815@-1@101140@200518,OTHER,YOGO FLORA,ANHOX HEALTHCARE PVT LTD,BACILLUS CLAUSII ORAL SUSPENSION ,5,ORAL SUSPENSION,Non-Scheduled,-1,45.00,9.00,Dec-2025
1521155882@9910528170@101242815@-1@101140@200518,OTHER,PROBU,GALPHA LABORATORIES LTD,BACILLUS CLAUSII ORAL SUSPENSION ,5,ORAL SUSPENSION,Non-Scheduled,-1,45.93,9.19,Dec-2025
1521155882@9910528170@101242815@-1@101140@200518,OTHER,BIFILAC CLAUSI,TABLETS INDIA LTD,BACILLUS CLAUSII ORAL SUSPENSION ,5,ORAL SUSPENSION,Non-Scheduled,-1,46.88,9.38,Dec-2025
1521003777@325870@101102822@3375@101091@200518,MAIN,BACIFYL 2 BIU SUSPENSION 5 ML,LEEFORD HEALTHCARE,BACILLUS CLAUSII SUSPENSION 2 BIU,5 ML SUSPENSION,SUSPENSION,Non-Scheduled,-1,46.88,9.38,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,SPORBAC,SANZYME LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,31.90,6.38,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,ECOBION BC,PROCTER & GAMBLE HEALTH LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,32.50,6.50,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,PROGUT O,LINCOLN PHARMACEUTICALS LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,33.92,6.78,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,BIOGERMINA,ARISTO PHARMACEUTICALS PVT.LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,34.12,6.82,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,ECO-ALL,HETERO HEALTHCARE LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,35.50,7.10,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,BACIKID,MOREPEN LABORATORIES LIMITED,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,36.00,7.20,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,INTEBAL,MACKENZIE PHARMACEUTICALS PVT.LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,38.81,7.76,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,CLABIOZ,LUPIN LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,39.37,7.87,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,COLONORM BCS,4 CARE LIFESCIENCE PVT LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,40.00,8.00,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,ZEEBON R,DR. REDDYS LABORATORIES LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,41.50,8.30,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,ENTEROFIT,CELSIUS HEALTHCARE PVT.LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,42.14,8.43,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,GERMIWAR,BIO WARRIORS PHARMACEUTICALS PVT LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,42.19,8.44,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,ENTROMAX,MANKIND PHARMACEUTICALS LTD.,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,43.10,8.62,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,ENBIOS,MACLEODS PHARMACEUTICALS PVT.LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,43.31,8.66,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,DIAFLORA BC,MCW HEALTHCARE,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,45.38,9.08,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,GUTKURE,CANVARZYS HEALTHCARE PVT.LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,45.94,9.19,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,SACCTIK PLUS,KLM LABORATORIES PVT.LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,45.94,9.19,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,MEDOGERMINA,MED MANOR ORGANICS PVT LTD.,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,46.41,9.28,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,P R B,AGLOWMED PHARMACEUTICALS LTD.,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,46.41,9.28,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,ENTROFLORA,MACLEODS PHARMACEUTICALS PVT.LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,47.62,9.52,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,BENEGUT,ABBOTT INDIA LTD.,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,48.66,9.73,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,PROCILLUS,CORONA,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,50.11,10.02,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,FLORAKING BC,MYPHER PHARMACEUTICALS LLP.LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,50.53,10.11,Dec-2025
1521003777@325870@101102822@3375@101091@200518,OTHER,ENTEROCLAUSI,FOURRTS INDIA LABORATORIES PVT. LTD,BACILLUS CLAUSII SUSPENSION 2 BIU,5,SUSPENSION,Non-Scheduled,-1,51.09,10.22,Dec-2025
