HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521098752@351484@101192993@1829@101068@203058,MAIN,CABIRIC 100 MCG INJECTION 1 ML,ALEMBIC LTD,CARBETOCIN INJECTION 100 MCG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,512.25,512.25,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,CARBECIN,BLISSON MEDICA PVT.LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,393.75,393.75,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,CINOMAC,MACLEODS PHARMACEUTICALS PVT.LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,430.00,430.00,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,CTOCIN,MERCURY HEALTH CARE PVT LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,450.00,450.00,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,SPALCIN,WALTER BUSHNELL,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,454.69,454.69,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,CARITEC,RANBAXY LABORATORIES LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,467.81,467.81,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,GYNAXCIN,PULSE PHARMACEUTICALS PVT LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,467.81,467.81,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,ECBOSURE,TORRENT PHARMACEUTICALS LTD.,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,499.00,499.00,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,GENOREL,GLENMARK PHARMACEUTICALS LTD.,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,505.31,505.31,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,CARBITEX,BHARAT SERUMS & VACCINES LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,525.93,525.93,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,CARBITEX HS,BHARAT SERUMS & VACCINES LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,525.93,525.93,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,RTCARB,EMCURE PHARMACEUTICALS LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,550.00,550.00,Dec-2025
1521098752@351484@101192993@1829@101068@203058,OTHER,RILIGOL,ABBOTT INDIA LTD.,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,566.05,566.05,Dec-2025
1521151254@329857@101229643@1829@101068@203058,MAIN,CARBECIN 100 MCG INJECTION 1 ML,BLISSON MEDICA PVT.LTD,CARBETOCIN INJECTION 100 MCG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,393.75,393.75,Dec-2025
1521151254@329857@101229643@1829@101068@203058,OTHER,CINOMAC,MACLEODS PHARMACEUTICALS PVT.LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,430.00,430.00,Dec-2025
1521151254@329857@101229643@1829@101068@203058,OTHER,CTOCIN,MERCURY HEALTH CARE PVT LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,450.00,450.00,Dec-2025
1521151254@329857@101229643@1829@101068@203058,OTHER,SPALCIN,WALTER BUSHNELL,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,454.69,454.69,Dec-2025
1521151254@329857@101229643@1829@101068@203058,OTHER,CARITEC,RANBAXY LABORATORIES LTD,CARBETOCIN INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,467.81,467.81,Dec-2025
