HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521143073@205034@101229181@2864@101006@200401,MAIN,BIOPRIDE 1 MG TABLET 10,LIVIDUS PHARMA PVT LTD,CINITAPRIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,36.84,3.68,Dec-2025
1521143073@205034@101229181@2864@101006@200401,OTHER,CINPRIDE,IVA HEALTHCARE PVT.LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521143073@205034@101229181@2864@101006@200401,OTHER,KINOCIN,EAST WEST PHARMA,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,79.41,7.94,Dec-2025
1521143073@205034@101229181@2864@101006@200401,OTHER,CINTAPRO,ZYDUS HEALTHCARE LTD.,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,156.52,15.65,Dec-2025
1521143073@205034@101229181@2864@101006@200401,OTHER,KINPRIDE,DR. REDDYS LABORATORIES LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,171.32,17.13,Dec-2025
1521143074@205035@101229181@3378@101006@200401,MAIN,BIOPRIDE 2 MG TABLET 10,LIVIDUS PHARMA PVT LTD,CINITAPRIDE TABLET 2 MG,10 TABLET,TABLET,Non-Scheduled,-1,60.47,6.05,Dec-2025
1521143620@216891@101229181@3708@101006@200401,MAIN,BIOPRIDE 4 MG TABLET 10,LIVIDUS PHARMA PVT LTD,CINITAPRIDE TABLET 4 MG,10 TABLET,TABLET,Non-Scheduled,-1,53.88,5.39,Dec-2025
1521154178@275456@101240985@2864@101006@200401,MAIN,CINPRIDE 1 MG TABLET 10,IVA HEALTHCARE PVT.LTD,CINITAPRIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521154178@275456@101240985@2864@101006@200401,OTHER,BIOPRIDE,LIVIDUS PHARMA PVT LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,36.84,3.68,Dec-2025
1521154178@275456@101240985@2864@101006@200401,OTHER,KINOCIN,EAST WEST PHARMA,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,79.41,7.94,Dec-2025
1521154178@275456@101240985@2864@101006@200401,OTHER,CINTAPRO,ZYDUS HEALTHCARE LTD.,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,156.52,15.65,Dec-2025
1521154178@275456@101240985@2864@101006@200401,OTHER,KINPRIDE,DR. REDDYS LABORATORIES LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,171.32,17.13,Dec-2025
1521036098@91385@101245969@2864@101006@200401,MAIN,CINTAPRO 1 MG TABLET 10,ZYDUS HEALTHCARE LTD.,CINITAPRIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,156.52,15.65,Dec-2025
1521036098@91385@101245969@2864@101006@200401,OTHER,BIOPRIDE,LIVIDUS PHARMA PVT LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,36.84,3.68,Dec-2025
1521036098@91385@101245969@2864@101006@200401,OTHER,CINPRIDE,IVA HEALTHCARE PVT.LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521036098@91385@101245969@2864@101006@200401,OTHER,KINOCIN,EAST WEST PHARMA,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,79.41,7.94,Dec-2025
1521036098@91385@101245969@2864@101006@200401,OTHER,KINPRIDE,DR. REDDYS LABORATORIES LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,171.32,17.13,Dec-2025
1521012860@162137@101245969@3590@101075@200401,MAIN,CINTAPRO OD 3 MG TABLET SR 10,ZYDUS HEALTHCARE LTD.,CINITAPRIDE TABLET SR 3 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,316.72,31.67,Dec-2025
1521012860@162137@101245969@3590@101075@200401,OTHER,KINPRIDE,DR. REDDYS LABORATORIES LTD,CINITAPRIDE TABLET SR 3 MG,10,TABLET SR,Non-Scheduled,-1,357.89,35.79,Dec-2025
1521134740@355077@101225115@-1@101006@200401,MAIN,CINTASAFE TABLET 10,VASU ORGANICS PVT.LTD,CINITAPRIDE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,148.50,14.85,Dec-2025
1521039432@290924@101142622@2864@101006@200401,MAIN,KINOCIN 1 MG TABLET 10,EAST WEST PHARMA,CINITAPRIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,79.41,7.94,Dec-2025
1521039432@290924@101142622@2864@101006@200401,OTHER,BIOPRIDE,LIVIDUS PHARMA PVT LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,36.84,3.68,Dec-2025
1521039432@290924@101142622@2864@101006@200401,OTHER,CINPRIDE,IVA HEALTHCARE PVT.LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521039432@290924@101142622@2864@101006@200401,OTHER,CINTAPRO,ZYDUS HEALTHCARE LTD.,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,156.52,15.65,Dec-2025
1521039432@290924@101142622@2864@101006@200401,OTHER,KINPRIDE,DR. REDDYS LABORATORIES LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,171.32,17.13,Dec-2025
1521039436@134172@101142627@2864@101006@200401,MAIN,KINPRIDE 1 MG TABLET 10,DR. REDDYS LABORATORIES LTD,CINITAPRIDE TABLET 1 MG,10 TABLET,TABLET,Non-Scheduled,-1,171.32,17.13,Dec-2025
1521039436@134172@101142627@2864@101006@200401,OTHER,BIOPRIDE,LIVIDUS PHARMA PVT LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,36.84,3.68,Dec-2025
1521039436@134172@101142627@2864@101006@200401,OTHER,CINPRIDE,IVA HEALTHCARE PVT.LTD,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521039436@134172@101142627@2864@101006@200401,OTHER,KINOCIN,EAST WEST PHARMA,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,79.41,7.94,Dec-2025
1521039436@134172@101142627@2864@101006@200401,OTHER,CINTAPRO,ZYDUS HEALTHCARE LTD.,CINITAPRIDE TABLET 1 MG,10,TABLET,Non-Scheduled,-1,156.52,15.65,Dec-2025
1521039437@188693@101142627@3590@101075@200401,MAIN,KINPRIDE 3 MG TABLET SR 10,DR. REDDYS LABORATORIES LTD,CINITAPRIDE TABLET SR 3 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,357.89,35.79,Dec-2025
1521039437@188693@101142627@3590@101075@200401,OTHER,CINTAPRO,ZYDUS HEALTHCARE LTD.,CINITAPRIDE TABLET SR 3 MG,10,TABLET SR,Non-Scheduled,-1,316.72,31.67,Dec-2025
