HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521023339@166122@101128487@-1@101085@207241,MAIN,ERACOD SOFTGEL CAPSULE 10,ERA PHARMACEUTICALS PVT LTD,COD LIVER OIL SOFTGEL CAPSULE ,10 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,143.91,14.39,Dec-2025
1521023339@166122@101128487@-1@101085@207241,OTHER,LUPINS COD LIVER,LUPIN LTD,COD LIVER OIL SOFTGEL CAPSULE ,100,SOFTGEL CAPSULE,Non-Scheduled,-1,13.50,0.14,Dec-2025
1521023339@166122@101128487@-1@101085@207241,OTHER,SEVENSEAS (MERCK),PROCTER & GAMBLE HEALTH LTD,COD LIVER OIL SOFTGEL CAPSULE ,500,SOFTGEL CAPSULE,Non-Scheduled,-1,1519.49,3.04,Dec-2025
1521023339@166122@101128487@-1@101085@207241,OTHER,SEVENSEAS (MERCK),PROCTER & GAMBLE HEALTH LTD,COD LIVER OIL SOFTGEL CAPSULE ,100,SOFTGEL CAPSULE,Non-Scheduled,-1,398.16,3.98,Dec-2025
1521100651@348975@101194095@-1@101085@207241,MAIN,LUPINS COD LIVER OIL SOFTGEL CAPSULE 100,LUPIN LTD,COD LIVER OIL SOFTGEL CAPSULE ,100 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,13.50,0.14,Dec-2025
1521100651@348975@101194095@-1@101085@207241,OTHER,SEVENSEAS (MERCK),PROCTER & GAMBLE HEALTH LTD,COD LIVER OIL SOFTGEL CAPSULE ,500,SOFTGEL CAPSULE,Non-Scheduled,-1,1519.49,3.04,Dec-2025
1521100651@348975@101194095@-1@101085@207241,OTHER,SEVENSEAS (MERCK),PROCTER & GAMBLE HEALTH LTD,COD LIVER OIL SOFTGEL CAPSULE ,100,SOFTGEL CAPSULE,Non-Scheduled,-1,398.16,3.98,Dec-2025
1521100651@348975@101194095@-1@101085@207241,OTHER,ERACOD,ERA PHARMACEUTICALS PVT LTD,COD LIVER OIL SOFTGEL CAPSULE ,10,SOFTGEL CAPSULE,Non-Scheduled,-1,143.91,14.39,Dec-2025
1521088205@60751@101224578@3426@101038@207241,MAIN,SEACOD 300 MG CAPSULE 10,UNIVERSAL NUTRISCIENCE PVT LTD,COD LIVER OIL CAPSULE 300 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,44.00,4.40,Dec-2025
1521089625@160274@101224578@3426@101038@207241,MAIN,SEACOD 300 MG CAPSULE 500,UNIVERSAL NUTRISCIENCE PVT LTD,COD LIVER OIL CAPSULE 300 MG,500 CAPSULE,CAPSULE,Non-Scheduled,-1,1334.00,2.67,Dec-2025
1521089626@193132@101224578@3426@101002@207241,MAIN,SEACOD 300 MG OIL 60 ML,UNIVERSAL NUTRISCIENCE PVT LTD,COD LIVER OIL OIL 300 MG,60 ML OIL,OIL,Non-Scheduled,-1,266.06,4.43,Dec-2025
1521128578@82540@101224578@3426@101085@207241,MAIN,SEACOD 300 MG SOFTGEL CAPSULE 100,UNIVERSAL NUTRISCIENCE PVT LTD,COD LIVER OIL SOFTGEL CAPSULE 300 MG,100 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,462.00,4.62,Dec-2025
1521089624@210856@101224578@3426@101085@207241,MAIN,SEACOD 300 MG SOFTGEL CAPSULE 110,UNIVERSAL NUTRISCIENCE PVT LTD,COD LIVER OIL SOFTGEL CAPSULE 300 MG,110 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,462.00,4.20,Dec-2025
1521072680@185872@101173306@-1@101085@207241,MAIN,SEVENSEAS (MERCK) ORIGINAL SOFTGEL CAPSULE 100,PROCTER & GAMBLE HEALTH LTD,COD LIVER OIL SOFTGEL CAPSULE ,100 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,398.16,3.98,Dec-2025
1521072680@185872@101173306@-1@101085@207241,OTHER,LUPINS COD LIVER,LUPIN LTD,COD LIVER OIL SOFTGEL CAPSULE ,100,SOFTGEL CAPSULE,Non-Scheduled,-1,13.50,0.14,Dec-2025
1521072680@185872@101173306@-1@101085@207241,OTHER,ERACOD,ERA PHARMACEUTICALS PVT LTD,COD LIVER OIL SOFTGEL CAPSULE ,10,SOFTGEL CAPSULE,Non-Scheduled,-1,143.91,14.39,Dec-2025
1521072683@185873@101173306@-1@101085@207241,MAIN,SEVENSEAS (MERCK) ORIGINAL SOFTGEL CAPSULE 500,PROCTER & GAMBLE HEALTH LTD,COD LIVER OIL SOFTGEL CAPSULE ,500 SOFTGEL CAPSULE,SOFTGEL CAPSULE,Non-Scheduled,-1,1519.49,3.04,Dec-2025
1521072683@185873@101173306@-1@101085@207241,OTHER,LUPINS COD LIVER,LUPIN LTD,COD LIVER OIL SOFTGEL CAPSULE ,100,SOFTGEL CAPSULE,Non-Scheduled,-1,13.50,0.14,Dec-2025
1521072683@185873@101173306@-1@101085@207241,OTHER,ERACOD,ERA PHARMACEUTICALS PVT LTD,COD LIVER OIL SOFTGEL CAPSULE ,10,SOFTGEL CAPSULE,Non-Scheduled,-1,143.91,14.39,Dec-2025
