HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521019462@266467@101125914@2270@101038@202398,MAIN,DYFIRA 120 MG CAPSULE 14,INTAS PHARMACEUTICALS LTD,DIMETHYL FUMARATE CAPSULE 120 MG,14 CAPSULE,CAPSULE,Non-Scheduled,-1,797.11,56.94,Dec-2025
1521019462@266467@101125914@2270@101038@202398,OTHER,SCLEROGEM,CIPLA LTD.,DIMETHYL FUMARATE CAPSULE 120 MG,14,CAPSULE,Non-Scheduled,-1,444.68,31.76,Dec-2025
1521019462@266467@101125914@2270@101038@202398,OTHER,SCLERIFUMA,SUN PHARMA LABORATORIES LTD.,DIMETHYL FUMARATE CAPSULE 120 MG,10,CAPSULE,Non-Scheduled,-1,365.63,36.56,Dec-2025
1521019463@266469@101125914@3135@101038@202398,MAIN,DYFIRA 240 MG CAPSULE 60,INTAS PHARMACEUTICALS LTD,DIMETHYL FUMARATE CAPSULE 240 MG,60 CAPSULE,CAPSULE,Non-Scheduled,-1,5648.44,94.14,Dec-2025
1521019463@266469@101125914@3135@101038@202398,OTHER,SCLEROGEM,CIPLA LTD.,DIMETHYL FUMARATE CAPSULE 240 MG,14,CAPSULE,Non-Scheduled,-1,726.00,51.86,Dec-2025
1521019463@266469@101125914@3135@101038@202398,OTHER,MS (MSN),MSN LABORATORIES LTD,DIMETHYL FUMARATE CAPSULE 240 MG,14,CAPSULE,Non-Scheduled,-1,858.28,61.31,Dec-2025
1521019463@266469@101125914@3135@101038@202398,OTHER,SCLERIFUMA,SUN PHARMA LABORATORIES LTD.,DIMETHYL FUMARATE CAPSULE 240 MG,10,CAPSULE,Non-Scheduled,-1,620.63,62.06,Dec-2025
1521025549@278796@101153356@3135@101038@202398,MAIN,MS (MSN) 240 MG CAPSULE 14,MSN LABORATORIES LTD,DIMETHYL FUMARATE CAPSULE 240 MG,14 CAPSULE,CAPSULE,Non-Scheduled,-1,858.28,61.31,Dec-2025
1521025549@278796@101153356@3135@101038@202398,OTHER,SCLEROGEM,CIPLA LTD.,DIMETHYL FUMARATE CAPSULE 240 MG,14,CAPSULE,Non-Scheduled,-1,726.00,51.86,Dec-2025
1521025549@278796@101153356@3135@101038@202398,OTHER,SCLERIFUMA,SUN PHARMA LABORATORIES LTD.,DIMETHYL FUMARATE CAPSULE 240 MG,10,CAPSULE,Non-Scheduled,-1,620.63,62.06,Dec-2025
1521025549@278796@101153356@3135@101038@202398,OTHER,DYFIRA,INTAS PHARMACEUTICALS LTD,DIMETHYL FUMARATE CAPSULE 240 MG,60,CAPSULE,Non-Scheduled,-1,5648.44,94.14,Dec-2025
1521027955@302522@101119380@2270@101038@202398,MAIN,SCLERIFUMA 120 MG CAPSULE 10,SUN PHARMA LABORATORIES LTD.,DIMETHYL FUMARATE CAPSULE 120 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,365.63,36.56,Dec-2025
1521027955@302522@101119380@2270@101038@202398,OTHER,SCLEROGEM,CIPLA LTD.,DIMETHYL FUMARATE CAPSULE 120 MG,14,CAPSULE,Non-Scheduled,-1,444.68,31.76,Dec-2025
1521027955@302522@101119380@2270@101038@202398,OTHER,DYFIRA,INTAS PHARMACEUTICALS LTD,DIMETHYL FUMARATE CAPSULE 120 MG,14,CAPSULE,Non-Scheduled,-1,797.11,56.94,Dec-2025
1521058410@302523@101119380@3135@101038@202398,MAIN,SCLERIFUMA 240 MG CAPSULE 10,SUN PHARMA LABORATORIES LTD.,DIMETHYL FUMARATE CAPSULE 240 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,620.63,62.06,Dec-2025
1521058410@302523@101119380@3135@101038@202398,OTHER,SCLEROGEM,CIPLA LTD.,DIMETHYL FUMARATE CAPSULE 240 MG,14,CAPSULE,Non-Scheduled,-1,726.00,51.86,Dec-2025
1521058410@302523@101119380@3135@101038@202398,OTHER,MS (MSN),MSN LABORATORIES LTD,DIMETHYL FUMARATE CAPSULE 240 MG,14,CAPSULE,Non-Scheduled,-1,858.28,61.31,Dec-2025
1521058410@302523@101119380@3135@101038@202398,OTHER,DYFIRA,INTAS PHARMACEUTICALS LTD,DIMETHYL FUMARATE CAPSULE 240 MG,60,CAPSULE,Non-Scheduled,-1,5648.44,94.14,Dec-2025
1521028032@280667@101131900@2270@101038@202398,MAIN,SCLEROGEM 120 MG CAPSULE 14,CIPLA LTD.,DIMETHYL FUMARATE CAPSULE 120 MG,14 CAPSULE,CAPSULE,Non-Scheduled,-1,444.68,31.76,Dec-2025
1521028032@280667@101131900@2270@101038@202398,OTHER,SCLERIFUMA,SUN PHARMA LABORATORIES LTD.,DIMETHYL FUMARATE CAPSULE 120 MG,10,CAPSULE,Non-Scheduled,-1,365.63,36.56,Dec-2025
1521028032@280667@101131900@2270@101038@202398,OTHER,DYFIRA,INTAS PHARMACEUTICALS LTD,DIMETHYL FUMARATE CAPSULE 120 MG,14,CAPSULE,Non-Scheduled,-1,797.11,56.94,Dec-2025
1521028091@280670@101131900@3135@101038@202398,MAIN,SCLEROGEM 240 MG CAPSULE 14,CIPLA LTD.,DIMETHYL FUMARATE CAPSULE 240 MG,14 CAPSULE,CAPSULE,Non-Scheduled,-1,726.00,51.86,Dec-2025
1521028091@280670@101131900@3135@101038@202398,OTHER,MS (MSN),MSN LABORATORIES LTD,DIMETHYL FUMARATE CAPSULE 240 MG,14,CAPSULE,Non-Scheduled,-1,858.28,61.31,Dec-2025
1521028091@280670@101131900@3135@101038@202398,OTHER,SCLERIFUMA,SUN PHARMA LABORATORIES LTD.,DIMETHYL FUMARATE CAPSULE 240 MG,10,CAPSULE,Non-Scheduled,-1,620.63,62.06,Dec-2025
1521028091@280670@101131900@3135@101038@202398,OTHER,DYFIRA,INTAS PHARMACEUTICALS LTD,DIMETHYL FUMARATE CAPSULE 240 MG,60,CAPSULE,Non-Scheduled,-1,5648.44,94.14,Dec-2025
