HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521103577@354637@101226255@-1@101006@202946,MAIN,BILCOTIV TABLET 10,LA RENON HEALTHCARE PVT.LTD,GINKGO BILOBA TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,303.43,30.34,Dec-2025
1521092111@76905@101245778@3650@101006@202946,MAIN,BILOVAS 40 MG TABLET 10,ZYDUS HEALTHCARE LTD.,GINKGO BILOBA TABLET 40 MG,10 TABLET,TABLET,Non-Scheduled,-1,327.19,32.72,Dec-2025
1521092111@76905@101245778@3650@101006@202946,OTHER,GKOBA,SIGMUND PROMEDICA,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,105.56,10.56,Dec-2025
1521092111@76905@101245778@3650@101006@202946,OTHER,ZINCOCID,ENTOD PHARMACEUTICALS LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,126.80,12.68,Dec-2025
1521092111@76905@101245778@3650@101006@202946,OTHER,TEBOKAN,DR.WILLMAR SCHWABE INDIA PVT.LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,182.00,18.20,Dec-2025
1521092111@76905@101245778@3650@101006@202946,OTHER,GB,MOVA PHARMACEUTICALS PVT LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,206.25,20.63,Dec-2025
1521092111@76905@101245778@3650@101006@202946,OTHER,GINKOBA,MICRO LABS LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,219.30,21.93,Dec-2025
1521092111@76905@101245778@3650@101006@202946,OTHER,MEMOCER,INGA LABORATORIES PVT. LTD.,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,246.90,24.69,Dec-2025
1521092111@76905@101245778@3650@101006@202946,OTHER,GINKOCER,ERIS LIFESCIENCES LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,264.27,26.43,Dec-2025
1521009576@215368@101134251@2270@101006@202946,MAIN,GB 120 MG TABLET 10,MOVA PHARMACEUTICALS PVT LTD,GINKGO BILOBA TABLET 120 MG,10 TABLET,TABLET,Non-Scheduled,-1,289.90,28.99,Dec-2025
1521009576@215368@101134251@2270@101006@202946,OTHER,GINKOCER,ERIS LIFESCIENCES LTD,GINKGO BILOBA TABLET 120 MG,10,TABLET,Non-Scheduled,-1,224.82,22.48,Dec-2025
1521009576@215368@101134251@2270@101006@202946,OTHER,TEBOKAN,DR.WILLMAR SCHWABE INDIA PVT.LTD,GINKGO BILOBA TABLET 120 MG,15,TABLET,Non-Scheduled,-1,536.25,35.75,Dec-2025
1521030922@223035@101134251@3650@101006@202946,MAIN,GB 40 MG TABLET 10,MOVA PHARMACEUTICALS PVT LTD,GINKGO BILOBA TABLET 40 MG,10 TABLET,TABLET,Non-Scheduled,-1,206.25,20.63,Dec-2025
1521030922@223035@101134251@3650@101006@202946,OTHER,GKOBA,SIGMUND PROMEDICA,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,105.56,10.56,Dec-2025
1521030922@223035@101134251@3650@101006@202946,OTHER,ZINCOCID,ENTOD PHARMACEUTICALS LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,126.80,12.68,Dec-2025
1521030922@223035@101134251@3650@101006@202946,OTHER,TEBOKAN,DR.WILLMAR SCHWABE INDIA PVT.LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,182.00,18.20,Dec-2025
1521030922@223035@101134251@3650@101006@202946,OTHER,GINKOBA,MICRO LABS LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,219.30,21.93,Dec-2025
1521030922@223035@101134251@3650@101006@202946,OTHER,MEMOCER,INGA LABORATORIES PVT. LTD.,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,246.90,24.69,Dec-2025
1521030922@223035@101134251@3650@101006@202946,OTHER,GINKOCER,ERIS LIFESCIENCES LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,264.27,26.43,Dec-2025
1521030922@223035@101134251@3650@101006@202946,OTHER,BILOVAS,ZYDUS HEALTHCARE LTD.,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,327.19,32.72,Dec-2025
1521031569@78474@101134861@3650@101006@202946,MAIN,GINKOBA 40 MG TABLET 10,MICRO LABS LTD,GINKGO BILOBA TABLET 40 MG,10 TABLET,TABLET,Non-Scheduled,-1,219.30,21.93,Dec-2025
1521031569@78474@101134861@3650@101006@202946,OTHER,GKOBA,SIGMUND PROMEDICA,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,105.56,10.56,Dec-2025
1521031569@78474@101134861@3650@101006@202946,OTHER,ZINCOCID,ENTOD PHARMACEUTICALS LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,126.80,12.68,Dec-2025
1521031569@78474@101134861@3650@101006@202946,OTHER,TEBOKAN,DR.WILLMAR SCHWABE INDIA PVT.LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,182.00,18.20,Dec-2025
1521031569@78474@101134861@3650@101006@202946,OTHER,GB,MOVA PHARMACEUTICALS PVT LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,206.25,20.63,Dec-2025
1521031569@78474@101134861@3650@101006@202946,OTHER,MEMOCER,INGA LABORATORIES PVT. LTD.,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,246.90,24.69,Dec-2025
1521031569@78474@101134861@3650@101006@202946,OTHER,GINKOCER,ERIS LIFESCIENCES LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,264.27,26.43,Dec-2025
1521031569@78474@101134861@3650@101006@202946,OTHER,BILOVAS,ZYDUS HEALTHCARE LTD.,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,327.19,32.72,Dec-2025
1521160587@705357@101134861@-1@101038@202946,MAIN,GINKOBA PLUS CAPSULE 10,MICRO LABS LTD,GINKGO BILOBA CAPSULE ,10 CAPSULE,CAPSULE,Non-Scheduled,-1,260.00,26.00,Dec-2025
1521031572@278580@101246321@2270@101006@202946,MAIN,GINKOCER 120 MG TABLET 10,ERIS LIFESCIENCES LTD,GINKGO BILOBA TABLET 120 MG,10 TABLET,TABLET,Non-Scheduled,-1,224.82,22.48,Dec-2025
1521031572@278580@101246321@2270@101006@202946,OTHER,GB,MOVA PHARMACEUTICALS PVT LTD,GINKGO BILOBA TABLET 120 MG,10,TABLET,Non-Scheduled,-1,289.90,28.99,Dec-2025
1521031572@278580@101246321@2270@101006@202946,OTHER,TEBOKAN,DR.WILLMAR SCHWABE INDIA PVT.LTD,GINKGO BILOBA TABLET 120 MG,15,TABLET,Non-Scheduled,-1,536.25,35.75,Dec-2025
1521031576@42922@101246321@3650@101006@202946,MAIN,GINKOCER 40 MG TABLET 10,ERIS LIFESCIENCES LTD,GINKGO BILOBA TABLET 40 MG,10 TABLET,TABLET,Non-Scheduled,-1,264.27,26.43,Dec-2025
1521031576@42922@101246321@3650@101006@202946,OTHER,GKOBA,SIGMUND PROMEDICA,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,105.56,10.56,Dec-2025
1521031576@42922@101246321@3650@101006@202946,OTHER,ZINCOCID,ENTOD PHARMACEUTICALS LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,126.80,12.68,Dec-2025
1521031576@42922@101246321@3650@101006@202946,OTHER,TEBOKAN,DR.WILLMAR SCHWABE INDIA PVT.LTD,GINKGO BILOBA TABLET 40 MG,10,TABLET,Non-Scheduled,-1,182.00,18.20,Dec-2025
