HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521069174@320779@101155359@4210@101103@203157,MAIN,NETALO 0.02 % EYE DROPS 3 ML,AJANTA PHARMA LTD,NETARSUDIL EYE DROPS 0.02 %,3 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,625.31,208.44,Dec-2025
1521069174@320779@101155359@4210@101103@203157,OTHER,NETAPRIDE,MICRO LABS LTD,NETARSUDIL EYE DROPS 0.02 %,3,EYE DROPS,Non-Scheduled,-1,348.21,116.07,Dec-2025
1521069174@320779@101155359@4210@101103@203157,OTHER,NETASUDIL,IPCA LABORATORIES PVT LTD.,NETARSUDIL EYE DROPS 0.02 %,2,EYE DROPS,Non-Scheduled,-1,400.00,133.33,Dec-2025
1521069174@320779@101155359@4210@101103@203157,OTHER,RAIKI,SUN PHARMA LABORATORIES LTD.,NETARSUDIL EYE DROPS 0.02 %,1,EYE DROPS,Non-Scheduled,-1,556.88,556.88,Dec-2025
1521134479@9999998873@101224885@4210@101103@203157,MAIN,NETAPRIDE 0.02 % EYE DROPS 3 ML,MICRO LABS LTD,NETARSUDIL EYE DROPS 0.02 %,3 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,348.21,116.07,Dec-2025
1521134479@9999998873@101224885@4210@101103@203157,OTHER,NETASUDIL,IPCA LABORATORIES PVT LTD.,NETARSUDIL EYE DROPS 0.02 %,2,EYE DROPS,Non-Scheduled,-1,400.00,133.33,Dec-2025
1521134479@9999998873@101224885@4210@101103@203157,OTHER,NETALO,AJANTA PHARMA LTD,NETARSUDIL EYE DROPS 0.02 %,3,EYE DROPS,Non-Scheduled,-1,625.31,208.44,Dec-2025
1521134479@9999998873@101224885@4210@101103@203157,OTHER,RAIKI,SUN PHARMA LABORATORIES LTD.,NETARSUDIL EYE DROPS 0.02 %,1,EYE DROPS,Non-Scheduled,-1,556.88,556.88,Dec-2025
1521094716@343039@101190579@4210@101103@203157,MAIN,NETASUDIL 0.02 % EYE DROPS 2.5 ML,IPCA LABORATORIES PVT LTD.,NETARSUDIL EYE DROPS 0.02 %,2.5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,400.00,133.33,Dec-2025
1521094716@343039@101190579@4210@101103@203157,OTHER,NETAPRIDE,MICRO LABS LTD,NETARSUDIL EYE DROPS 0.02 %,3,EYE DROPS,Non-Scheduled,-1,348.21,116.07,Dec-2025
1521094716@343039@101190579@4210@101103@203157,OTHER,NETALO,AJANTA PHARMA LTD,NETARSUDIL EYE DROPS 0.02 %,3,EYE DROPS,Non-Scheduled,-1,625.31,208.44,Dec-2025
1521094716@343039@101190579@4210@101103@203157,OTHER,RAIKI,SUN PHARMA LABORATORIES LTD.,NETARSUDIL EYE DROPS 0.02 %,1,EYE DROPS,Non-Scheduled,-1,556.88,556.88,Dec-2025
1521066123@327588@101168631@4210@101103@203157,MAIN,RAIKI 0.02 % EYE DROPS 1,SUN PHARMA LABORATORIES LTD.,NETARSUDIL EYE DROPS 0.02 %,1 EYE DROPS,EYE DROPS,Non-Scheduled,-1,556.88,556.88,Dec-2025
1521066123@327588@101168631@4210@101103@203157,OTHER,NETAPRIDE,MICRO LABS LTD,NETARSUDIL EYE DROPS 0.02 %,3,EYE DROPS,Non-Scheduled,-1,348.21,116.07,Dec-2025
1521066123@327588@101168631@4210@101103@203157,OTHER,NETASUDIL,IPCA LABORATORIES PVT LTD.,NETARSUDIL EYE DROPS 0.02 %,2,EYE DROPS,Non-Scheduled,-1,400.00,133.33,Dec-2025
1521066123@327588@101168631@4210@101103@203157,OTHER,NETALO,AJANTA PHARMA LTD,NETARSUDIL EYE DROPS 0.02 %,3,EYE DROPS,Non-Scheduled,-1,625.31,208.44,Dec-2025
1521096485@345082@101191716@1340@101103@203157,MAIN,RHOPRESS 0.2 MG EYE DROPS 2.5 ML,ENTOD PHARMACEUTICALS LTD,NETARSUDIL EYE DROPS 0.2 MG,2.5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,435.00,145.00,Dec-2025
