HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521052764@75305@101155730@2974@101006@201682,MAIN,NEVIMUNE 200 MG TABLET 10,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,10 TABLET,TABLET,Scheduled,16.07,140.10,14.01,Dec-2025
1521052764@75305@101155730@2974@101006@201682,OTHER,NEVIVIR,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,30,TABLET,Scheduled,16.07,471.22,15.71,Dec-2025
1521052764@75305@101155730@2974@101006@201682,OTHER,NEVIR,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,946.85,15.78,Dec-2025
1521052764@75305@101155730@2974@101006@201682,OTHER,NEVIVIR,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,1063.50,17.73,Dec-2025
1521052764@75305@101155730@2974@101006@201682,OTHER,NEVIR,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,10,TABLET,Scheduled,16.07,178.00,17.80,Dec-2025
1521052765@75306@101155730@2974@101006@201682,MAIN,NEVIMUNE 200 MG TABLET 60,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,60 TABLET,TABLET,Scheduled,16.07,845.38,14.09,Dec-2025
1521052765@75306@101155730@2974@101006@201682,OTHER,NEVIVIR,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,30,TABLET,Scheduled,16.07,471.22,15.71,Dec-2025
1521052765@75306@101155730@2974@101006@201682,OTHER,NEVIR,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,946.85,15.78,Dec-2025
1521052765@75306@101155730@2974@101006@201682,OTHER,NEVIVIR,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,1063.50,17.73,Dec-2025
1521052765@75306@101155730@2974@101006@201682,OTHER,NEVIR,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,10,TABLET,Scheduled,16.07,178.00,17.80,Dec-2025
1521052766@63728@101155734@2974@101006@201682,MAIN,NEVIR 200 MG TABLET 10,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,10 TABLET,TABLET,Scheduled,16.07,178.00,17.80,Dec-2025
1521052766@63728@101155734@2974@101006@201682,OTHER,NEVIMUNE,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,10,TABLET,Scheduled,16.07,140.10,14.01,Dec-2025
1521052766@63728@101155734@2974@101006@201682,OTHER,NEVIMUNE,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,845.38,14.09,Dec-2025
1521052766@63728@101155734@2974@101006@201682,OTHER,NEVIVIR,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,30,TABLET,Scheduled,16.07,471.22,15.71,Dec-2025
1521052766@63728@101155734@2974@101006@201682,OTHER,NEVIVIR,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,1063.50,17.73,Dec-2025
1521052768@167194@101155734@2974@101006@201682,MAIN,NEVIR 200 MG TABLET 60,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,60 TABLET,TABLET,Scheduled,16.07,946.85,15.78,Dec-2025
1521052768@167194@101155734@2974@101006@201682,OTHER,NEVIMUNE,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,10,TABLET,Scheduled,16.07,140.10,14.01,Dec-2025
1521052768@167194@101155734@2974@101006@201682,OTHER,NEVIMUNE,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,845.38,14.09,Dec-2025
1521052768@167194@101155734@2974@101006@201682,OTHER,NEVIVIR,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,30,TABLET,Scheduled,16.07,471.22,15.71,Dec-2025
1521052768@167194@101155734@2974@101006@201682,OTHER,NEVIVIR,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,1063.50,17.73,Dec-2025
1521026065@239450@101155734@3625@101095@201682,MAIN,NEVIR 400 MG TABLET ER 30,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET ER 400 MG,30 TABLET ER,TABLET ER,Non-Scheduled,-1,626.60,20.89,Dec-2025
1521052767@154418@101155696@2974@101006@201682,MAIN,NEVIVIR 200 MG TABLET 30,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,30 TABLET,TABLET,Scheduled,16.07,471.22,15.71,Dec-2025
1521052767@154418@101155696@2974@101006@201682,OTHER,NEVIMUNE,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,10,TABLET,Scheduled,16.07,140.10,14.01,Dec-2025
1521052767@154418@101155696@2974@101006@201682,OTHER,NEVIMUNE,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,845.38,14.09,Dec-2025
1521052767@154418@101155696@2974@101006@201682,OTHER,NEVIR,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,946.85,15.78,Dec-2025
1521052767@154418@101155696@2974@101006@201682,OTHER,NEVIR,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,10,TABLET,Scheduled,16.07,178.00,17.80,Dec-2025
1521052772@162798@101155696@2974@101006@201682,MAIN,NEVIVIR 200 MG TABLET 60,HETERO HEALTHCARE LTD,NEVIRAPINE TABLET 200 MG,60 TABLET,TABLET,Scheduled,16.07,1063.50,17.73,Dec-2025
1521052772@162798@101155696@2974@101006@201682,OTHER,NEVIMUNE,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,10,TABLET,Scheduled,16.07,140.10,14.01,Dec-2025
1521052772@162798@101155696@2974@101006@201682,OTHER,NEVIMUNE,CIPLA LTD.,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,845.38,14.09,Dec-2025
1521052772@162798@101155696@2974@101006@201682,OTHER,NEVIR,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,60,TABLET,Scheduled,16.07,946.85,15.78,Dec-2025
1521052772@162798@101155696@2974@101006@201682,OTHER,NEVIR,EMCURE PHARMACEUTICALS LTD,NEVIRAPINE TABLET 200 MG,10,TABLET,Scheduled,16.07,178.00,17.80,Dec-2025
1521141423@350422@101240159@-1@101126@201682,MAIN,VIRIMUNE SYRUP 100 ML,CUROSIS HEALTHCARE PVT.LTD,NEVIRAPINE SYRUP ,100 ML SYRUP,SYRUP,Non-Scheduled,-1,139.69,1.40,Dec-2025
