HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521096609@346290@101191813@1846@101006@200042,MAIN,6F1C 100 MG TABLET 15,SINSAN PHARMACEUTICALS,SITAGLIPTIN TABLET 100 MG,15 TABLET,TABLET,Non-Scheduled,-1,350.00,23.33,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITAECO,SMART LABORATORIES PVT LTD,SITAGLIPTIN TABLET 100 MG,15,TABLET,Non-Scheduled,-1,59.38,3.96,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,KYGLIP,BLUE CROSS LABORATORIES LTD,SITAGLIPTIN TABLET 100 MG,15,TABLET,Non-Scheduled,-1,84.37,5.62,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITASON,UNISON PHARMACEUTICALS,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,60.94,6.09,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,ACSITA,ACMEDIX PHARMA LLP,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,69.00,6.90,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITASYS,SYSTOPIC LABORATORIES LTD-MEM,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,74.06,7.41,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITABERY,SUNBERRY LIFESCIENCES PVT.LTD,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITGLYPT,FINECURE PHARMACEUTICALS,SITAGLIPTIN TABLET 100 MG,15,TABLET,Non-Scheduled,-1,125.16,8.34,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITASMART,HEALING PHARMA INDIA PVT.LTD,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,85.44,8.54,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITAWOK,WOCKHARDT LTD,SITAGLIPTIN TABLET 100 MG,15,TABLET,Non-Scheduled,-1,131.80,8.79,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITDC,FDC LTD.,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,89.06,8.91,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITARED,SUN PHARMA LABORATORIES LTD.,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,90.65,9.07,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,QSITA,HBC LIFESCIENCES PVT LTD,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,90.75,9.08,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITASTAR,EKARD LIFE SCIENCES PVT.LTD,SITAGLIPTIN TABLET 100 MG,7,TABLET,Non-Scheduled,-1,75.00,10.71,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SPIKERID,INDCHEMIE HEALTH SPECIALITIES PVT. LTD.,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,108.00,10.80,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITARLUP,LUPIN LTD,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,111.38,11.14,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITABITE,CORONA,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,112.27,11.23,Dec-2025
1521096609@346290@101191813@1846@101006@200042,OTHER,SITOZA,HETERO HEALTHCARE LTD,SITAGLIPTIN TABLET 100 MG,10,TABLET,Non-Scheduled,-1,117.50,11.75,Dec-2025
