HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521008970@70628@101105840@2107@101006@201855,MAIN,CADITAM 10 MG TABLET 10,CADILA PHARMACEUTICALS LTD,TAMOXIFEN TABLET 10 MG,10 TABLET,TABLET,Scheduled,2.25,23.10,2.31,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,VALODEX,SAMARTH LIFE SCIENCES PVT LTD,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,16.77,1.68,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,CYTOTAM,CIPLA LTD.,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,19.46,1.95,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,TAMOXILON,CELON LABS,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,20.00,2.00,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,ENTAX,NEON LABORATORIES LTD,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,20.15,2.02,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,ONCOMOX,SUN PHARMA LABORATORIES LTD.,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,20.47,2.05,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,MAMOFEN,KHANDELWAL LABORATORIES LTD,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,20.63,2.06,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,TAMOXIFEN,FRESENIUS KABI INDIA PVT LTD,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,21.16,2.12,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,TAMTERO,HETERO HEALTHCARE LTD,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,22.90,2.29,Dec-2025
1521008970@70628@101105840@2107@101006@201855,OTHER,TAMODEX,ZYDUS - BIOLOGICS,TAMOXIFEN TABLET 10 MG,10,TABLET,Scheduled,2.25,23.10,2.31,Dec-2025
1521008982@70629@101105840@3049@101006@201855,MAIN,CADITAM 20 MG TABLET 10,CADILA PHARMACEUTICALS LTD,TAMOXIFEN TABLET 20 MG,10 TABLET,TABLET,Scheduled,3.00,30.87,3.09,Dec-2025
1521008982@70629@101105840@3049@101006@201855,OTHER,MOXIFEN,VHB LIFE SCIENCES LIMITED,TAMOXIFEN TABLET 20 MG,10,TABLET,Scheduled,3.00,18.00,1.80,Dec-2025
1521008982@70629@101105840@3049@101006@201855,OTHER,CYTOTAM,CIPLA LTD.,TAMOXIFEN TABLET 20 MG,10,TABLET,Scheduled,3.00,25.02,2.50,Dec-2025
1521008982@70629@101105840@3049@101006@201855,OTHER,MAMOFEN,KHANDELWAL LABORATORIES LTD,TAMOXIFEN TABLET 20 MG,10,TABLET,Scheduled,3.00,27.19,2.72,Dec-2025
1521008982@70629@101105840@3049@101006@201855,OTHER,TAMTERO,HETERO HEALTHCARE LTD,TAMOXIFEN TABLET 20 MG,10,TABLET,Scheduled,3.00,31.10,3.11,Dec-2025
1521008982@70629@101105840@3049@101006@201855,OTHER,ENTAX,NEON LABORATORIES LTD,TAMOXIFEN TABLET 20 MG,10,TABLET,Scheduled,3.00,31.35,3.14,Dec-2025
1521008982@70629@101105840@3049@101006@201855,OTHER,TAMODEX,ZYDUS - BIOLOGICS,TAMOXIFEN TABLET 20 MG,10,TABLET,Scheduled,3.00,31.40,3.14,Dec-2025
1521008982@70629@101105840@3049@101006@201855,OTHER,VALODEX,SAMARTH LIFE SCIENCES PVT LTD,TAMOXIFEN TABLET 20 MG,10,TABLET,Scheduled,3.00,32.47,3.25,Dec-2025
1521008982@70629@101105840@3049@101006@201855,OTHER,TAMOXILON,CELON LABS,TAMOXIFEN TABLET 20 MG,10,TABLET,Scheduled,3.00,32.75,3.28,Dec-2025
