HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521160427@704589@101247432@3625@101068@201572,MAIN,CADPLAN 400 MG INJECTION 1,CADILA PHARMACEUTICALS LTD,TEICOPLANIN INJECTION 400 MG,1 INJECTION,INJECTION,Non-Scheduled,-1,5500.00,5500.00,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TICOGEM,LUPIN LTD,TEICOPLANIN INJECTION 400 MG,10,INJECTION,Non-Scheduled,-1,1645.60,164.56,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TIECAAZ,VHB LIFE SCIENCES LIMITED,TEICOPLANIN INJECTION 400 MG,5,INJECTION,Non-Scheduled,-1,833.33,166.67,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,ZICOPLANIN,MACLEODS PHARMACEUTICALS PVT.LTD,TEICOPLANIN INJECTION 400 MG,10,INJECTION,Non-Scheduled,-1,1996.50,199.65,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TICOBACT,GLAND PHARMA LIMITED,TEICOPLANIN INJECTION 400 MG,10,INJECTION,Non-Scheduled,-1,2055.00,205.50,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TRUEPLAN,ABBOTT HEALTHCARE PVT. LTD,TEICOPLANIN INJECTION 400 MG,10,INJECTION,Non-Scheduled,-1,2264.43,226.44,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TICOCIN,CIPLA LTD.,TEICOPLANIN INJECTION 400 MG,10,INJECTION,Non-Scheduled,-1,3284.45,328.45,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,INVICTUM,CACHET PHARMACEUTICALS PVT LTD,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,687.50,687.50,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TICOFIC,GUFIC BIOSCIENCE LTD,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,1183.60,1183.60,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,FORPLUS,ZUVENTUS HEALTHCARE LTD,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,1206.50,1206.50,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,CELPLANIN,CELON LABS,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,1280.00,1280.00,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TECON,CHANDRA BHAGAT PHARMA PVT. LTD.,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,1400.00,1400.00,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,ZYPLANIN,ZYPHARS PHARMACEUTICS PVT. LTD,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,1560.00,1560.00,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,T-PLANIN,GLENMARK PHARMACEUTICALS LTD.,TEICOPLANIN INJECTION 400 MG,2,INJECTION,Non-Scheduled,-1,3167.00,1583.50,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TEICOFAST,ALNICHE LIFE SCIENCES PVT.LTD,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,1615.00,1615.00,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TELAPOINT,BIOKINDLE LIFESCIENCES PVT. LTD,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,1650.00,1650.00,Dec-2025
1521160427@704589@101247432@3625@101068@201572,OTHER,TEICOKEM,ALKEM LABORATORIES LTD.,TEICOPLANIN INJECTION 400 MG,1,INJECTION,Non-Scheduled,-1,1740.00,1740.00,Dec-2025
