HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521004739@315163@101109847@3049@101006@201795,MAIN,AFANAT 20 MG TABLET 28,NATCO PHARMA LTD,AFATINIB TABLET 20 MG,28 TABLET,TABLET,Non-Scheduled,-1,2634.38,94.09,Dec-2025
1521004739@315163@101109847@3049@101006@201795,OTHER,AFZETA,SUN PHARMA LABORATORIES LTD.,AFATINIB TABLET 20 MG,30,TABLET,Non-Scheduled,-1,2955.00,98.50,Dec-2025
1521004739@315163@101109847@3049@101006@201795,OTHER,AFATIN,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,AFATINIB TABLET 20 MG,28,TABLET,Non-Scheduled,-1,2828.56,101.02,Dec-2025
1521004739@315163@101109847@3049@101006@201795,OTHER,AFZANNA,CELON LABS,AFATINIB TABLET 20 MG,28,TABLET,Non-Scheduled,-1,3250.00,116.07,Dec-2025
1521004739@315163@101109847@3049@101006@201795,OTHER,XOVOLTIB,BOEHRINGER INGELHEIM,AFATINIB TABLET 20 MG,7,TABLET,Non-Scheduled,-1,12866.72,1838.10,Dec-2025
1521005856@315164@101109847@3460@101006@201795,MAIN,AFANAT 30 MG TABLET 28,NATCO PHARMA LTD,AFATINIB TABLET 30 MG,28 TABLET,TABLET,Non-Scheduled,-1,3956.25,141.29,Dec-2025
1521005856@315164@101109847@3460@101006@201795,OTHER,AFATIN,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,AFATINIB TABLET 30 MG,28,TABLET,Non-Scheduled,-1,4017.85,143.49,Dec-2025
1521005856@315164@101109847@3460@101006@201795,OTHER,AFAYRO,GLENMARK PHARMACEUTICALS LTD.,AFATINIB TABLET 30 MG,28,TABLET,Non-Scheduled,-1,4100.00,146.43,Dec-2025
1521005856@315164@101109847@3460@101006@201795,OTHER,AFZETA,SUN PHARMA LABORATORIES LTD.,AFATINIB TABLET 30 MG,30,TABLET,Non-Scheduled,-1,4433.00,147.77,Dec-2025
1521005856@315164@101109847@3460@101006@201795,OTHER,AFZANNA,CELON LABS,AFATINIB TABLET 30 MG,28,TABLET,Non-Scheduled,-1,5118.00,182.79,Dec-2025
1521005856@315164@101109847@3460@101006@201795,OTHER,XOVOLTIB,BOEHRINGER INGELHEIM,AFATINIB TABLET 30 MG,7,TABLET,Non-Scheduled,-1,13272.66,1896.09,Dec-2025
1521017833@315165@101109847@3650@101006@201795,MAIN,AFANAT 40 MG TABLET 28,NATCO PHARMA LTD,AFATINIB TABLET 40 MG,28 TABLET,TABLET,Non-Scheduled,-1,5278.13,188.50,Dec-2025
1521017833@315165@101109847@3650@101006@201795,OTHER,AFAYRO,GLENMARK PHARMACEUTICALS LTD.,AFATINIB TABLET 40 MG,28,TABLET,Non-Scheduled,-1,5500.00,196.43,Dec-2025
1521017833@315165@101109847@3650@101006@201795,OTHER,AFZETA,SUN PHARMA LABORATORIES LTD.,AFATINIB TABLET 40 MG,30,TABLET,Non-Scheduled,-1,5910.00,197.00,Dec-2025
1521017833@315165@101109847@3650@101006@201795,OTHER,AFATIN,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,AFATINIB TABLET 40 MG,28,TABLET,Non-Scheduled,-1,5625.00,200.89,Dec-2025
1521017833@315165@101109847@3650@101006@201795,OTHER,AFZANNA,CELON LABS,AFATINIB TABLET 40 MG,28,TABLET,Non-Scheduled,-1,7470.00,266.79,Dec-2025
1521017833@315165@101109847@3650@101006@201795,OTHER,XOVOLTIB,BOEHRINGER INGELHEIM,AFATINIB TABLET 40 MG,7,TABLET,Non-Scheduled,-1,13825.55,1975.08,Dec-2025
1521136185@339204@101226182@3049@101006@201795,MAIN,AFATIN 20 MG TABLET 28,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,AFATINIB TABLET 20 MG,28 TABLET,TABLET,Non-Scheduled,-1,2828.56,101.02,Dec-2025
1521136185@339204@101226182@3049@101006@201795,OTHER,AFANAT,NATCO PHARMA LTD,AFATINIB TABLET 20 MG,28,TABLET,Non-Scheduled,-1,2634.38,94.09,Dec-2025
1521136185@339204@101226182@3049@101006@201795,OTHER,AFZETA,SUN PHARMA LABORATORIES LTD.,AFATINIB TABLET 20 MG,30,TABLET,Non-Scheduled,-1,2955.00,98.50,Dec-2025
1521136185@339204@101226182@3049@101006@201795,OTHER,AFZANNA,CELON LABS,AFATINIB TABLET 20 MG,28,TABLET,Non-Scheduled,-1,3250.00,116.07,Dec-2025
1521136185@339204@101226182@3049@101006@201795,OTHER,XOVOLTIB,BOEHRINGER INGELHEIM,AFATINIB TABLET 20 MG,7,TABLET,Non-Scheduled,-1,12866.72,1838.10,Dec-2025
1521154865@339205@101226182@3460@101006@201795,MAIN,AFATIN 30 MG TABLET 28,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,AFATINIB TABLET 30 MG,28 TABLET,TABLET,Non-Scheduled,-1,4017.85,143.49,Dec-2025
1521154865@339205@101226182@3460@101006@201795,OTHER,AFANAT,NATCO PHARMA LTD,AFATINIB TABLET 30 MG,28,TABLET,Non-Scheduled,-1,3956.25,141.29,Dec-2025
1521154865@339205@101226182@3460@101006@201795,OTHER,AFAYRO,GLENMARK PHARMACEUTICALS LTD.,AFATINIB TABLET 30 MG,28,TABLET,Non-Scheduled,-1,4100.00,146.43,Dec-2025
1521154865@339205@101226182@3460@101006@201795,OTHER,AFZETA,SUN PHARMA LABORATORIES LTD.,AFATINIB TABLET 30 MG,30,TABLET,Non-Scheduled,-1,4433.00,147.77,Dec-2025
1521154865@339205@101226182@3460@101006@201795,OTHER,AFZANNA,CELON LABS,AFATINIB TABLET 30 MG,28,TABLET,Non-Scheduled,-1,5118.00,182.79,Dec-2025
1521154865@339205@101226182@3460@101006@201795,OTHER,XOVOLTIB,BOEHRINGER INGELHEIM,AFATINIB TABLET 30 MG,7,TABLET,Non-Scheduled,-1,13272.66,1896.09,Dec-2025
1521152310@339206@101226182@3650@101006@201795,MAIN,AFATIN 40 MG TABLET 28,BDR PHARMACEUTICALS INTERNATIONALS PVT. LTD,AFATINIB TABLET 40 MG,28 TABLET,TABLET,Non-Scheduled,-1,5625.00,200.89,Dec-2025
1521152310@339206@101226182@3650@101006@201795,OTHER,AFANAT,NATCO PHARMA LTD,AFATINIB TABLET 40 MG,28,TABLET,Non-Scheduled,-1,5278.13,188.50,Dec-2025
