HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521032598@124139@101124577@1320@101006@202295,MAIN,ADZOLAM 0.25 MG TABLET 10,ARETAEUS PHARMACEUTICALS,ALPRAZOLAM TABLET 0.25 MG,10 TABLET,TABLET,Non-Scheduled,-1,13.12,1.31,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ALPRACAD,CADILA PHARMACEUTICALS LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,4.37,0.44,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,APCOLAM,AJANTA PHARMA LTD,ALPRAZOLAM TABLET 0.25 MG,15,TABLET,Non-Scheduled,-1,8.78,0.59,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ZALLPAM,MENARINI INDIA,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,6.45,0.65,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ALPRAZONE,OZONE PHARMACEUTICALS,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,8.85,0.89,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ALZONEX,MARC LABORATORIES PVT. LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,9.66,0.97,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,PROLAM(KAA),KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD(KAPL),ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,9.91,0.99,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,MEDIZOLAM,MEDICO LABS,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,10.25,1.03,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,TENAN,SHRRISHTI HEALTHCARE,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,10.69,1.07,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,DOTCAM,THREE DOTS LIFESCIENCE,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,10.81,1.08,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,COPAX,CONSERN PHARMA (P) LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,11.02,1.10,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ZOLIN,LINCOLN PHARMACEUTICALS LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,11.10,1.11,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,TRILAM,TRIPADA HEALTHCARE PVT LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,11.54,1.15,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ANCOLAM,SIGMUND PROMEDICA,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,11.81,1.18,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ALORA,SHINE PHARMACEUTICALS LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,11.86,1.19,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ZOLAN,RANBAXY LABORATORIES LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,13.00,1.30,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,SHANTI,ABBOTT HEALTHCARE PVT. LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,13.42,1.34,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ANZILUM,CADILA PHARMACEUTICALS LTD,ALPRAZOLAM TABLET 0.25 MG,15,TABLET,Non-Scheduled,-1,22.72,1.51,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ALP(KIVI),KIVI LABS LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,15.41,1.54,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,COOLAM,BURNET PHARMACEUTICALS P. LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,16.00,1.60,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ANXIT,MICRO LABS LTD,ALPRAZOLAM TABLET 0.25 MG,15,TABLET,Non-Scheduled,-1,24.30,1.62,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ALMAX,ANTHUS PHARMACEUTICALS PVT LTD.,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,16.36,1.64,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ZOLIPAX,RELIANCE FORMULATION PVT LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,16.88,1.69,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ZOLENT,TALENT INDIA,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,17.34,1.73,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ALZOPAX,LA PHARMACEUTICALS,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,17.44,1.74,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ZOLAX,INTAS PHARMACEUTICALS LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,18.05,1.81,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ZECALM,TRIKO PHARMACEUTICALS,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,18.28,1.83,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,AZOM (MARSHA),MARSHA PHARMA,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,18.75,1.88,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,STRESNIL RF,ARISTO PHARMACEUTICALS PVT.LTD,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,18.75,1.88,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,ZAM (EAST WEST),EAST WEST PHARMA,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,19.96,2.00,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,NOTENCE,CRESCENT FORMULATIONS PVT. LTD.,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,20.61,2.06,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,TEXIDEP,UNISON PHARMACEUTICALS,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,20.91,2.09,Dec-2025
1521032598@124139@101124577@1320@101006@202295,OTHER,AZOX,AARPIK REMEDIES PVT.LTD.,ALPRAZOLAM TABLET 0.25 MG,10,TABLET,Non-Scheduled,-1,21.09,2.11,Dec-2025
