HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521003783@172143@101108075@1563@101068@201820,MAIN,ASGINASE 10000 IU INJECTION 10 ML,RANBAXY LABORATORIES LTD,ASPARAGINASE INJECTION 10000 IU,10 ML INJECTION,INJECTION,Scheduled,1737.46,753.36,75.34,Dec-2025
1521003783@172143@101108075@1563@101068@201820,OTHER,LEUCOGINASE,VHB LIFE SCIENCES LIMITED,ASPARAGINASE INJECTION 10000 IU,1,INJECTION,Scheduled,1737.46,1250.00,1250.00,Dec-2025
1521003783@172143@101108075@1563@101068@201820,OTHER,BIONASE,ZYDUS - BIOLOGICS,ASPARAGINASE INJECTION 10000 IU,1,INJECTION,Scheduled,1737.46,1689.60,1689.60,Dec-2025
1521003783@172143@101108075@1563@101068@201820,OTHER,CELGINASE,CELON LABS,ASPARAGINASE INJECTION 10000 IU,1,INJECTION,Scheduled,1737.46,1824.25,1824.25,Dec-2025
1521003783@172143@101108075@1563@101068@201820,OTHER,LAGICAD,CADILA PHARMACEUTICALS LTD,ASPARAGINASE INJECTION 10000 IU,1,INJECTION,Scheduled,1737.46,1824.32,1824.32,Dec-2025
1521003784@172144@101108075@3726@101068@201820,MAIN,ASGINASE 5000 IU INJECTION 5 ML,RANBAXY LABORATORIES LTD,ASPARAGINASE INJECTION 5000 IU,5 ML INJECTION,INJECTION,Scheduled,1052.88,507.03,101.41,Dec-2025
1521003784@172144@101108075@3726@101068@201820,OTHER,LAGICAD,CADILA PHARMACEUTICALS LTD,ASPARAGINASE INJECTION 5000 IU,1,INJECTION,Scheduled,1052.88,940.26,940.26,Dec-2025
1521003784@172144@101108075@3726@101068@201820,OTHER,CELGINASE,CELON LABS,ASPARAGINASE INJECTION 5000 IU,1,INJECTION,Scheduled,1052.88,975.00,975.00,Dec-2025
1521003784@172144@101108075@3726@101068@201820,OTHER,BIONASE,ZYDUS - BIOLOGICS,ASPARAGINASE INJECTION 5000 IU,1,INJECTION,Scheduled,1052.88,1090.60,1090.60,Dec-2025
1521087982@332122@101245717@3570@101068@201820,MAIN,ASVIIA 3750 IU INJECTION 5 ML,ZYDUS - BIOLOGICS,ASPARAGINASE INJECTION 3750 IU,5 ML INJECTION,INJECTION,Non-Scheduled,-1,24618.00,4923.60,Dec-2025
1521087982@332122@101245717@3570@101068@201820,OTHER,PEGGINASE,CELON LABS,ASPARAGINASE INJECTION 3750 IU,5,INJECTION,Non-Scheduled,-1,44640.00,8928.00,Dec-2025
1521087982@332122@101245717@3570@101068@201820,OTHER,HAMSYL,EMCURE PHARMACEUTICALS LTD,ASPARAGINASE INJECTION 3750 IU,5,INJECTION,Non-Scheduled,-1,54300.00,10860.00,Dec-2025
1521087982@332122@101245717@3570@101068@201820,OTHER,CANCRINASE,MANKIND PHARMACEUTICALS LTD.,ASPARAGINASE INJECTION 3750 IU,1,INJECTION,Non-Scheduled,-1,22100.00,22100.00,Dec-2025
1521012156@200464@101245824@1563@101068@201820,MAIN,BIONASE 10000 IU INJECTION 1,ZYDUS - BIOLOGICS,ASPARAGINASE INJECTION 10000 IU,1 INJECTION,INJECTION,Scheduled,1737.46,1689.60,1689.60,Dec-2025
1521012156@200464@101245824@1563@101068@201820,OTHER,ASGINASE,RANBAXY LABORATORIES LTD,ASPARAGINASE INJECTION 10000 IU,10,INJECTION,Scheduled,1737.46,753.36,75.34,Dec-2025
1521012156@200464@101245824@1563@101068@201820,OTHER,LEUCOGINASE,VHB LIFE SCIENCES LIMITED,ASPARAGINASE INJECTION 10000 IU,1,INJECTION,Scheduled,1737.46,1250.00,1250.00,Dec-2025
1521012156@200464@101245824@1563@101068@201820,OTHER,CELGINASE,CELON LABS,ASPARAGINASE INJECTION 10000 IU,1,INJECTION,Scheduled,1737.46,1824.25,1824.25,Dec-2025
1521012156@200464@101245824@1563@101068@201820,OTHER,LAGICAD,CADILA PHARMACEUTICALS LTD,ASPARAGINASE INJECTION 10000 IU,1,INJECTION,Scheduled,1737.46,1824.32,1824.32,Dec-2025
1521008619@200463@101245824@3726@101068@201820,MAIN,BIONASE 5000 IU INJECTION 1,ZYDUS - BIOLOGICS,ASPARAGINASE INJECTION 5000 IU,1 INJECTION,INJECTION,Scheduled,1052.88,1090.60,1090.60,Dec-2025
